A,B
Date3,Territory11
Date18,Territory102
Date15,Territory81
Date12,Territory67
Date6,Territory24
Date7,Territory31
Date16,Territory88
Date18,Territory104
Date16,Territory87
Date7,Territory33
Date16,Territory92
Date11,Territory62
Date8,Territory39
Date2,Territory3
Date18,Territory103
Date6,Territory26
Date13,Territory71
Date2,Territory8
Date8,Territory37
Date20,Territory110
Date15,Territory83
Date18,Territory99
Date18,Territory105
Date8,Territory41
Date14,Territory76
Date11,Territory58
Date9,Territory50
Date16,Territory93
Date2,Territory4
Date8,Territory40
Date18,Territory100
Date17,Territory96
Date3,Territory12
Date11,Territory61
Date19,Territory107
Date2,Territory9
Date14,Territory79
Date14,Territory77
Date12,Territory69
Date16,Territory91
Date10,Territory56
Date17,Territory97
Date12,Territory70
Date11,Territory63
Date11,Territory60
Date10,Territory52
Date19,Territory108
Date10,Territory51
Date9,Territory42
Date15,Territory82
Date4,Territory15
Date10,Territory53
Date5,Territory18
Date12,Territory68
Date9,Territory45
Date6,Territory23
Date9,Territory47
Date11,Territory57
Date6,Territory20
Date9,Territory48
Date1,Territory1
Date7,Territory35
Date17,Territory95
Date6,Territory22
Date4,Territory14
Date15,Territory86
Date14,Territory78
Date14,Territory74
Date12,Territory65
Date7,Territory36
Date18,Territory106
Date14,Territory75
Date2,Territory5
Date9,Territory44
Date16,Territory90
Date13,Territory73
Date2,Territory7
Date18,Territory101
Date19,Territory109
Date5,Territory19
Date13,Territory72
Date9,Territory46
Date15,Territory80
Date2,Territory6
Date6,Territory21
Date11,Territory64
Date6,Territory27
Date17,Territory98
Date10,Territory55
Date4,Territory17
Date8,Territory38
Date12,Territory66
Date15,Territory84
Date11,Territory59
Date3,Territory13
Date15,Territory85
Date16,Territory94
Date9,Territory43
Date6,Territory25
