# OF Trades,Index,DATE,HOME,0,AWAY,Market,EXP Y/N,Score,Open BACK ODDS,SUCCESS,WON B/L,Goals (minutes)
0,4,41733,UJPEST,0,FERENCVAROS,0,0,1,1.9,0,0,"87, 23"
0,5,41733,CRETEIL,0,LAVAL,0,0,Apr-00,2.06,0,0,"5, 3, 19"
0,6,41733,WILLEM II,0,0,0,0,3,1.56,0,0,"3, 34, 90"
0,8,41733,HEIST,0,WESTERLO,0,0,5,1.78,0,0,"13, 79"
0,11,41734,AUGSBURG,0,1,0,1,4,1.7,3,1,31
0,12,41734,BREMEN,0,2,0,1,7,1.6,2,1,"15, 33"
0,13,41734,VFB STUTTGART,0,FREIBURG,0,1,8,1.74,3,1,89
0,15,41734,2,0,ROTHERHAM,0,0,4-Mar,1.8,2,0,"2, 84, 57, 30, 93, 86"
0,16,41734,ST. MIRREN,0,MOTHERWELL,0,0,9,1.72,2,0,"17, 42, 27"
0,17,41734,FALKIRK,0,COWDENBEATH,0,0,10,1.68,2,0,"40, 16"
0,18,41734,PSG,0,REIMS,0,0,11,1.69,2,0,"43, 89"
0,19,41734,OLIVEIRENSE,0,BENFICA B,0,0,1,1.77,2,0,"34, 26"
0,20,41734,STURM GRAZ,0,ADMIRA,0,1,7,1.76,2,1,"65, 43"
0,21,41734,ZADAR,0,DINAMO ZAGREB,0,0,1,1.79,2,0,"70, 4, 38"
0,22,41734,DEBRECEN,0,GYOR,0,0,0,1.73,2,0,"11, 60"
0,23,41734,LECH POZNAN,0,JAGIELLONIA,0,0,1-Jun,1.89,2,0,"24, 78, 89, 78, 53, 13, 7"
0,24,41734,FERREIRA,0,SPORTING,0,0,12,2.06,2,0,"14, 66, 33"
0,25,41735,BASEL,0,3,0,1,13,1.69,3,1,0
0,26,41735,JIHLAVA,0,MLADA BOLESLAV,0,0,6,2.01,2,0,"33, 61, 64"
0,28,41735,PANATHINAIKOS,0,LEVADIAKOS,0,0,3,1.49,2,0,"39, 77, 63, 41"
0,29,41735,PARMA,0,NAPOLI,0,1,4,1.92,3,1,55
0,46,41741,NOTTS COUNTY,0,8,0,0,2-Apr,1.67,0,0,"48, 13, 25, 85"
0,66,41744,VELEZ SARSFIELD,0,QUILMES,0,0,12,2.4,0,0,"8, 5, 28"
0,82,41748,FOREST GREEN,0,WOKING,0,0,0,1.74,0,0,"33, 91, 68, 90"
0,83,41748,HALIFAX,0,MACCLESFIELD,0,0,6,1.74,0,0,"18, 45"
0,84,41748,DUMBARTON,0,QUEEN OF SOUTH,0,0,5,1.7,1,0,"52, 17, 66 (NOT IN PLAY)"
0,91,41749,GRODIG,0,RAPID VIENNA,0,0,0,1.73,0,0,"25, 43, 12, 51"
0,92,41749,AALBORG,0,RANDERS,0,0,1,1.77,0,0,11
1,1,41733,ADELAIDE,0,MELBOURNE,0,0,0,1.8,0,0,"42, 33, 93, 1"
1,2,41733,0,0,DUSSELDORF,0,0,1,1.97,0,0,"53, 42, 76"
1,3,41733,SPARTAK MOSCOW,0,URAL,0,1,2,1.9,1,1,20
1,7,41733,TEPLICE,0,PRIBRAM,0,1,4,1.84,1,1,84
1,9,41733,MARSEILLE,0,AJACCIO,0,0,3,1.71,2,0,"4, 61, 76"
1,10,41733,1,0,LEVERKUSEN,0,0,6,1.67,2,0,"4, 82, 58"
1,30,41736,3,0,4,0,1,8,1.7,2,1,"35, 32"
1,31,41736,JONG ALAX,0,EINDHOVEN,0,0,1,1.7,2,0,"37, 56"
1,32,41736,JONG PSV,0,DEN BOSCH,0,0,4-Jan,1.7,2,0,"85, 72, 14, 62"
1,33,41736,DIN. BUCURESTI,0,OTELUL,0,0,3,2.14,2,0,"60, 44"
1,34,41736,METZ,0,5,0,0,6,2.18,2,0,"39, 53"
1,35,41737,WATFORD,0,LEEDS,0,0,11,1.85,2,0,"9, 32"
1,36,41737,4,0,GILLINGHAM,0,1,8,1.8,2,1,42
1,37,41740,BELUPO,0,6,0,0,6,1.75,0,0,69
