Index,genres,imdb_score
1102,Comedy,4.3
1010, History,6.7
815, Horror,6.4
2453, Sci-Fi,3.5
2105, Adventure,6.9
864,Action,6.6
255,Action,6.5
4415,Crime,7.9
4655, Fantasy,5.6
2599, Sci-Fi,6.5
4744,Comedy,6.6
275, Drama,7.2
320, Drama,7.0
4905, Drama,7.1
2756, Music,5.7
442, Comedy,6.8
4496, Drama,8.4
3362,Adventure,8.1
908,Action,7.6
2541,Comedy,7.6
1423,Biography,7.2
4500, Drama,6.0
2392, Crime,6.9
1518,Drama,7.1
4599, Comedy,6.0
1949, Thriller,6.4
447, Sport,6.4
399, Drama,6.4
2008, Drama,5.7
3625, Drama,6.7
710, Romance,6.3
2427, Fantasy,6.8
1511, Sci-Fi,6.8
3031, Crime,7.5
2790,Comedy,4.9
2855,Fantasy,5.7
3728,Comedy,5.6
2108,Comedy,5.3
3512, Romance,6.3
3709, Thriller,4.9
1311,Drama,6.2
472, Animation,4.6
3787,Comedy,7.1
623, Adventure,6.2
3781, Drama,7.0
1052, Crime,7.8
2393, Romance,7.3
1679, Romance,5.2
963, Animation,6.6
567, Comedy,6.3
2546, Horror,4.8
1794, Crime,5.7
2682,Crime,6.2
754, Mystery,6.3
2324, War,6.9
3714, Drama,8.0
2677,Crime,7.3
1390,Drama,6.7
500, Comedy,5.8
516,Adventure,7.8
300, Comedy,6.9
929,Action,6.9
2783,Drama,5.9
1555, Family,7.1
1188, Comedy,7.8
732, Drama,6.7
4066, War,8.2
123, Adventure,6.7
838,Comedy,7.0
2776, Thriller,5.5
1073,Comedy,4.8
2577,Comedy,6.6
1159,Action,6.6
2232, Adventure,6.8
2048, Comedy,7.7
1344,Action,6.5
4539,Fantasy,7.0
526,Action,7.4
1195, Sport,7.2
880,Drama,7.4
3485, Thriller,7.2
3110,Action,6.2
720, Biography,7.0
3554,Horror,5.4
4247, Thriller,7.5
2005, Drama,6.7
1745, Horror,4.9
4677,Comedy,7.0
3587,Action,5.8
4730,Comedy,7.7
3009, History,7.7
2559,Comedy,4.9
324,Drama,7.3
798, Thriller,6.9
1515, Adventure,5.2
3741, Horror,8.0
2893, Comedy,5.4
139, Comedy,7.3
1827,Comedy,6.4
2151,Horror,6.8
1405, Adventure,5.4
746, Drama,7.7
2558, Comedy,7.9
1321, War,6.9
