Lamp Type,ENERGY,CLER,PLC,TFI,SAPN
LED-P,,,,,
LED35,3.0621988578067763,19.54340562697768,61.106685447090854,101.00719882448546,148.2675990829317
LED-V,,,,,
LED-P,,,,,
LED-V,,,,,
LED79,3.0621988578067763,19.54340562697768,61.106685447090854,104.4404097175284,153.7625959685961
LED-P,,,,,
LED-V,,,,,
LED-P,,,,,
LED26,3.0621988578067763,16.195191723067385,57.95305080085343,75.04940495420573,92.99701926623872
LED20,3.0621988578067763,19.54340562697768,61.106685447090854,101.00719882448546,148.2675990829317
LED18,3.0621988578067763,16.195191723067385,57.95305080085343,75.04940495420573,92.99701926623872
LED-V,,,,,
LED-P,,,,,
LED22,3.0621988578067763,16.68654386829531,58.41584833803712,78.85872480938305,101.10363542842256
LED-V,,,,,
LED81,3.0621988578067763,21.26313813527541,62.72647682723378,117.77302921064907,182.1517885193689
LED-P,,,,,
LED-V,,,,,
LED117,3.0621988578067763,19.54340562697768,61.106685447090854,104.4404097175284,153.7625959685961
LED80_R,3.0621988578067763,18.51858543835944,60.14142201239346,98.82493569700917,140.56722273389846
LED-P,,,,,
LED-V,,,,,
LED72,3.0621988578067763,18.139542354897888,59.78440676942319,93.55663870273607,130.58861761330564
LED-P,,,,,
LED-V,,,,,
LED80,3.0621988578067763,17.507803882461985,59.18938136447272,88.65894174607953,120.15818922234101
LED-P,,,,,
