North Carolina,Colorado,New Mexico,Mississippi,Massachusetts,Illinois,Tennessee,Michigan,Arizona,Wyoming,Kansas,Vermont,Nevada,Montana,New Jersey,Georgia,California,Oregon,Alaska,Arkansas,Delaware,Maryland,Minnesota,Idaho,South Dakota,South Carolina,Florida,West Virginia,Maine,Iowa,Hawaii,Washington,Texas,New Hampshire,Ohio,Virginia,Oklahoma,Louisiana,Utah,North Dakota,Indiana,Connecticut,Alabama,Rhode Island
"10,146,788","5,540,545","2,081,015","2,988,726","6,811,779","12,801,539","6,651,194","9,928,300","6,931,071","585,501","2,907,289","624,594","2,940,058","1,042,520","8,944,469","10,310,371","39,250,017","4,093,465","741,894","2,988,248","952,065","6,016,447","5,519,952","1,683,140","865,454","4,961,119","20,612,439","1,831,102","1,331,479","3,134,693","1,428,557","7,288,000","27,862,596","1,334,795","11,614,373","8,411,808","3,923,561","4,681,666","3,051,217","757,952","6,633,053","3,576,452","4,863,300","1,056,426"
"9,535,688","5,029,324","2,059,198","2,968,103","6,547,813","12,831,574","6,346,298","9,884,129","6,392,301","563,767","2,853,129","625,741","2,700,691","989,414","8,791,953","9,688,680","37,254,522","3,831,072","710,249","2,916,025","897,936","5,773,786","5,303,924","1,567,650","814,195","4,625,410","18,804,592","1,853,011","1,328,364","3,046,869","1,360,301","6,724,545","25,146,100","1,316,461","11,536,727","8,001,041","3,751,615","4,533,479","2,763,888","672,591","6,484,136","3,574,114","4,780,131","1,052,940"
6.40%,10.20%,1.10%,0.70%,4.00%,-0.20%,4.80%,0.40%,8.40%,3.90%,1.90%,-0.20%,8.90%,5.40%,1.70%,6.40%,5.40%,6.80%,4.50%,2.50%,6.00%,4.20%,4.10%,7.40%,6.30%,7.30%,9.60%,-1.20%,0.20%,2.90%,5.00%,8.40%,10.80%,1.40%,0.70%,5.10%,4.60%,3.30%,10.40%,12.70%,2.30%,0.10%,1.70%,0.30%
"9,535,483","5,029,196","2,059,179","2,967,297","6,547,629","12,830,632","6,346,105","9,883,640","6,392,017","563,626","2,853,118","625,741","2,700,551","989,415","8,791,894","9,687,653","37,253,956","3,831,074","710,231","2,915,918","897,934","5,773,552","5,303,925","1,567,582","814,180","4,625,364","18,801,310","1,852,994","1,328,361","3,046,355","1,360,301","6,724,540","25,145,561","1,316,470","11,536,504","8,001,024","3,751,351","4,533,372","2,763,885","672,591","6,483,802","3,574,097","4,779,736","1,052,567"
6.00%,6.10%,6.20%,6.30%,5.30%,6.00%,6.10%,5.80%,6.30%,6.50%,6.70%,4.90%,6.30%,6.00%,5.80%,6.40%,6.30%,5.80%,7.30%,6.40%,5.80%,6.10%,6.40%,6.80%,7.10%,5.90%,5.50%,5.50%,4.90%,6.40%,6.40%,6.20%,7.20%,4.80%,6.00%,6.10%,6.80%,6.60%,8.30%,7.30%,6.40%,5.20%,6.00%,5.20%
6.60%,6.80%,7.00%,7.10%,5.60%,6.50%,6.40%,6.00%,7.10%,7.10%,7.20%,5.10%,6.90%,6.30%,6.20%,7.10%,6.80%,6.20%,7.60%,6.80%,6.20%,6.30%,6.70%,7.80%,7.30%,6.50%,5.70%,5.60%,5.20%,6.60%,6.40%,6.50%,7.70%,5.30%,6.20%,6.40%,7.00%,6.90%,9.50%,6.60%,6.70%,5.70%,6.40%,5.50%
22.70%,22.80%,23.60%,24.10%,20.20%,22.90%,22.60%,22.10%,23.50%,23.70%,24.60%,19.00%,23.00%,21.80%,22.20%,24.40%,23.20%,21.20%,25.20%,23.60%,21.50%,22.40%,23.30%,26.00%,24.60%,22.10%,20.10%,20.50%,19.10%,23.30%,21.60%,22.40%,26.20%,19.50%,22.50%,22.20%,24.50%,23.80%,30.20%,23.30%,23.80%,21.10%,22.60%,19.70%
23.90%,24.40%,25.20%,25.50%,21.70%,24.40%,23.60%,23.70%,25.50%,24.00%,25.50%,20.70%,24.60%,22.60%,23.50%,25.70%,25.00%,22.60%,26.40%,24.40%,22.90%,23.40%,24.20%,27.40%,24.90%,23.40%,21.30%,20.90%,20.70%,23.90%,22.30%,23.50%,27.30%,21.80%,23.70%,23.20%,24.80%,24.70%,31.50%,22.30%,24.80%,22.90%,23.70%,21.30%
15.50%,13.40%,16.50%,15.10%,15.80%,14.60%,15.70%,16.20%,16.90%,15.00%,15.00%,18.10%,15.00%,17.70%,15.30%,13.10%,13.60%,16.80%,10.40%,16.30%,17.50%,14.60%,15.10%,15.10%,16.00%,16.70%,19.90%,18.80%,19.40%,16.40%,17.10%,14.80%,12.00%,17.00%,16.20%,14.60%,15.00%,14.40%,10.50%,14.50%,14.90%,16.10%,16.10%,16.50%
12.90%,10.90%,13.20%,12.80%,13.80%,12.50%,13.40%,13.80%,13.80%,12.40%,13.20%,14.60%,12.00%,14.80%,13.50%,10.70%,11.40%,13.90%,7.70%,14.40%,14.40%,12.30%,12.90%,12.40%,14.30%,13.70%,17.30%,16.00%,15.90%,14.90%,14.30%,12.30%,10.30%,13.50%,14.10%,12.20%,13.50%,12.30%,9.00%,14.50%,13.00%,14.20%,13.80%,14.40%
