correction,misspell
Presbyterian,presbyterian
about,abouy
accidentally,accidently
accommodate, acommadate
accord,acord
acquaintance,aquantance
acquire,equire
adultery,adultry
alcoholic,alchoholic
ambivalent,ambivilant
amorphous,amourfous
announcement,annonsment
anoint,annoint
anonymous,anynomous
archetype,archeype
architecture,aratictature
arctic,artic
at,ast
attentively,atentively
bankrupt,bankrot
battalion,batallion
beginning," bigginging, beggining"
behavior,behaviour
believe,"beleive,  belive"
benefits,benidifs
better,metter
bleat,blait
boycott,boygot
broccoli,brocolli
browse,bbrose
bureaucracy, burracracy
butter," budter, buder,  budr"
button,buton
by_by,byby
caveats,cravets
cheat,cheet
circle,cicle
circumstances,circumstaces
club,clob
cockamamie,cocamena
colleague,colleaque
column,columne
combo,cumba
commitment,"comitmment,  comittmen"
committed,commited
committee, commitee
companies,companys
compiler,comiler
consistent,consident
constant, contastant
continue,contunie
contribution,conibation
coping,copping
crazy,crasy
credibility,credetability
critique,"criqitue,  ctitique"
crucified,crusifed
crucifixion,crucifiction
customization,custamisation
daily,daly
dangerous,danguages
dangle,dongle
decision,disition
defence,defense
defense,defence
defiantly,defenly
definitely,definately
deities,dieties
description,"descrption,  descrptn"
desiccate,dessicate
despair,dispair
desperate,desparate
destroy,distroy
development," develpond, developement"
developments,develepment
dictionary,ductioneery
dinosaur, dinasour
directly,direcyly
discuss,discuess
dissipate,disippate
distant,destint
distort,distart
distract,distarct
divulge,devulge
dog, doog
draft,deaft
dramatically,dramaticly
drunkenness,drunkeness
due,dur
during,duren
ecstasy,ecstacy
efficacy,efficity
efficient,efficat
efforts,effots
elegant,elagent
embarrass, embaress
embed,imbed
encapsulation,encapsualtion
enhance,enhence
enlightenment,enligtment
enough,enought
environmental,envireminakl
epitome,epitomy
error,errara
etiology,eitiology
exceed,excede
exercise,excercise
exhilaration,exhileration
expedient,exspidient
explicitly,expleyly
extensions,extions
factorization,factontion
failure,failer
fantasia,phantasia
favor,faver
favour,faver
festival,fistival
fiery,firey
flattering,flatterring
flux," flukse, fluk"
foresee,forsee
frustrating,frustartaion
function,fuction
generally,generly
government," gobernment, goberment"
graceful,gracefull
grammar,grammer
guts,futs
harass,harrass
have,havne
hello," herlo, hallo"
help," hellp, heellp,  hlp"
higher,higer
horse,hourse
however, howver
humanity,humaniti
hyphen," hifine,  hyfin, hifin,  hiphine"
hypothesis, hypotathese
immediately,imediaetly
implements,implemtes
in_case,incase
in_depth,indepth
in_fact,infact
incomplete," incomplot, incompleet"
inconvenience,inconvience
independent,"independant,  indepnends"
indispensable,indispensible
infamy,imfamy
influential,influencial
initial,inital
initialized,"initinized,  initized"
insidious,incedious
installation,instulation
intelligent," intellgnt,  intejilent,  intelejent,  intelegnent,  intellegint,  inteligent, intealignt,  intellagant,  intellegent"
interested,intertes
interface,inerface
international,internation
interpreter,interpretter
inventions,enventions
irresistible,irresistable
irritable,irritible
isotope,isotrop
iterate,interate
john,johhn
judgement,judgment
judgment,judgement
kilometer,lilometer
kilometre,lilometer
kipper,kippur
laser,luser
latest,latext
leave,leasve
library,libary
losing,lossing
madness,maddness
maintenance,maintanence
majority, majoraly
marshal,marshall
masks,maks
maximum,maxium
media,midia
memento,momento
memory,meory
metaphysical,pataphysical
mike,mic
millennium,millenium
minimum,minum
minuscule,miniscule
mischievous,mischievious
monkey, monkay
more,mroe
mosaic,mosaik
most_likely,mostlikely
mouser,mousr
naive,nieve
necessary, necesary
niece,neice
not_in,notin
noticeably,noticably
nuzzled,nozled
objects,objectsion
occasion,ocassion
occasionally,accosinly
occupied,occuppied
octogenarian,octagenarian
old,olf
organize,organise
parameter,parametic
parameters, paranets
particular,partrucal
pattern,patten
permissible,permissable
permissive,permmasivie
phenomenal,phenominal
phone,fone
playwright,playwrite
police,pollice
politician,polation
polygamy,poligamy
polypropylene,polypropalene
portray,protray
practical,practicle
precision,precion
prefixed,prefixt
privilege,privielage
procedures,proceedures
pronunciation," pronounciation, pronensiation"
properly,properally
psychologist,"pscolgst,  psicolagest"
pursued,presued
rank,wrank
receive,recieve
recommend,reccomend
rectangle,rectangeles
recurring,reoccurring
regardless,irregardless
repetition,repitition
replacement,replasments
resemblance,reseblence
respect,respct
respectfully,respecally
responsible,reposable
room,roon
rudimentary,rudemtry
running,runnung
safely,saftly
scrabble,scrabdle
seize,sieze
several,seferal
simplicity,cimplicity
simply,simplye
situation,situration
smile,smil
sneaked,snuck
sometimes,sometmes
spell,spel
sponsored,sponsered
steering,stering
straitjacket,straightjacket
student,stutent
style_guide,styleguide
subpoena,subpena
substitutions,"subisitions,  substations"
sugar,suger
supersede,supercede
synchronization,syncorization
team,tem
technically,techniquely
test,tesst
tests,tets
than_or,thanot
that,taht
themselves,theirselves
theoretical," theridically, teridical"
theoretically,thredically
this,ths
throughout,thruout
titillate,titalate
tomorrow," tomorow, tommorrow"
tragedy,tradegy
trouble,trubbel
tyranny,tyrrany
unconstitutional,unconisitional
unfortunately, unfortally
unnatural,"unatourral,  unaturral"
up_cast,upcast
version,verison
vinaigrette,vinagarette
volley,volye
voluntarism,volunteerism
voluptuous,volumptuous
wait,waite
ward,whard
warlord,warloord
wimp,whimp
writing,writting
yield,yeild
