Item ,Qty,Unit Price,Total Price
Edison PK-8,,,
Kemp PK-8,,,
Westwood,,,
Rosa Parks PK,,,
Thurgood Marshall,,,
Edison PK-8,,,
Ludlow I NOC,,,
Eastmont PK-8,,,
Wright Brothers,,,
Cleveland,,,
Kemp PK-8,,,
Charity Adams,,,
Rosa Parks PK,,,
David H. Ponitz CTC,,,
Wogaman,,,
Belle Haven,,,
Meadowdale HS,,,
Cleveland,,,
Welcome Stadium,,,
Horace Mann PK-8,,,
Service Building,,,
Kemp PK-8,,,
Kiser,,,
Edwin Joel Brown,,,
Dayton Boys Prep Academy,,,
Welcome Stadium,,,
Wright Brothers,,,
Kiser,,,
Wogaman,,,
David H. Ponitz CTC,,,
Belle Haven,,,
Fairview ,,,
Meadowdale PK-8,,,
Gardendale,,,
Service Building,,,
1,1.0,,
Ruskin PK-8,,,
Thurgood Marshall,,,
Cleveland,,,
Dunbar High School,,,
Valerie,,,
Westwood,,,
Dayton Boys Prep Academy,,,
Dunbar High School,,,
Ludlow I,,,
River's Edge,,,
Thurgood Marshall,,,
Westwood,,,
Belle Haven,,,
Kemp PK-8,,,
Charity Adams,,,
World of Wonder,,,
Wogaman,,,
Jackson Center,,,
Meadowdale PK-8,,,
Service Building,,,
Ludlow I NOC,,,
Valerie,,,
Edwin Joel Brown,,,
Wogaman,,,
Ludlow I NOC,,,
Gardendale,,,
Jackson Center,,,
Cleveland,,,
Horace Mann PK-8,,,
Longfellow Academy,,,
Kiser,,,
Transportation,,,
Dunbar High School,,,
Louise Troy PK-8,,,
Eastmont PK-8,,,
Wright Brothers,,,
Service Building,,,
Eastmont PK-8,,,
Gardendale,,,
Rosa Parks PK,,,
Cleveland,,,
Fairview ,,,
Gardendale,,,
Wogaman,,,
Longfellow Academy,,,
Ruskin PK-8,,,
Thurgood Marshall,,,
Ruskin PK-8,,,
Longfellow Academy,,,
David H. Ponitz CTC,,,
Transportation,,,
Welcome Stadium,,,
0,1.0,,
Kemp PK-8,,,
World of Wonder,,,
Gardendale,,,
Transportation,,,
Rosa Parks PK,,,
Westwood,,,
Jackson Center,,,
Westwood,,,
Edwin Joel Brown,,,
Transportation,,,
Edwin Joel Brown,,,
Gardendale,,,
Westwood,,,
Stivers School for the Arts,,,
Horace Mann PK-8,,,
Valerie,,,
Jackson Center,,,
Rosa Parks PK,,,
Longfellow Academy,,,
Fairview ,,,
Edwin Joel Brown,,,
Kemp PK-8,,,
Belle Haven,,,
Transportation,,,
David H. Ponitz CTC,,,
