Player Name,Points,Year
Mark Emerson,46,1971-72
Milt Bakken,34,1955-56
Duane Anderson ,34,0
Todd May,31,1983-84
Todd May,32,1983-84
0,38,1993-94
0,30,1994-95
0,30,1993-94
1,35,1957-58
Jason Schuepbach    ,34,1995-96
Pete Schmitt,32,2002-03
0,31,1993-94
Todd May,31,1983-84
Jason Larson,32,2018-19
1,35,1958-59
Jordan Schultz,32,2004-05
1,31,1957-58
0,38,1994-95
Max Meylor,31,2015-16
Duane Anderson ,30,0
Milt Bakken,39,1955-56
Don Peterson ,47,1980-81
1,31,1958-59
Milt Bakken,32,1955-56
Gary Greve,35,1956-57
Todd May,33,1983-84
Gary Greve,30,1956-57
0,34,1994-95
0,33,1994-95
1,31,1958-59
Max Meylor,30,2015-16
Matt Kleppe,30,1999-00
1,36,1957-58
Tim Woller,31,1990-91
Mark Losby,34,2000-01
