OCCUPATION,ALL,PHONE,EMAIL
Auditor,15769,11233,4810
Orderly,442504,233724,132211
Driver,21043,13480,6142
Attorney,362136,266498,91464
Navy Credit Union Trades,187077,136257,54752
Auto Mechanic,9686,6471,2683
Engineer,9084,6430,2625
Trooper,31859,20925,8686
Stock,1461924,885050,536957
Legal,17335,11441,4940
Librarian,11134,8352,2797
Housekeeper,32839,19800,7454
Electrician,189399,130533,50056
Teller,43859,29058,12065
Bookkeeper,58578,40627,16169
X-ray,25097,16565,7141
Legal,362136,266498,91464
Designer,17946,12555,4956
Musician,7982,5542,2268
Medical Assistant,30459,18751,8111
Lawyer,362136,266498,91464
Surveyor,22811,16295,5607
Machinist,56651,38777,15235
Physician,627895,423018,155423
Nurse,70247,40371,19606
Sales Manager,42126,30048,12519
Interior Designer,8211,6082,2056
Manager,602945,419233,206784
Insurance,1119009,729472,325327
Investigator,14630,9320,4151
Technician,44258,30328,13282
Banker,19140,12301,5936
Geologist,9418,7050,2313
Cashier,75359,44031,22157
Counselor,68536,44331,18165
Medical Technician,18926,13286,5590
Veterinarian,47372,30070,10301
Trader,1461924,885050,536957
Export,23787,14861,6568
Real Estate,1448054,921666,407162
Chemist,9510,7209,2866
Pilot,269477,175711,65344
Paramedic,20277,13228,5909
Nurses Aide,442504,233724,132211
Editor,8920,6392,2459
Bartender,13462,7804,3713
Laborer,2409498,1423065,716736
Physical,278878,187396,70644
Chiropractor,39659,24155,9589
Dance,7982,5542,2268
Police,31859,20925,8686
Press Operator,15261,10327,4303
Paralegal,17335,11441,4940
Appraiser,88626,61034,25336
Mechanic,240457,157024,65002
Therapists,278878,187396,70644
Gardener,15845,10532,3931
Welder,41444,26616,10211
Therapist,68945,46799,19134
Bus Driver,21043,13480,6142
Detective,14630,9320,4151
Army Credit Union Trades,150399,95307,49473
Landscaper,15845,10532,3931
Baker,8633,5419,2312
Technician,25097,16565,7141
Bank Teller,43859,29058,12065
Electrical,9084,6430,2625
Lab,44258,30328,13282
Electronic,9084,6430,2625
Dairyman,631103,502191,112994
Nurse,492778,310678,145568
Dental Hygienist,109197,75587,27502
Scientist,20412,14738,5729
Professor,24768,19548,6184
Medical Doctor,627895,423018,155423
Photography,8009,5345,2334
LPN,492778,310678,145568
Assistant,17335,11441,4940
Clerk,933489,655004,308384
Optician,19469,13285,5429
Realtor,1448054,921666,407162
Marketing Manager,602945,419233,206784
Nurse (Registered),3139173,2032183,997629
Farmer,631103,502191,112994
Manager,8059,5916,2195
Dental Assistant,67465,40366,17832
Optometrist,10357,7257,2526
Manager,42126,30048,12519
Construction,297600,196855,74119
Pharmacy,323188,221279,89315
Medical Secretary,18373,10954,5112
Dietician,34120,24042,8306
Plant Manager,8059,5916,2195
Dentist,168562,116581,43142
Case Worker,271048,179330,69684
Social Worker,271048,179330,69684
Pastor,58078,44084,16021
Medical,20277,13228,5909
Engineer,518782,381961,135264
Truck Driver,90047,58143,22641
Maid,32839,19800,7454
Import,23787,14861,6568
Psychologist,111699,70445,30208
Pharmacist,323188,221279,89315
Archivist,11134,8352,2797
Music,7982,5542,2268
Shipping,23787,14861,6568
Driver,90047,58143,22641
Custom,23787,14861,6568
Agent,1119009,729472,325327
Plumber,107519,70946,26110
Technician,115610,77503,34553
