correction,misspell
RSX,rsx
Stephen,Steffen
Susan,susan
about,abouy
accidentally,accidently
accommodate,accomodate
accord,acord
acquaintance,aquantance
acquire,equire
adultery,adultry
aggressive,aggresive
alcoholic,alchoholic
alive,allieve
amateur,amature
ambivalent,ambivilant
amorphous,amourfous
amplification,amification
anatomy, anotomy
announce,annuncio
announcement,annonsment
anoint,annoint
anonymous,anynomous
appreciate,appresteate
appreciated,appreceiated
archetype,archeype
architecture, aricticure
arctic,artic
asterisk,asterick
asymmetric,asymetric
asymptote,asentote
at,ast
attentively,atentively
automatically,autoamlly
bankrupt,bankrot
basically,basicly
battalion,batallion
beginning," beging, beggining,  bigginging"
behaviour,behavior
believe," belive, beleive"
benefits,benidifs
better,metter
bleat,blait
boycott,boygot
buoyant,bouyant
bureau,beauro
bureaucracy,"beaurocracy,  burracracy,  buracracy"
bush,buch
butter," budr, buder"
button,buton
came,gamne
caveats,cravets
changing,changeing
cheat,cheet
circle,"cicle,  circue"
club,clob
colleague,colleaque
colloquialism,colloquilism
colon,coaln
column,columne
combo,cumba
commercials,commerciasl
commitment,"comitmment,  comittmen"
committed,commited
committee," commitee, comitte"
compiler,comiler
computer,comupter
congratulations,congradulations
consensus,concensus
consonant,consident
constant, contastant
continue,contunie
contribution,conibation
coping,copping
cosmopolitan,cosmoplyton
court,courst
crazy,crasy
critique," ctitique, criqitue"
crucifixion,crucifiction
daily,daly
dangle,dongle
decision,disition
defence,defense
defense,defence
defiantly,defenly
deities,dieties
description, descrptn
desiccate,dessicate
desperate,desparate
development," develpond, developement"
dictionary,ductioneery
dinosaur,dinasaur
directly,direcyly
disagree,diagree
discuss,discuess
dissect,disect
dissipate,disippate
distort,distart
documentation,documtations
dog, doog
draft,deaft
dramatically,dramaticly
due,dur
dynamic," dynaic, dymatic"
ecstasy,ecstacy
efforts,effots
elegant, elligit
embarrass,"embarass,  embaress"
embarrassment,embarassment
embed,imbed
encapsulation,encapsualtion
encyclopedia, encyclopia
engine,engins
enhance,enhence
enlightenment,enligtment
ennui,ennuui
environmental, invermeantial
epitome,epitomy
error," erro, errara"
etiology,eitiology
evaluation,evaualtion
everything,evething
exceed,excede
except,excpt
execution,excution
exercise,excercise
exhilaration,exhileration
existence,"egsistence,  existance"
explicitly,"expleyly,  explity"
extensions,extions
factorization,factontion
fantasia,phantasia
favour,faver
fax,faxe
festival,fistival
flux, flukse
function,fuction
generally,generly
gotten,gotton
government," gobernement, goberment"
gradually,gradualy
guts,futs
happily,hapily
harass,harrass
have,havne
height,heighth
hello," helo,  herlo, hallo"
however," howver, howaver"
humanity,humaniti
hyphen," hifine, hifin"
hypothesis,"hypotathes,  hypotathese"
hysterical,hystrical
illegitimate,illegitament
immanent,immenant
implements,implemtes
in_case,incase
in_fact,infact
inadvertent,inadvertant
incomplete, incomplot
inconvenient,inconvenant
independent," independenent, independant"
indispensable,indispensible
inefficient,inefficite
infamy,imfamy
influential,influencial
initialized,"initinized,  initized"
insidious,incedious
insistent,"insistant,  insistenet"
intelligent,"intealignt,  intellegint,  intelignt,  intelegent,  intellgnt,  intelejent,  intellagant,  inteligent,  intellegent"
interested,intertes
interface,inerface
international,internation
interpret,interpretate
inventions,enventions
irritable,irritible
isotope,isotrop
iterate,interate
john,johhn
judgment,judgement
kilometer,lilometer
layer,lloyer
leave,leasve
leisure,lesure
lesion,liasion
library,libary
likely,likly
liquefy,liquify
losing,lossing
madness,maddness
maintenance,maintanence
majority," majoraly, majaerly"
marshal,marshall
masks,maks
mike,mic
minimum,minum
minuscule,miniscule
mischievous,mischievious
monkey,"minkay,  monkay"
mosaic,mosaik
mouser,mousr
moving,oving
naive,nieve
necessary,"neccessary,  necesser,  necesary"
neighbour,neighbor
nickelodeon,nickleodeon
niece,neice
not_in,notin
noticeably,noticably
nuzzled,nozled
obfuscate,obsfuscate
objects,objectsion
occasion,ocassion
occasionally,"accosinly,  occusionaly"
occurrence,occurence
octogenarian,octagenarian
old,olf
opossum,opposim
orient,orientate
parameter,parametic
parameters,"paramers,  paranets"
particular,partrucal
permissible,permissable
permissive,permmasivie
phenomenal,phenominal
phone,fone
phonetic,funetik
playwright,playwrite
police,pollice
politic,politict
politician,polation
polygamy,poligamy
polypropylene,polypropalene
portray,protray
possible,possable
practical,practicle
pragmatism,pragmaticism
preceding,preceeding
precision," precios, precion"
prefixed,prefixt
prefixes,prefices
prerogative,perogative
privilege,privielage
problematic,proplematic
procedures,proceedures
pronunciation,"pronensiation,  pronounciation"
properly,properally
psychologist," psicolagest,  sicolagest"
pursue, presue
pursued,presued
quiz,quoz
raccoon,reccona
radius,radious
rampantly,ramplily
rank,wrank
receive,recieve
recognize,reconise
recurring,reoccurring
redesign,redign
regardless,irregardless
resemblance,reseblence
respect,respct
respectfully,respecally
roughly,rought
rudimentary,rudemtry
running,runnung
sacrilegious,sacreligious
safely,saftly
salute,salut
satisfy,satifly
seize,sieze
separate,seperate
several,seferal
sherbet,sherbert
simplicity, simpfilty
simply,simplye
site,sitte
situation,situration
sneaked,snuck
sometimes,sometmes
specifically,specificialy
spell,spel
spoke,spoak
sponsored,sponsered
stomach,stumach
straitjacket,straightjacket
student,stutent
style_guide,styleguide
subpoena,subpena
subscribed,subjecribed
superfluous,superfulous
supersede,supercede
swimwear,swim_wear
sylph,slyph
synchronization,syncorization
tattoos,tattos
team,tem
test," ttest, tesst"
than_or,thanot
that,taht
themselves,theirselves
theoretical,"teridical,  theridically"
this,ths
throughout,thruout
titillate,titalate
tomorrow," tomorow, tommorrow"
tough,taff
tragedy,tradegy
trouble,trubbel
tunnel_like,tunnellike
turned,tured
two,teo
unconscious,unconscience
under_ladder,underladder
unintelligible,unentelegible
unnatural," unaturral, unatourral,  unnaturral"
up_cast,upcast
uranium,uranisium
utmost,upmost
version,verison
vinaigrette,vinagarette
volley,volye
voluntarism,volunteerism
voluptuous,volumptuous
wait,waite
ward,whard
warlord,warloord
wasting,wadting
weaken,wicken
weird,wierd
what,whaaat
wimp,whimp
writing,writting
your,youe
