correction,misspell
rank,wrank
defense,defence
cheat,cheet
running,runnung
function,fuction
ennui,ennuui
utmost,upmost
coping,copping
asymptote,asentote
explicitly,expleyly
better,metter
infamy,imfamy
unnatural, unaturral
up_cast,upcast
button,buton
court,courst
mischievous,mischievious
boycott,boygot
wait,waite
consensus,concensus
test, ttest
insidious,incedious
desperate,desparate
dog, doog
permissible,permissable
iterate,interate
sylph,slyph
voluntarism,volunteerism
lesion,liasion
tomorrow, tomorow
moving,oving
occasionally,accosinly
commitment,comitmment
illegitimate,illegitament
independent, independenent
believe, belive
mike,mic
commercials,commerciasl
colloquialism,colloquilism
mosaic,mosaik
quiz,quoz
epitome,epitomy
bureaucracy,beaurocracy
wimp,whimp
however, howver
sneaked,snuck
intelligent,intealignt
directly,direcyly
intelligent, intellegint
isotope,isotrop
embarrass,embarass
version,verison
this,ths
dangle,dongle
gotten,gotton
beginning, beging
tunnel_like,tunnellike
committed,commited
ambivalent,ambivilant
regardless,irregardless
majority, majoraly
intelligent, intelignt
properly,properally
committee, commitee
spell,spel
exceed,excede
initialized,initinized
volley,volye
execution,excution
interpret,interpretate
your,youe
several,seferal
circle,cicle
vinaigrette,vinagarette
evaluation,evaualtion
accommodate,accomodate
student,stutent
swimwear,swim_wear
guts,futs
pragmatism,pragmaticism
subpoena,subpena
trouble,trubbel
majority,majaerly
embarrass, embaress
attentively,atentively
than_or,thanot
synchronization,syncorization
hysterical,hystrical
bleat,blait
phone,fone
portray,protray
prefixed,prefixt
enlightenment,enligtment
announcement,annonsment
harass,harrass
losing,lossing
distort,distart
anonymous,anynomous
parameters,paramers
indispensable,indispensible
height,heighth
existence,egsistence
club,clob
elegant, elligit
objects,objectsion
appreciate,appresteate
necessary,neccessary
beginning,beggining
marshal,marshall
decision,disition
sacrilegious,sacreligious
development, develpond
politic,politict
safely,saftly
leave,leasve
unnatural,unatourral
congratulations,congradulations
efforts,effots
liquefy,liquify
enhance,enhence
raccoon,reccona
niece,neice
buoyant,bouyant
respectfully,respecally
playwright,playwrite
intelligent, intelegent
psychologist, psicolagest
two,teo
opossum,opposim
mouser,mousr
bureaucracy, burracracy
judgment,judgement
desiccate,dessicate
sometimes,sometmes
tattoos,tattos
hello, helo
computer,comupter
festival,fistival
tragedy,tradegy
independent,independant
hyphen, hifine
old,olf
fax,faxe
constant, contastant
cosmopolitan,cosmoplyton
octogenarian,octagenarian
critique, ctitique
pursued,presued
contribution,conibation
discuss,discuess
daily,daly
continue,contunie
factorization,factontion
respect,respct
sponsored,sponsered
necessary, necesser
Susan,susan
etiology,eitiology
voluptuous,volumptuous
recognize,reconise
crucifixion,crucifiction
inadvertent,inadvertant
police,pollice
simply,simplye
occasion,ocassion
acquire,equire
asterisk,asterick
intelligent, intellgnt
procedures,proceedures
unintelligible,unentelegible
precision, precios
extensions,extions
committee,comitte
in_fact,infact
monkey,minkay
favour,faver
butter, budr
recurring,reoccurring
caveats,cravets
crazy,crasy
throughout,thruout
theoretical,teridical
bureaucracy, buracracy
under_ladder,underladder
existence, existance
site,sitte
subscribed,subjecribed
redesign,redign
stomach,stumach
that,taht
inefficient,inefficite
hello, herlo
turned,tured
interested,intertes
separate,seperate
butter,buder
permissive,permmasivie
believe,beleive
architecture, aricticure
intelligent, intelejent
environmental, invermeantial
inventions,enventions
draft,deaft
necessary, necesary
obfuscate,obsfuscate
encyclopedia, encyclopia
madness,maddness
pursue, presue
hello,hallo
nuzzled,nozled
not_in,notin
basically,basicly
orient,orientate
seize,sieze
what,whaaat
anoint,annoint
dynamic, dynaic
deities,dieties
intelligent, intellagant
amplification,amification
straitjacket,straightjacket
phonetic,funetik
style_guide,styleguide
intelligent, inteligent
immanent,immenant
defence,defense
dinosaur,dinasaur
possible,possable
tomorrow,tommorrow
particular,partrucal
bureau,beauro
development,developement
insistent,insistant
everything,evething
due,dur
john,johhn
fantasia,phantasia
likely,likly
critique,criqitue
influential,influencial
acquaintance,aquantance
naive,nieve
at,ast
compiler,comiler
radius,radious
weird,wierd
team,tem
parameter,parametic
battalion,batallion
receive,recieve
warlord,warloord
maintenance,maintanence
adultery,adultry
initialized, initized
minuscule,miniscule
problematic,proplematic
consonant,consident
roughly,rought
titillate,titalate
announce,annuncio
defiantly,defenly
tough,taff
Stephen,Steffen
phenomenal,phenominal
supersede,supercede
parameters, paranets
error, erro
appreciated,appreceiated
explicitly, explity
accord,acord
prerogative,perogative
column,columne
intelligent, intellegent
kilometer,lilometer
bankrupt,bankrot
pronunciation,pronensiation
writing,writting
masks,maks
occurrence,occurence
monkey, monkay
came,gamne
salute,salut
documentation,documtations
prefixes,prefices
simplicity, simpfilty
benefits,benidifs
dissipate,disippate
neighbour,neighbor
humanity,humaniti
interface,inerface
archetype,archeype
situation,situration
automatically,autoamlly
resemblance,reseblence
practical,practicle
exercise,excercise
error,errara
hypothesis,hypotathes
colleague,colleaque
wasting,wadting
international,internation
preceding,preceeding
changing,changeing
privilege,privielage
anatomy, anotomy
about,abouy
embarrassment,embarassment
test,tesst
psychologist, sicolagest
specifically,specificialy
sherbet,sherbert
dramatically,dramaticly
noticeably,noticably
minimum,minum
dictionary,ductioneery
dynamic,dymatic
have,havne
rudimentary,rudemtry
polygamy,poligamy
alcoholic,alchoholic
beginning, bigginging
layer,lloyer
rampantly,ramplily
in_case,incase
library,libary
aggressive,aggresive
irritable,irritible
embed,imbed
description, descrptn
pronunciation, pronounciation
bush,buch
commitment, comittmen
occasionally, occusionaly
generally,generly
satisfy,satifly
arctic,artic
inconvenient,inconvenant
precision,precion
gradually,gradualy
encapsulation,encapsualtion
insistent, insistenet
accidentally,accidently
circle, circue
amorphous,amourfous
implements,implemtes
incomplete, incomplot
leisure,lesure
superfluous,superfulous
behaviour,behavior
hyphen,hifin
dissect,disect
government, gobernement
hypothesis, hypotathese
flux, flukse
disagree,diagree
politician,polation
nickelodeon,nickleodeon
asymmetric,asymetric
exhilaration,exhileration
uranium,uranisium
engine,engins
themselves,theirselves
except,excpt
government,goberment
colon,coaln
ward,whard
spoke,spoak
amateur,amature
ecstasy,ecstacy
polypropylene,polypropalene
alive,allieve
weaken,wicken
unconscious,unconscience
however,howaver
happily,hapily
RSX,rsx
theoretical, theridically
unnatural, unnaturral
combo,cumba
