Subtitle,Institution,Specific Graduate Program,Minimum Score Requirement,Restrictions,State
"Devry University, Rego Park (Queens) Center",,25,1.0,,0
Duke University,,Nicholas School of the Environment,2.0,,31
"Devry University, Downers Grove Center",,25,1.0,,27
Johns Hopkins University,,Carey Business School,2.0,,30
"University of Colorado, Boulder",,Aerospace Engineering,12.0,,24
College of William and Mary (The),,Master of Accounting,9.0,,23
University of Miami,,30,12.0,,32
University of Delaware,,College of Agriculture and Natural Resources,,2,26
University of Dallas,,MS/Master of Business Administration dual degree program,12.0,,11
"University of Phoenix, Downtown St. Louis Learning Center, St. Louis",,0,12.0,,34
"Devry University, San Jose Center",,25,1.0,,9
Alverno College,,1,2.0,,1
"University of Phoenix, Puerto Rico Campus, Guaynabo",,0,12.0,,47
"University of Phoenix, Macon Learning Center, Macon",,0,12.0,,28
Virginia Polytechnic Institute and State University,,MS in Biomedical Technology Development and Managemen,5.0,,23
"University of Michigan, Ann Arbor",,Taubman School - Architecture,5.0,,4
Pace University,,Pace University-Lenox Hill Hospital Physician Assistant Program,6.0,,0
University of Oregon,,School of Architecture and Allied Arts,,2,36
Mississippi State University,Mississippi University for Women,28,2.0,,40
University of Denver,,School of Professional Psychology,5.0,,24
Trine University,,Master of Engineering,6.0,,3
University of Virginia,,Darden School of Business,5.0,,23
"Devry University, Chicago Loop Center",,25,1.0,,27
"City University of Seattle, IntercollegeIBS - Institute of Business Studies",,1,,2,
Florida International University,,School of Computing and Information Sciences,0.0,,32
"Devry University, Westminster Campus",,25,1.0,,24
Hofstra University,,1,,2,0
"University of Hawaii, Hilo",,61,5.0,,44
University of New Haven,,Ph.D. Criminal Justice,7.0,,38
Massachusetts Institute of Technology,,Master of Engineering in Manufacturing,,Contact school for score (IELTS preferred),7
Emory University,,Rollins School of Public Health,1.0,,28
"Devry University, North Brunswick Campus",,25,1.0,,13
University of Virginia,,3,5.0,,23
"City University of Seattle, Vancouver, Canada",,23,,2,20
Alverno College,,Master of Science in Community Psychology,2.0,,1
George Washington University,,School of Medicine and Health Science,5.0,,2
Lamar University,,Ph.D. programs,1.0,,11
"University of Phoenix, San Marcos Learning Center, San Marcos",,0,12.0,,9
"Auburn University, Auburn",,6,0.0,,8
University of Oregon,,Lundquist College of Business,7.0,9,36
University of Houston,,College of Hotel Management,,2,11
University of New Haven,,M.S. Computer Engineering,6.0,,38
Massachusetts Institute of Technology,,Media Arts and Sciences,2.0,5,7
"Northwood University, Texas",,1,2.0,,11
"University of Phoenix, Sacramento Valley Campus, Sacramento",,0,12.0,,9
Dominican University,,Brennan School of Business,1.0,,27
"University of Minnesota, Twin Cities",,13,5.0,,17
Massachusetts Institute of Technology,,Operations Research,2.0,(IELTS preferred),7
University of Scranton,,52,12.0,,16
University of New Haven,,M.S. Environmental Engineering,6.0,,38
Duke University,,7,2.0,,31
"University of Colorado, Boulder",,Environmental Studies,5.0,,24
Doane College,,Master of Arts in Counseling,1.0,,37
Alverno College,,2,2.0,,1
New York Medical College,,"School of Health Sciences and Practice, Master in Public Health",2.0,,0
George Washington University,,Elliot School of International Affairs,2.0,"Master of Business Administration, MSIST and Ph.D. Programs in School of Business and Public Management (no subscore below 6.0)",2
"Devry University, Bakersfield Center",,25,1.0,,9
Dominican University,,15,2.0,,27
University of the Pacific,,Thomas J. Long School of Pharmacy and Health Sciences,12.0,Pharm.D.: * ESL required: 5.0,9
University of Pittsburgh,,School of Health and Rehabilitation,12.0,,16
University of Cincinnati,,6,12.0,,10
"University of Phoenix, Mid Cities Learning Center, Hurst",,0,12.0,,11
Georgia State University,,32,,4,28
"Long Island University, Post",,34,7.0,,0
Luther Seminary,,45,0.0,,17
"Auburn University, Auburn",,8,0.0,,8
Massachusetts Institute of Technology,,47,2.0,,7
"Devry University, Richardson Center",,25,1.0,,11
"University of Phoenix, Des Peres Learning Center, Des Peres",,0,12.0,,34
Niagara University,,1,0.0,,0
University of Georgia,,J.M. Tull School of of Accounting,12.0,,28
"University of Phoenix, Beale AFB Learning Center, Beale AFB",,0,12.0,,9
"University of Phoenix, Clarkesville Learning Center, Clarkeville",,0,12.0,,18
University of Pittsburgh,,29,5.0,12,16
Vanderbilt University,,Master of Science in Nutrition and Dietetics,,2,18
"Devry University, Ft. Lauderdale Center",,25,1.0,,32
Marywood University,,Health Sciences,1.0,,16
Eastern University,,Campolo College Graduate/Professional Studies,0.0,,16
"Devry University, Paramus Center",,25,1.0,,13
Davenport University,,1,2.0,* ESL required: 6.5,4
University of Virginia,,43,5.0,,23
"Devry University, Greenwood Village (Denver South) Center",,25,1.0,,24
University of Pittsburgh,,School of Information Sciences,12.0,,16
"Devry University, Irving Campus",,25,1.0,,11
Northeastern University,,Bouve College of Health Sciences,2.0,,7
"University of Phoenix, Charlotte Campus, Charlotte",,0,12.0,,31
Kent State University,,Department of Geology,1.0,,10
"University of Phoenix, Franklin Learning Center, Franklin",,0,12.0,,18
"University of Phoenix, Lansing Learning Center, Lansing",,0,12.0,,4
Northeastern University,,"College of Arts, Media & Design",5.0,,7
University of Denver,,Graduate Tax Program,,2,24
"Temple University, Japan Campus",,1,,2,
Syracuse University,,S.I. Newhouse School of Public Communications,5.0,,0
"University of Phoenix, Northwest Learning Center, Las Vegas",,0,12.0,,33
"Devry University, Sherman Oaks Campus",,25,1.0,,9
University of Dallas,,24,6.0,(Pre-Master of Business Administration),11
"University of Phoenix, Ontario Learning Center, Ontario",,0,12.0,,9
Capella University (online),,18,0.0,,17
Luther Seminary,,44,2.0,,17
"University of Phoenix, Madison Campus, Madison",,0,12.0,,1
Maryland Institute College of Art,,Rinehart School of Sculpture,,2,30
"University of Phoenix, Chula Vista Learning Center, Chula Vista",,0,12.0,,9
"University of Phoenix, Whichita Campus, Whichita",,0,12.0,,46
"University of Phoenix, Kapolei Learning Center, Kapolei",,0,12.0,,44
