Milestones,Status,Need for Technical Assistance?,Financial Support needed,Priority,Supporting Attachment (to be uploaded in the specified link),Indicator it corresponds to
0,0,0,0,0,0,"2, 3, 0"
Civil Society and Private Sector,0,0,0,0,0,1
Communication Plan,0,0,0,0,0,L
Conduct Structural reform,0,0,0,0,0,0
Formal decision to renew composition and membership by CCM,0,0,0,0,0,2
Government Sector,0,0,0,0,0,1
Implement Oversight activities (over a period of 6 months at least),0,0,0,0,0,D
Implementation (including signature of COI forms),0,0,0,0,0,3
Implementation of Communication Plan,0,0,0,0,0,"F, C"
Implementation of renewal (including constituency mobilization),0,0,0,0,0,"G, H, I, K, P, J, M"
Membership Renewal Calendar,0,0,0,0,0,2
Organogram and Terms of Reference,0,0,0,0,0,0
Partners,0,0,0,0,0,1
Plan,0,0,0,0,0,A
Plan composition (number and repartition),0,0,0,0,0,2
Policy developped and endorsed by CCM,0,0,0,0,0,N
Structure + Membership,0,0,0,0,0,0
Tools,0,0,0,0,0,1
Training + Capacity Building,0,0,0,0,0,"D, E, F"
