Name,Jersey #,Year,Position,Ht
Maynard H. Jackson,,,,
Douglass,,,,
Grady,,,,
Lithonia,,,,
Grady,,,,
Douglass,,,,
D.M. Therrell,,,,
Lithonia,,,,
Carver,,,,
Booker T. Washington,,,,
Benjamen E. Mays,,,,
Keevis Montgomery,49.0,10.0,15,7
Booker T. Washington,,,,
Maynard H. Jackson,,,,
Benjamen E. Mays,,,,
South Atlanta,,,,
Benjamen E. Mays,,,,
Carver,,,,
Best Academy,,,,
Anthony Washington,33.0,11.0,0,1
Grady,,,,
Best Academy,,,,
Lithonia,,,,
North Atlanta,,,,
South Atlanta,,,,
Benjamen E. Mays,,,,
Lithonia,,,,
Grady,,,,
Maynard H. Jackson,,,,
Best Academy,,,,
Grady,,,,
Carver,,,,
Maynard H. Jackson,,,,
Best Academy,,,,
Booker T. Washington,,,,
Carver,,,,
South Atlanta,,,,
North Atlanta,,,,
D.M. Therrell,,,,
Grady,,,,
Carver,,,,
Maynard H. Jackson,,,,
Benjamen E. Mays,,,,
South Atlanta,,,,
Carver,,,,
Best Academy,,,,
Carver,,,,
Benjamen E. Mays,,,,
Evan Price,35.0,11.0,15,5
Maynard H. Jackson,,,,
North Atlanta,,,,
Carver,,,,
North Atlanta,,,,
Vonte Anderson,10.0,,,
Quentin Florentina,56.0,,,
Maynard H. Jackson,,,,
South Atlanta,,,,
Grady,,,,
South Atlanta,,,,
North Atlanta,,,,
D.M. Therrell,,,,
North Atlanta,,,,
D.M. Therrell,,,,
South Atlanta,,,,
Benjamen E. Mays,,,,
Booker T. Washington,,,,
D.M. Therrell,,,,
Grady,,,,
South Atlanta,,,,
Douglass,,,,
Lithonia,,,,
Grady,,,,
Benjamen E. Mays,,,,
Lithonia,,,,
South Atlanta,,,,
North Atlanta,,,,
Benjamen E. Mays,,,,
Douglass,,,,
Benjamen E. Mays,,,,
Grady,,,,
Carver,,,,
Booker T. Washington,,,,
Best Academy,,,,
Lithonia,,,,
Maynard H. Jackson,,,,
Douglass,,,,
North Atlanta,,,,
Booker T. Washington,,,,
Grady,,,,
Carver,,,,
Benjamen E. Mays,,,,
Grady,,,,
Benjamen E. Mays,,,,
Grady,,,,
Douglass,,,,
Benjamen E. Mays,,,,
Maynard H. Jackson,,,,
Benjamen E. Mays,,,,
Emanuel Burns,68.0,11.0,20,4
North Atlanta,,,,
Best Academy,,,,
North Atlanta,,,,
Grady,,,,
Benjamen E. Mays,,,,
South Atlanta,,,,
Grady,,,,
Benjamen E. Mays,,,,
Lithonia,,,,
Best Academy,,,,
Carver,,,,
Maynard H. Jackson,,,,
Tavorus Noland,3.0,9.0,,
John Davis,42.0,9.0,,
