Y/N,Delivery Type
2. Usually Required,
3. Project Dependent,
,Development
,Development
,Document
,Vendor Management
2. Usually Required,
1. Approvals,
,Signoff
3. Project Dependent,
,Development
,Development
2. Usually Required,
Y,Document
1. Approvals,
2. Usually Required,
Y,Meeting
Y,Document
3. Project Dependent,
,Document
2. Usually Required,
3. Project Dependent,
2. Usually Required,
3. Project Dependent,
2. Usually Required,
1. Approvals,
3. Project Dependent,
2. Usually Required,
3. Project Dependent,
,Document
2. Usually Required,
3. Project Dependent,
,Development
,Document
2. Usually Required,
3. Project Dependent,
2. Usually Required,
3. Project Dependent,
,Document
,Document
,Document
2. Usually Required,
3. Project Dependent,
,Document
,Development
2. Usually Required,
3. Project Dependent,
,Development
,Development
