Common Name (click for description),Moisture Requirement
GRASSES,
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,
WILDFLOWERS - Meadows - Sun to Partial Shade,
TREES - Large (25 - 50+'),
TREES - Small (< 25'),
WILDFLOWERS - Meadows - Sun to Partial Shade,
Rose Mallow,1.0
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,
TREES - Large (25 - 50+'),
SHRUBS - Small (< 3'),
AQUATIC PLANTS - Sun to Partial Shade,
TREES - Small (< 25'),
WILDFLOWERS - Meadows - Sun to Partial Shade,
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,
FERNS,
WILDFLOWERS - Meadows - Sun to Partial Shade,
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,
SHRUBS - Small (< 3'),
AQUATIC PLANTS - Sun to Partial Shade,
SHRUBS - Large (> 6'),
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,
SHRUBS - Large (> 6'),
FERNS,
SHRUBS - Large (> 6'),
SHRUBS - Small (< 3'),
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,
GRASSES,
Indian Grass,0.0
SHRUBS - Large (> 6'),
WILDFLOWERS - Meadows - Sun to Partial Shade,
SHRUBS - Medium (3 - 6'),
VINES,
GRASSES,
WILDFLOWERS - Meadows - Sun to Partial Shade,
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,
WILDFLOWERS - Meadows - Sun to Partial Shade,
SHRUBS - Large (> 6'),
GRASSES,
WILDFLOWERS - Meadows - Sun to Partial Shade,
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,
Mayapple,3.0
SHRUBS - Medium (3 - 6'),
WILDFLOWERS - Meadows - Sun to Partial Shade,
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,
WILDFLOWERS - Meadows - Sun to Partial Shade,
TREES - Small (< 25'),
TREES - Large (25 - 50+'),
WILDFLOWERS - Meadows - Sun to Partial Shade,
SHRUBS - Medium (3 - 6'),
SHRUBS - Large (> 6'),
FERNS,
SHRUBS - Large (> 6'),
AQUATIC PLANTS - Sun to Partial Shade,
WILDFLOWERS - Meadows - Sun to Partial Shade,
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,
GRASSES,
WILDFLOWERS - Meadows - Sun to Partial Shade,
Beebalm,2.0
FERNS,
SHRUBS - Large (> 6'),
WILDFLOWERS - Meadows - Sun to Partial Shade,
TREES - Small (< 25'),
WILDFLOWERS - Meadows - Sun to Partial Shade,
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,
Wild Ginger,0.0
VINES,
FERNS,
SHRUBS - Large (> 6'),
SHRUBS - Medium (3 - 6'),
Wild Hydrangea,3.0
WILDFLOWERS - Meadows - Sun to Partial Shade,
AQUATIC PLANTS - Sun to Partial Shade,
SHRUBS - Large (> 6'),
TREES - Large (25 - 50+'),
FERNS,
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,
GRASSES,
WILDFLOWERS - Meadows - Sun to Partial Shade,
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,
GRASSES,
SHRUBS - Large (> 6'),
TREES - Large (25 - 50+'),
WILDFLOWERS - Meadows - Sun to Partial Shade,
TREES - Large (25 - 50+'),
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,
Mad Dog Skullcap,2.0
SHRUBS - Medium (3 - 6'),
WILDFLOWERS - Meadows - Sun to Partial Shade,
Spotted Joe-Pye,2.0
SHRUBS - Large (> 6'),
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,
WILDFLOWERS - Meadows - Sun to Partial Shade,
TREES - Small (< 25'),
WILDFLOWERS - Meadows - Sun to Partial Shade,
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,
VINES,
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,
TREES - Large (25 - 50+'),
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,
AQUATIC PLANTS - Sun to Partial Shade,
TREES - Large (25 - 50+'),
WILDFLOWERS - Meadows - Sun to Partial Shade,
TREES - Large (25 - 50+'),
AQUATIC PLANTS - Sun to Partial Shade,
FERNS,
WILDFLOWERS - Meadows - Sun to Partial Shade,
Purple Blazing Star,3.0
FERNS,
WILDFLOWERS - Meadows - Sun to Partial Shade,
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,
TREES - Small (< 25'),
SHRUBS - Small (< 3'),
