Activities,Y/N,Delivery Type
3. Project Dependent,,
2. Usually Required,,
1. Approvals,,
Database Design shanges,,Signoff
3. Project Dependent,,
2. Usually Required,,
3. Project Dependent,,
Modify contract(s),,Document
Modify online service,,Development
2. Usually Required,,
3. Project Dependent,,
French Translation,,Document
New Software,,Development
2. Usually Required,,
3. Project Dependent,,
Update Disaster Recovery Plan,,Document
Modify SLA,,Document
2. Usually Required,,
3. Project Dependent,,
2. Usually Required,,
3. Project Dependent,,
2. Usually Required,,
3. Project Dependent,,
New database,,Development
Hardware Upgrade,,Development
New Operations document(s),,Document
2. Usually Required,,
