correction,misspell
voluptuous,volumptuous
description,descrption
government, gobernement
parameters,paramers
butter,buder
interpreter,interpretter
hysterical,hystrical
phone,fone
student,stutent
horse,hourse
roughly,rought
illegitimate,illegitament
documentation,documtations
independent,independant
court,courst
absorption,absorbtion
desiccate,dessicate
old,olf
exercise,excercise
the, thw
housing,houssing
factorization,factontion
sonic,soonec
vinaigrette,vinagarette
anatomy, anotomy
error,errara
tyranny,tyrrany
broccoli,brocolli
tomorrow, tomorow
came,gamne
picturesque,picaresque
intelligent, intellegent
Nevada,nevade
hyphen, hyfin
consensus,concensus
acquire,equire
developments,develepment
under_ladder,underladder
in_depth,indepth
indent,ident
pronunciation, pronounciation
inefficient,inefficite
fantasy,famdasy
interface,inerface
announcement,annonsment
embed,imbed
environmental,envireminakl
moving,oving
existence,egsistence
steering,stering
embarrass, embaress
infamy,imfamy
dynamic,dymatic
gradually,gradualy
intelligent, intelegent
decision,disition
browse,bbrose
most_likely,mostlikely
elegant,elagent
organize,organise
oscilloscope,oscilascope
voluntarism,volunteerism
inoculate,innoculate
particular,partrucal
commitment, comittmend
immediately,imediaetly
interested,intertes
development, develpond
favor,faver
cosmopolitan,cosmoplyton
parameters, paranets
wimp,whimp
unconscious,unconscience
madness,maddness
recurring,reoccurring
Stephen,Steffen
redesign,redign
crucified,crusifed
independent, independenent
leisure,lesure
unfortunately, unfortunently
memento,momento
hyphen,hifin
caveats,cravets
all_right,alright
divulge,devulge
help,heellp
disagree,diagree
accommodate,accomodate
tough,taff
salute,salut
style_guide,styleguide
inconvenience,inconvience
constant,contast
subpoena,subpena
sherbet,sherbert
subscribed,subjecribed
dictionary,ductioneery
acquaintance,aquantance
radius,radious
epitome,epitomy
automatically,autoamlly
gotten,gotton
enhance,enhence
archetype,archeype
dangle,dongle
critique,criqitue
parameter,parametic
accommodate, acommadate
coolly,cooly
intelligent, intelignt
dramatically,dramaticly
orient,orientate
site,sitte
your,youe
judgement,judgment
bankrupt,bankrot
knowing,knawing
trouble,trubbel
nuzzled,nozled
organize, organiz
government,goberment
safely,saftly
discussion,disssicion
dependable,dependeble
bush,buch
more,mroe
themselves,theirselves
RSX,rsx
circle,cicle
accidentally,accidently
destroy,distroy
Susan,susan
distract,distarct
resemblance,reseblence
foresee,forsee
opossum,opposim
swimwear,swim_wear
yield,yeild
button,buton
miscellaneous,misilous
initialized,initinized
have,havne
quiz,quoz
sneaked,snuck
favour,faver
bureaucracy, burracracy
sense,sence
laser,luser
substitutions,subisitions
spoke,spoak
international,internation
octogenarian,octagenarian
kilometre,lilometer
government, gobernment
generally,generly
critique, ctitique
combo,cumba
unnatural,unatourral
won't,wan't
problematic,proplematic
however,howaver
graceful,gracefull
ability,abilitey
embarrassment,embarassment
memory,meory
sugar,suger
constant, contastant
synchronization,syncorization
initial,inital
this,ths
politician,polation
defiantly,defenly
accord,acord
indispensable,indispensible
hello, helo
embarrass,embarass
technically,techniquely
defence,defense
pragmatism,pragmaticism
irresistible,irresistable
hyphen, hifine
wait,waite
smile,smil
section,secion
fantasia,phantasia
situation,situration
media,midia
necessary, necesary
except,excpt
permissive,permmasivie
independent, indepnends
committee,comitte
judgment,judgement
inadvertent,inadvertant
prerogative,perogative
signal,singal
environment,enviroment
procedures,proceedures
straitjacket,straightjacket
naive,nieve
unnatural, unnaturral
tragedy,tradegy
exceed,excede
ambivalent,ambivilant
architecture,aratictature
titillate,titalate
croak,croke
function,fuction
properly,properally
niece,neice
encyclopedia, encyclopia
beginning,beggining
supersede,supercede
asymmetric,asymetric
frustrating,frustartaion
unfortunately, unfortally
height,heighth
separate,seperate
tattoos,tattos
credibility,credetability
preceding,preceeding
rudimentary,rudemtry
liaison,liason
raccoon,reccona
scrabble,scrabdle
believe, belive
psychologist,pscolgst
commercials,commerciasl
neighbor,neighbour
caller,cauler
committee, commitee
amateur,amature
commitment, comittmen
mike,mic
insidious,incedious
dog, doog
leave,leasve
circle, circue
the,teh
rampantly,ramplily
initialized, initized
specifically,specificialy
neighbour,neighbor
eventually,evtually
what,whaaat
theoretical, theridically
consonant,consident
test, ttest
desperate,desparate
description, descrptn
lesion,liasion
bureau,beauro
insistent,insistant
simplicity, simpfilty
maximum,maxium
up_cast,upcast
anatomy,anonomy
compiler,comiler
execution,excution
beginning, beging
companies,companys
rectangle,rectangeles
occurrence,occurence
at,ast
precision, precios
explicitly,expleyly
uranium,uranisium
anoint,annoint
library,libary
fax,faxe
intelligent, intelegnent
psychologist, psicolagest
alcohol,alchohol
congratulations,congradulations
happily,hapily
everything,evething
occasion,ocassion
intelligent, intelejent
test,tesst
pronunciation, pronisation
bleat,blait
masks,maks
not_in,notin
irritable,irritible
draft,deaft
intelligent, intejilent
flattering,flatterring
distort,distart
objects,objectsion
layer,lloyer
aggressive,aggresive
attentively,atentively
colon,coaln
basically,basicly
installation,instulation
crucifixion,crucifiction
polygamy,poligamy
recommend,reccomend
due,dur
intelligent,intealignt
spell,spel
intelligent, intellagant
hypothesis, hypotathese
recognize,reconise
colloquialism,colloquilism
commitment,comitmment
ennui,ennuui
want,mant
turned,tured
encapsulation,encapsualtion
sacrilegious,sacreligious
grammar,grammer
circumstances,circumstaces
seize,sieze
monkey, monkay
alcoholic,alchoholic
crazy,crasy
architecture, aricticure
asymptote,asentote
extensions,extions
privilege,privielage
implements,implemtes
sylph,slyph
theoretically,thredically
bureaucracy, buracracy
metaphysical,pataphysical
maintenance,maintanence
john,johhn
butter, budr
intelligent, intellgnt
dangerous,danguages
behaviour,behavior
receive,recieve
help, hellp
satisfy,satifly
better,metter
download,doenload
losing,lossing
insistent, insistenet
marshal,marshall
occasionally,accosinly
prefixes,prefices
encyclopedia,encyclapidia
error, erro
committed,commited
pronunciation,pronensiation
phenomenal,phenominal
however, howver
guard,gaurd
directly,direcyly
likely,likly
appreciated,appreceiated
respect,respct
noticeably,noticably
amplification,amification
mouser,mousr
politic,politict
