correction,misspell
Nevada,nevade
RSX,rsx
Stephen,Steffen
Susan,susan
ability,abilitey
absorption,absorbtion
accidentally,accidently
accommodate,"accomodate,  acommadate"
accord,acord
acquaintance,aquantance
acquire,equire
aggressive,aggresive
alcohol,alchohol
alcoholic,alchoholic
all_right,alright
amateur,amature
ambivalent,ambivilant
amplification,amification
anatomy," anotomy, anonomy"
announcement,annonsment
anoint,annoint
appreciated,appreceiated
archetype,archeype
architecture,"aratictature,  aricticure"
asymmetric,asymetric
asymptote,asentote
at,ast
attentively,atentively
automatically,autoamlly
bankrupt,bankrot
basically,basicly
beginning,"beggining,  beging"
behaviour,behavior
believe, belive
better,metter
bleat,blait
broccoli,brocolli
browse,bbrose
bureau,beauro
bureaucracy," burracracy,  buracracy"
bush,buch
butter,"buder,  budr"
button,buton
caller,cauler
came,gamne
caveats,cravets
circle,"cicle,  circue"
circumstances,circumstaces
colloquialism,colloquilism
colon,coaln
combo,cumba
commercials,commerciasl
commitment," comittmend,  comittmen, comitmment"
committed,commited
committee,"comitte,  commitee"
companies,companys
compiler,comiler
congratulations,congradulations
consensus,concensus
consonant,consident
constant,"contast,  contastant"
coolly,cooly
cosmopolitan,cosmoplyton
court,courst
crazy,crasy
credibility,credetability
critique,"criqitue,  ctitique"
croak,croke
crucified,crusifed
crucifixion,crucifiction
dangerous,danguages
dangle,dongle
decision,disition
defence,defense
defiantly,defenly
dependable,dependeble
description,"descrption,  descrptn"
desiccate,dessicate
desperate,desparate
destroy,distroy
development, develpond
developments,develepment
dictionary,ductioneery
directly,direcyly
disagree,diagree
discussion,disssicion
distort,distart
distract,distarct
divulge,devulge
documentation,documtations
dog, doog
download,doenload
draft,deaft
dramatically,dramaticly
due,dur
dynamic,dymatic
elegant,elagent
embarrass," embaress, embarass"
embarrassment,embarassment
embed,imbed
encapsulation,encapsualtion
encyclopedia," encyclopia, encyclapidia"
enhance,enhence
ennui,ennuui
environment,enviroment
environmental,envireminakl
epitome,epitomy
error,"errara,  erro"
eventually,evtually
everything,evething
exceed,excede
except,excpt
execution,excution
exercise,excercise
existence,egsistence
explicitly,expleyly
extensions,extions
factorization,factontion
fantasia,phantasia
fantasy,famdasy
favor,faver
favour,faver
fax,faxe
flattering,flatterring
foresee,forsee
frustrating,frustartaion
