year,day,1,2,3,4,5,6,7,8,9,10,11,12
1964,1,174.225,160.805,117.887,195.75799999999998,152.533,103.14399999999999,129.001,112.53,104.264,188.528,163.55100000000002,167.53599999999997
1964,2,149.364,131.37,118.691,135.321,148.275,160.51,101.694,128.972,108.902,104.507,155.93,138.99200000000002
1964,3,165.34,181.93099999999998,167.297,133.615,154.269,148.869,119.085,167.829,197.55599999999998,147.61,150.857,137.333
1964,4,106.954,182.97299999999998,131.468,170.268,154.001,124.572,103.815,140.504,119.535,169.045,147.53799999999998,109.905
1964,5,154.725,143.555,101.44200000000001,127.977,180.676,132.019,106.744,121.696,154.32299999999998,198.52900000000002,178.391,102.876
1964,6,104.524,193.783,144.944,162.019,158.917,104.344,101.809,154.761,184.352,122.53,142.22799999999998,126.932
1964,7,171.732,191.604,186.27599999999998,148.875,182.144,118.635,148.333,156.233,106.68299999999999,116.958,171.17700000000002,154.688
1964,8,197.24400000000003,176.65400000000002,111.677,121.184,140.657,130.003,160.53799999999998,125.846,193.173,125.12899999999999,122.398,190.813
1964,9,110.676,159.536,100.39,177.563,195.58599999999998,135.769,190.91,149.22,188.87,185.477,150.433,172.188
1964,10,179.99200000000002,135.597,185.47400000000002,123.579,168.53900000000002,197.208,194.36700000000002,151.47,128.745,116.84200000000001,132.131,129.97799999999998
1964,11,150.192,161.011,195.5,135.381,122.587,199.544,184.023,126.413,142.976,173.179,178.737,125.12899999999999
1964,12,127.32700000000001,154.96200000000002,122.68700000000001,145.507,173.997,107.26799999999999,103.708,165.922,128.713,133.791,115.53399999999999,140.58700000000002
1964,13,143.233,168.69099999999997,195.187,164.565,187.739,121.10700000000001,196.737,180.96400000000003,186.917,179.546,102.135,174.253
1964,14,156.68200000000002,122.527,161.453,145.792,165.516,123.382,133.139,132.985,170.72400000000002,175.423,178.31400000000002,196.283
1964,15,153.477,188.41299999999998,182.90400000000002,155.727,144.52100000000002,198.08,197.428,182.572,171.11599999999999,150.785,179.987,133.283
1964,16,188.37,107.323,148.879,176.25599999999997,149.03,134.071,175.65200000000002,154.498,184.00599999999997,168.572,130.765,152.21200000000002
1964,17,136.263,192.645,175.07,176.852,157.356,131.59,191.043,168.328,167.563,191.923,126.16799999999999,178.86700000000002
1964,18,134.66899999999998,196.43900000000002,116.40299999999999,113.083,131.15200000000002,119.333,156.248,128.80200000000002,118.458,130.30200000000002,135.268,192.644
1964,19,157.501,178.605,125.84299999999999,194.53400000000002,159.379,153.757,120.868,186.503,108.749,137.945,167.037,171.081
1964,20,113.83,156.922,193.283,107.491,131.21,157.468,191.049,187.516,176.09900000000002,170.96,123.363,181.081
1964,21,198.382,192.926,133.359,134.347,129.19799999999998,129.115,154.02100000000002,196.394,170.639,108.475,143.869,118.43799999999999
1964,22,184.78599999999997,175.638,107.60799999999999,127.89299999999999,186.40400000000002,104.30799999999999,159.17,114.84700000000001,182.3,110.537,148.856,195.908
1964,23,193.218,144.77700000000002,130.542,107.368,195.79,196.25900000000001,102.182,122.5,129.355,182.614,108.064,115.346
1964,24,131.941,105.82600000000001,111.988,152.637,129.07,144.563,176.27900000000002,110.821,157.779,118.44,102.771,168.843
1964,25,129.085,118.39200000000001,185.18,195.641,101.749,182.08,139.238,193.641,160.19,117.21600000000001,130.46200000000002,115.985
1964,26,106.87100000000001,157.64600000000002,122.57799999999999,110.124,159.694,110.616,120.564,151.74,118.11200000000001,187.956,181.88299999999998,199.385
1964,27,137.781,129.41299999999998,130.796,101.414,192.40400000000002,146.691,122.40100000000001,116.13799999999999,167.125,155.963,169.642,127.83
1964,28,131.037,132.793,199.734,137.375,153.262,168.805,157.769,138.534,110.331,157.627,176.498,117.351
1964,29,113.67299999999999,125.26100000000001,114.912,111.691,191.791,113.819,193.498,128.451,168.50799999999998,175.36700000000002,125.512,165.485
1964,30,167.423,188.887,162.744,103.23,123.1,103.95700000000001,159.782,190.72299999999998,157.86700000000002,129.9,168.64700000000002,121.402
