"Product Code
nieuw",VPE,Omschrijving 2,EAN code,Omschrijving 1,Bruto systeemprijs
Cable stripper,,,,,
Accessoires,,,,,
Cable stripper,,,,,
Cable knives,,,,,
79028,,Cable bracket No. 28,4011391790285.0,"Jokari Wisselbeugel 8 - 28mm O, systeem 4-70",14.65
Cable knives Standard,,,,,
Accessoires,,,,,
Various models,,,,,
Cable knives Standard,,,,,
Wire stripper,,,,,
Cable stripper,,,,,
Accessoires,,,,,
Cable stripper,,,,,
Wire stripper,,,,,
Various models,,,,,
Cable knives Standard,,,,,
Micro Wire Stripper,,,,,
40075,,SWS-Plus 040,4011391400757.0,Jokari Micro Draadstripper SWS-Plus 040,27.1
40065,,SWS-Plus 030,4011391400658.0,Jokari Micro Draadstripper SWS-Plus 030,27.1
Cable stripper,,,,,
Wire stripper,,,,,
Accessoires,,,,,
Cable stripper,,,,,
Wire stripper,,,,,
Cable knives Secura,,,,,
Micro Wire Stripper,,,,,
Wire stripper,,,,,
Micro Wire Stripper,,,,,
Cable knives,,,,,
Cable stripper,,,,,
Micro Wire Stripper,,,,,
Cable knives Secura,,,,,
Cable knives Standard,,,,,
Micro Wire Stripper,,,,,
Cable knives Secura,,,,,
10270,,No. 27,4011391102705.0,Jokari Kabelmes Secura Nr. 27,14.3
Accessoires,,,,,
Micro Wire Stripper,,,,,
Wire stripper,,,,,
Micro Wire Stripper,,,,,
Cable knives Standard,,,,,
Cable knives,,,,,
Accessoires,,,,,
Cable knives,,,,,
Various models,,,,,
Wire stripper,,,,,
20060,,Special,4011391200609.0,Jokari Draadstripper Special,68.60000000000001
Cable stripper,,,,,
Wire stripper,,,,,
Cable stripper,,,,,
Accessoires,,,,,
Various models,,,,,
Cable stripper,,,,,
Various models,,,,,
Accessoires,,,,,
Cable stripper,,,,,
Accessoires,,,,,
29030,,EM-Set FKZ,,Jokari FKZ Set reservemesjes,30.4
Cable knives Standard,,,,,
Cable stripper,,,,,
30810,,LC-PUR,4011391308107.0,Jokari Kabelstripper LC-PUR,56.45
30600,,Secura Coaxi No.1,4011391306004.0,Jokari Kabelstripper Secura Coaxi No. 1,15.9
Wire stripper,,,,,
Micro Wire Stripper,,,,,
40045,,SWS-Plus 020,4011391400450.0,Jokari Micro Draadstripper SWS-Plus 020,27.1
Cable knives Standard,,,,,
Accessoires,,,,,
Micro Wire Stripper,,,,,
Cable stripper,,,,,
Cable knives,,,,,
Micro Wire Stripper,,,,,
40015,,SWS-Plus 012,4011391400153.0,Jokari Micro Draadstripper SWS-Plus 012,27.1
Cable knives,,,,,
Cable stripper,,,,,
Cable knives Standard,,,,,
Cable stripper,,,,,
Micro Wire Stripper,,,,,
Cable stripper,,,,,
Cable knives Standard,,,,,
Cable stripper,,,,,
Accessoires,,,,,
29100,,EM-Set Secura 2K,,Jokari Secura 2K Set reservemesjes,17.650000000000006
Cable knives Standard,,,,,
Micro Wire Stripper,,,,,
Cable knives Standard,,,,,
Accessoires,,,,,
