PROJECT,Item,Quantity Required,Price
SMELLS LIKE,Cotton balls,1,2.9
EXPLORE WATER,Turkey baster,4,3.75
EXPLORE WATER,Empty bin,2,
OOBLECK,Small drinking cups,5,2.0
SECRET MESSAGES,Lemon juice,1 cup,2.48
RING AND PIN,Popscicle sticks,7,
OOBLECK,craft sticks,100,2.7
OOBLECK,egg carton,1 (donation),
EXPLORE WATER,Empty soap dispensers ,(donation) 1 per bin,
SAND PAPER ART,copy paper,9,
OOBLECK,Large mixing bowl,1,6.47
SECRET MESSAGES,Crayons,1,2.94
OOBLECK,aluminum foil,1 small roll,2.0
OOBLECK,packing foam pieces,1 gallon ziploc full,
EXPLORE WATER,Soda bottles,3,
OOBLECK,Lego pieces,(from site),
ENVIROLOPES,Letter-sized envelopes ,0,2.5
OOBLECK,drinking straws,1/2 package,2.0
RING AND PIN,Metal washers,5,
EXPLORE WATER,Sponge,4,2.98
INVENTIONS: BAG OF JUNK,"Watering Devices: Turkey baster, water pumps, straws, hoses","(donation, save from EXPLORE WATER)",
SMELLS LIKE,Small containers with lids,6,4.93
SAND PAPER ART,wax paper ,9,
OOBLECK,bar of soap,1,2.0
SCRATCH & SNIFF NAMETAGS,Lined Name Cards,5,3.36
INVENTIONS: BAG OF JUNK,"Building materials: Blocks, wood scraps, tiles, plastic wrap, popsicle sticks, wire, clay","(donation, around site)",
INVENTIONS: BAG OF JUNK,Hammers,2,5.95
ENVIROLOPES,Yarn (optional),0,2.97
OOBLECK,bubble wrap,1 foot,5.44
SECRET MESSAGES,q-tips,5,2.68
INVENTIONS: BAG OF JUNK,"Broken clocks, equipment","(Petty cash, donation)",
GLURCH,Paper bowls,5,2.17
GLURCH,Large spoon,1,
CUBIST COLLAGE,Scissors,0,2.51
SAND PAPER ART,crayons,2 boxes,
CUBIST COLLAGE,Glue/tape,8,2.0
EXPLORE WATER,Pipettes or eyedroppers,3 per bin,4.94
INVENTIONS: BAG OF JUNK,"Recycled Items: egg cartons, bubble wrap, empty boxes, containers",3,
SAND PAPER ART,60 grit sandpaper,1 sheet per project,
SECRET MESSAGES,Mirror,1,4.94
SECRET MESSAGES,Magnifier,1,10.48
GLURCH,Borax powder,2 teaspoons,3.97
ENVIROLOPES,Glue sticks,1,1.42
GLURCH,Mixing bowl,2,6.47
RING AND PIN,Recycled items (see preparation),3,
OOBLECK,sponges,2,2.98
CUBIST COLLAGE,Cardstock,1 piece per child,
INVENTIONS: BAG OF JUNK,"Small Stuff: bottle caps, toothpicks, screws, thread",6,
OOBLECK,paper clips,7,2.0
CUBIST COLLAGE,Old magazines,6,
SMELLS LIKE,Smelly stuff,(petty cash),
EXPLORE WATER,Plastic cups,2 per bin,2.58
SCRATCH & SNIFF NAMETAGS,Jello-O,3 colors per 10 kids,5.29
INVENTIONS: BAG OF JUNK,"Things that roll: marbles, dowels, toy wheels, paper towel and toiler paper rolls, balls, beads)",6,
SECRET MESSAGES,Children's dictionary,1,11.39
INVENTIONS: BAG OF JUNK,Screwdriver,2,3.69
EXPLORE WATER,Funnel,4,0.89
GLURCH,White glue,2 cups,2.0
EXPLORING MY LIGHT SENSORS,Paper,5,
EXPLORING MY LIGHT SENSORS,Small mirrors,5,
EXPLORING MY LIGHT SENSORS,"Colored pencils, markers, or crayons",8,
SCRATCH & SNIFF NAMETAGS,Small cups,3 per Jell-O,2.97
