id,title,rating,year,duration,actor_1,actor_fb_likes_1,actor_2,actor_fb_likes_2,actor_3,actor_fb_likes_3
0,Avatar,PG-13,2009.0,178.0,CCH Pounder,1000.0,Joel David Moore,936.0,Wes Studi,855.0
1,Pirates of the Caribbean: At World's End,PG-13,2007.0,169.0,Johnny Depp,40000.0,Orlando Bloom,5000.0,Jack Davenport,1000.0
2,Spectre,PG-13,2015.0,148.0,Christoph Waltz,11000.0,Rory Kinnear,393.0,Stephanie Sigman,161.0
3,The Dark Knight Rises,PG-13,2012.0,164.0,Tom Hardy,27000.0,Christian Bale,23000.0,Joseph Gordon-Levitt,23000.0
4,Star Wars: Episode VII - The Force Awakens,,,,Doug Walker,131.0,Rob Walker,12.0,,
5,John Carter,PG-13,2012.0,132.0,Daryl Sabara,640.0,Samantha Morton,632.0,Polly Walker,530.0
6,Spider-Man 3,PG-13,2007.0,156.0,J.K. Simmons,24000.0,James Franco,11000.0,Kirsten Dunst,4000.0
7,Tangled,PG,2010.0,100.0,Brad Garrett,799.0,Donna Murphy,553.0,M.C. Gainey,284.0
8,Avengers: Age of Ultron,PG-13,2015.0,141.0,Chris Hemsworth,26000.0,Robert Downey Jr.,21000.0,Scarlett Johansson,19000.0
9,Harry Potter and the Half-Blood Prince,PG,2009.0,153.0,Alan Rickman,25000.0,Daniel Radcliffe,11000.0,Rupert Grint,10000.0
10,Batman v Superman: Dawn of Justice,PG-13,2016.0,183.0,Henry Cavill,15000.0,Lauren Cohan,4000.0,Alan D. Purwin,2000.0
11,Superman Returns,PG-13,2006.0,169.0,Kevin Spacey,18000.0,Marlon Brando,10000.0,Frank Langella,903.0
12,Quantum of Solace,PG-13,2008.0,106.0,Giancarlo Giannini,451.0,Mathieu Amalric,412.0,Rory Kinnear,393.0
13,Pirates of the Caribbean: Dead Man's Chest,PG-13,2006.0,151.0,Johnny Depp,40000.0,Orlando Bloom,5000.0,Jack Davenport,1000.0
14,The Lone Ranger,PG-13,2013.0,150.0,Johnny Depp,40000.0,Ruth Wilson,2000.0,Tom Wilkinson,1000.0
15,Man of Steel,PG-13,2013.0,143.0,Henry Cavill,15000.0,Christopher Meloni,3000.0,Harry Lennix,748.0
16,The Chronicles of Narnia: Prince Caspian,PG,2008.0,150.0,Peter Dinklage,22000.0,Pierfrancesco Favino,216.0,Damián Alcázar,201.0
17,The Avengers,PG-13,2012.0,173.0,Chris Hemsworth,26000.0,Robert Downey Jr.,21000.0,Scarlett Johansson,19000.0
18,Pirates of the Caribbean: On Stranger Tides,PG-13,2011.0,136.0,Johnny Depp,40000.0,Sam Claflin,11000.0,Stephen Graham,1000.0
19,Men in Black 3,PG-13,2012.0,106.0,Will Smith,10000.0,Michael Stuhlbarg,816.0,Nicole Scherzinger,718.0
20,The Hobbit: The Battle of the Five Armies,PG-13,2014.0,164.0,Aidan Turner,5000.0,Adam Brown,972.0,James Nesbitt,773.0
21,The Amazing Spider-Man,PG-13,2012.0,153.0,Emma Stone,15000.0,Andrew Garfield,10000.0,Chris Zylka,963.0
22,Robin Hood,PG-13,2010.0,156.0,Mark Addy,891.0,William Hurt,882.0,Scott Grimes,738.0
23,The Hobbit: The Desolation of Smaug,PG-13,2013.0,186.0,Aidan Turner,5000.0,Adam Brown,972.0,James Nesbitt,773.0
24,The Golden Compass,PG-13,2007.0,113.0,Christopher Lee,16000.0,Eva Green,6000.0,Kristin Scott Thomas,1000.0
25,King Kong,PG-13,2005.0,201.0,Naomi Watts,6000.0,Thomas Kretschmann,919.0,Evan Parke,84.0
26,Titanic,PG-13,1997.0,194.0,Leonardo DiCaprio,29000.0,Kate Winslet,14000.0,Gloria Stuart,794.0
27,Captain America: Civil War,PG-13,2016.0,147.0,Robert Downey Jr.,21000.0,Scarlett Johansson,19000.0,Chris Evans,11000.0
28,Battleship,PG-13,2012.0,131.0,Liam Neeson,14000.0,Alexander Skarsgård,10000.0,Tadanobu Asano,627.0
29,Jurassic World,PG-13,2015.0,124.0,Bryce Dallas Howard,3000.0,Judy Greer,2000.0,Omar Sy,1000.0
30,Skyfall,PG-13,2012.0,143.0,Albert Finney,883.0,Helen McCrory,563.0,Rory Kinnear,393.0
31,Spider-Man 2,PG-13,2004.0,135.0,J.K. Simmons,24000.0,James Franco,11000.0,Kirsten Dunst,4000.0
32,Iron Man 3,PG-13,2013.0,195.0,Robert Downey Jr.,21000.0,Jon Favreau,4000.0,Don Cheadle,3000.0
33,Alice in Wonderland,PG,2010.0,108.0,Johnny Depp,40000.0,Alan Rickman,25000.0,Anne Hathaway,11000.0
34,X-Men: The Last Stand,PG-13,2006.0,104.0,Hugh Jackman,20000.0,Kelsey Grammer,808.0,Daniel Cudmore,560.0
35,Monsters University,G,2013.0,104.0,Steve Buscemi,12000.0,Tyler Labine,779.0,Sean Hayes,760.0
36,Transformers: Revenge of the Fallen,PG-13,2009.0,150.0,Glenn Morshower,894.0,Kevin Dunn,581.0,Ramon Rodriguez,464.0
37,Transformers: Age of Extinction,PG-13,2014.0,165.0,Bingbing Li,974.0,Sophia Myles,956.0,Kelsey Grammer,808.0
38,Oz the Great and Powerful,PG,2013.0,130.0,Tim Holmes,44000.0,Mila Kunis,15000.0,James Franco,11000.0
39,The Amazing Spider-Man 2,PG-13,2014.0,142.0,Emma Stone,15000.0,Andrew Garfield,10000.0,B.J. Novak,825.0
40,TRON: Legacy,PG,2010.0,125.0,Jeff Bridges,12000.0,Olivia Wilde,10000.0,James Frain,1000.0
41,Cars 2,G,2011.0,106.0,Joe Mantegna,1000.0,Thomas Kretschmann,919.0,Eddie Izzard,776.0
42,Green Lantern,PG-13,2011.0,123.0,Ryan Reynolds,16000.0,Temuera Morrison,368.0,Taika Waititi,326.0
43,Toy Story 3,G,2010.0,103.0,Tom Hanks,15000.0,John Ratzenberger,1000.0,Don Rickles,721.0
44,Terminator Salvation,PG-13,2009.0,118.0,Christian Bale,23000.0,Bryce Dallas Howard,3000.0,Common,989.0
45,Furious 7,PG-13,2015.0,140.0,Jason Statham,26000.0,Paul Walker,23000.0,Vin Diesel,14000.0
46,World War Z,PG-13,2013.0,123.0,Peter Capaldi,17000.0,Brad Pitt,11000.0,Mireille Enos,1000.0
47,X-Men: Days of Future Past,PG-13,2014.0,149.0,Jennifer Lawrence,34000.0,Peter Dinklage,22000.0,Hugh Jackman,20000.0
48,Star Trek Into Darkness,PG-13,2013.0,132.0,Benedict Cumberbatch,19000.0,Bruce Greenwood,991.0,Noel Clarke,928.0
49,Jack the Giant Slayer,PG-13,2013.0,114.0,Eddie Marsan,979.0,Ewen Bremner,557.0,Ralph Brown,140.0
50,The Great Gatsby,PG-13,2013.0,143.0,Leonardo DiCaprio,29000.0,Elizabeth Debicki,509.0,Steve Bisley,77.0
51,Prince of Persia: The Sands of Time,PG-13,2010.0,116.0,Jake Gyllenhaal,15000.0,Richard Coyle,567.0,Reece Ritchie,236.0
52,Pacific Rim,PG-13,2013.0,131.0,Charlie Hunnam,16000.0,Clifton Collins Jr.,968.0,Larry Joe Campbell,919.0
53,Transformers: Dark of the Moon,PG-13,2011.0,154.0,Glenn Morshower,894.0,Lester Speight,829.0,Kevin Dunn,581.0
54,Indiana Jones and the Kingdom of the Crystal Skull,PG-13,2008.0,122.0,Harrison Ford,11000.0,Ray Winstone,1000.0,Jim Broadbent,1000.0
55,The Good Dinosaur,PG,2015.0,93.0,A.J. Buckley,275.0,Jack McGraw,150.0,Peter Sohn,113.0
56,Brave,PG,2012.0,93.0,Kelly Macdonald,2000.0,John Ratzenberger,1000.0,Julie Walters,838.0
57,Star Trek Beyond,PG-13,2016.0,122.0,Sofia Boutella,998.0,Melissa Roxburgh,119.0,Lydia Wilson,105.0
58,WALL·E,G,2008.0,98.0,John Ratzenberger,1000.0,Fred Willard,729.0,Jeff Garlin,522.0
59,Rush Hour 3,PG-13,2007.0,91.0,Tzi Ma,268.0,Dana Ivey,271.0,Noémie Lenoir,173.0
60,2012,PG-13,2009.0,158.0,Oliver Platt,1000.0,Liam James,468.0,Tom McCarthy,310.0
61,A Christmas Carol,PG,2009.0,96.0,Robin Wright,18000.0,Colin Firth,14000.0,Gary Oldman,10000.0
62,Jupiter Ascending,PG-13,2015.0,127.0,Channing Tatum,17000.0,Mila Kunis,15000.0,Eddie Redmayne,13000.0
63,The Legend of Tarzan,PG-13,2016.0,110.0,Christoph Waltz,11000.0,Alexander Skarsgård,10000.0,Casper Crump,103.0
64,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",PG,2005.0,150.0,Jim Broadbent,1000.0,Kiran Shah,190.0,Shane Rangi,82.0
65,X-Men: Apocalypse,PG-13,2016.0,144.0,Jennifer Lawrence,34000.0,Michael Fassbender,13000.0,Tye Sheridan,1000.0
66,The Dark Knight,PG-13,2008.0,152.0,Christian Bale,23000.0,Heath Ledger,13000.0,Morgan Freeman,11000.0
67,Up,PG,2009.0,96.0,John Ratzenberger,1000.0,Delroy Lindo,848.0,Jess Harnell,262.0
68,Monsters vs. Aliens,PG,2009.0,94.0,Amy Poehler,1000.0,Rainn Wilson,973.0,Stephen Colbert,459.0
69,Iron Man,PG-13,2008.0,126.0,Robert Downey Jr.,21000.0,Jeff Bridges,12000.0,Jon Favreau,4000.0
70,Hugo,PG,2011.0,126.0,Chloë Grace Moretz,17000.0,Christopher Lee,16000.0,Ray Winstone,1000.0
71,Wild Wild West,PG-13,1999.0,106.0,Will Smith,10000.0,Salma Hayek,4000.0,Bai Ling,582.0
72,The Mummy: Tomb of the Dragon Emperor,PG-13,2008.0,112.0,Jet Li,5000.0,Brendan Fraser,3000.0,Russell Wong,595.0
73,Suicide Squad,PG-13,2016.0,123.0,Will Smith,10000.0,Robin Atkin Downes,336.0,Ike Barinholtz,329.0
74,Evan Almighty,PG,2007.0,96.0,Jimmy Bennett,87000.0,Morgan Freeman,11000.0,Steve Carell,7000.0
75,Edge of Tomorrow,PG-13,2014.0,113.0,Tom Cruise,10000.0,Lara Pulver,854.0,Noah Taylor,509.0
76,Waterworld,PG-13,1995.0,176.0,Jeanne Tripplehorn,711.0,Rick Aviles,60.0,Zakes Mokae,60.0
77,G.I. Joe: The Rise of Cobra,PG-13,2009.0,118.0,Joseph Gordon-Levitt,23000.0,Dennis Quaid,2000.0,Leo Howard,570.0
78,Inside Out,PG,2015.0,95.0,Amy Poehler,1000.0,Mindy Kaling,767.0,Phyllis Smith,384.0
79,The Jungle Book,PG,2016.0,106.0,Scarlett Johansson,19000.0,Bill Murray,13000.0,Garry Shandling,591.0
80,Iron Man 2,PG-13,2010.0,124.0,Robert Downey Jr.,21000.0,Scarlett Johansson,19000.0,Jon Favreau,4000.0
81,Snow White and the Huntsman,PG-13,2012.0,132.0,Chris Hemsworth,26000.0,Kristen Stewart,17000.0,Sam Claflin,11000.0
82,Maleficent,PG,2014.0,97.0,Angelina Jolie Pitt,11000.0,Sharlto Copley,2000.0,Sam Riley,846.0
83,Dawn of the Planet of the Apes,PG-13,2014.0,130.0,Gary Oldman,10000.0,Judy Greer,2000.0,Kodi Smit-McPhee,884.0
84,The Lovers,R,2015.0,109.0,Tamsin Egerton,622.0,Alice Englert,525.0,Bipasha Basu,283.0
85,47 Ronin,PG-13,2013.0,128.0,Keanu Reeves,18000.0,Cary-Hiroyuki Tagawa,1000.0,Jin Akanishi,982.0
86,Captain America: The Winter Soldier,PG-13,2014.0,136.0,Scarlett Johansson,19000.0,Chris Evans,11000.0,Hayley Atwell,2000.0
87,Shrek Forever After,PG,2010.0,93.0,Jon Hamm,4000.0,Kathy Griffin,225.0,Mary Kay Place,213.0
88,Tomorrowland,PG,2015.0,130.0,Judy Greer,2000.0,Chris Bauer,638.0,Thomas Robinson,604.0
89,Big Hero 6,PG,2014.0,102.0,Damon Wayans Jr.,756.0,Daniel Henney,719.0,Abraham Benrubi,562.0
90,Wreck-It Ralph,PG,2012.0,101.0,Jack McBrayer,975.0,Sarah Silverman,931.0,Joe Lo Truglio,833.0
91,The Polar Express,G,2004.0,100.0,Tom Hanks,15000.0,Eddie Deezen,726.0,Peter Scolari,267.0
92,Independence Day: Resurgence,PG-13,2016.0,120.0,Vivica A. Fox,890.0,Sela Ward,812.0,Judd Hirsch,535.0
93,How to Train Your Dragon,PG,2010.0,98.0,Gerard Butler,18000.0,America Ferrera,953.0,Craig Ferguson,759.0
94,Terminator 3: Rise of the Machines,R,2003.0,109.0,Nick Stahl,648.0,M.C. Gainey,284.0,Carolyn Hennesy,191.0
95,Guardians of the Galaxy,PG-13,2014.0,121.0,Bradley Cooper,14000.0,Vin Diesel,14000.0,Djimon Hounsou,3000.0
96,Interstellar,PG-13,2014.0,169.0,Matthew McConaughey,11000.0,Anne Hathaway,11000.0,Mackenzie Foy,6000.0
97,Inception,PG-13,2010.0,148.0,Leonardo DiCaprio,29000.0,Tom Hardy,27000.0,Joseph Gordon-Levitt,23000.0
98,Godzilla Resurgence,,2016.0,120.0,Mark Chinnery,544.0,Shin'ya Tsukamoto,106.0,Atsuko Maeda,12.0
99,The Hobbit: An Unexpected Journey,PG-13,2012.0,182.0,Aidan Turner,5000.0,Adam Brown,972.0,James Nesbitt,773.0
100,The Fast and the Furious,PG-13,2001.0,106.0,Paul Walker,23000.0,Vin Diesel,14000.0,Jordana Brewster,4000.0
101,The Curious Case of Benjamin Button,PG-13,2008.0,166.0,Brad Pitt,11000.0,Jason Flemyng,1000.0,Julia Ormond,919.0
102,X-Men: First Class,PG-13,2011.0,132.0,Jennifer Lawrence,34000.0,Michael Fassbender,13000.0,Oliver Platt,1000.0
103,The Hunger Games: Mockingjay - Part 2,PG-13,2015.0,137.0,Jennifer Lawrence,34000.0,Philip Seymour Hoffman,22000.0,Josh Hutcherson,14000.0
104,The Sorcerer's Apprentice,PG,2010.0,109.0,Nicolas Cage,12000.0,Omar Benson Miller,418.0,Robert Capron,370.0
105,Poseidon,PG-13,2006.0,98.0,Jimmy Bennett,87000.0,Mike Vogel,2000.0,Andre Braugher,702.0
106,Alice Through the Looking Glass,PG,2016.0,113.0,Johnny Depp,40000.0,Alan Rickman,25000.0,Anne Hathaway,11000.0
107,Shrek the Third,PG,2007.0,93.0,Justin Timberlake,3000.0,Eric Idle,795.0,Rupert Everett,692.0
108,Warcraft,PG-13,2016.0,123.0,Dominic Cooper,3000.0,Callum Rennie,716.0,Ruth Negga,648.0
109,Terminator Genisys,PG-13,2015.0,126.0,J.K. Simmons,24000.0,Emilia Clarke,10000.0,Matt Smith,2000.0
110,The Chronicles of Narnia: The Voyage of the Dawn Treader,PG,2010.0,113.0,Bruce Spence,531.0,Shane Rangi,82.0,Laura Brent,59.0
111,Pearl Harbor,PG-13,2001.0,184.0,Jennifer Garner,3000.0,Jaime King,961.0,Mako,691.0
112,Transformers,PG-13,2007.0,144.0,Zack Ward,662.0,Michael O'Neill,599.0,Kevin Dunn,581.0
113,Alexander,R,2004.0,206.0,Anthony Hopkins,12000.0,Angelina Jolie Pitt,11000.0,Brian Blessed,591.0
114,Harry Potter and the Order of the Phoenix,PG-13,2007.0,138.0,Robert Pattinson,21000.0,Daniel Radcliffe,11000.0,Fiona Shaw,687.0
115,Harry Potter and the Goblet of Fire,PG-13,2005.0,157.0,Robert Pattinson,21000.0,Daniel Radcliffe,11000.0,Rupert Grint,10000.0
116,Hancock,PG-13,2008.0,102.0,Will Smith,10000.0,Charlize Theron,9000.0,Eddie Marsan,979.0
117,I Am Legend,PG-13,2007.0,104.0,Will Smith,10000.0,Alice Braga,1000.0,Willow Smith,558.0
118,Charlie and the Chocolate Factory,PG,2005.0,115.0,Johnny Depp,40000.0,Christopher Lee,16000.0,David Kelly,588.0
119,Ratatouille,G,2007.0,111.0,Janeane Garofalo,1000.0,John Ratzenberger,1000.0,Brian Dennehy,954.0
120,Batman Begins,PG-13,2005.0,128.0,Christian Bale,23000.0,Liam Neeson,14000.0,Morgan Freeman,11000.0
121,Madagascar: Escape 2 Africa,PG,2008.0,89.0,Bernie Mac,1000.0,Jada Pinkett Smith,851.0,Cedric the Entertainer,436.0
122,Night at the Museum: Battle of the Smithsonian,PG,2009.0,105.0,Robin Williams,49000.0,Rami Malek,3000.0,Steve Coogan,1000.0
123,X-Men Origins: Wolverine,PG-13,2009.0,119.0,Hugh Jackman,20000.0,Ryan Reynolds,16000.0,Dominic Monaghan,2000.0
124,The Matrix Revolutions,R,2003.0,129.0,Essie Davis,309.0,Collin Chou,269.0,Nona Gaye,233.0
125,Frozen,PG,2013.0,102.0,Josh Gad,1000.0,Maurice LaMarche,523.0,Livvy Stubenrauch,490.0
126,The Matrix Reloaded,R,2003.0,138.0,Steve Bastoni,234.0,Daniel Bernhardt,198.0,Helmut Bakaitis,30.0
127,Thor: The Dark World,PG-13,2013.0,112.0,Chris Hemsworth,26000.0,Natalie Portman,20000.0,Anthony Hopkins,12000.0
128,Mad Max: Fury Road,R,2015.0,120.0,Tom Hardy,27000.0,Charlize Theron,9000.0,Zoë Kravitz,943.0
129,Angels & Demons,PG-13,2009.0,146.0,Tom Hanks,15000.0,Ayelet Zurer,745.0,Armin Mueller-Stahl,294.0
130,Thor,PG-13,2011.0,115.0,Chris Hemsworth,26000.0,Natalie Portman,20000.0,Anthony Hopkins,12000.0
131,Bolt,PG,2008.0,96.0,Chloë Grace Moretz,17000.0,Diedrich Bader,759.0,James Lipton,699.0
132,G-Force,PG,2009.0,88.0,Kelli Garner,730.0,Piper Mackenzie Harris,607.0,Niecy Nash,182.0
133,Wrath of the Titans,PG-13,2012.0,99.0,Liam Neeson,14000.0,Edgar Ramírez,897.0,Lily James,502.0
134,Dark Shadows,PG-13,2012.0,113.0,Johnny Depp,40000.0,Chloë Grace Moretz,17000.0,Christopher Lee,16000.0
135,Mission: Impossible - Rogue Nation,PG-13,2015.0,131.0,Tom Cruise,10000.0,Jeremy Renner,10000.0,Sean Harris,641.0
136,The Wolfman,R,2010.0,119.0,Anthony Hopkins,12000.0,Simon Merrells,490.0,Art Malik,162.0
137,Bee Movie,PG,2007.0,91.0,Matthew Broderick,2000.0,Oprah Winfrey,852.0,Rip Torn,826.0
138,Kung Fu Panda 2,PG,2011.0,90.0,Angelina Jolie Pitt,11000.0,Gary Oldman,10000.0,Mike Bell,15.0
139,The Last Airbender,PG,2010.0,103.0,Seychelle Gabriel,1000.0,Noah Ringer,756.0,Aasif Mandvi,346.0
140,Mission: Impossible III,PG-13,2006.0,124.0,Philip Seymour Hoffman,22000.0,Tom Cruise,10000.0,Eddie Marsan,979.0
141,White House Down,PG-13,2013.0,131.0,Channing Tatum,17000.0,Jake Weber,551.0,Matt Craven,256.0
142,Mars Needs Moms,PG,2011.0,88.0,Elisabeth Harnois,921.0,Dan Fogler,562.0,Tom Everett Scott,433.0
143,Flushed Away,PG,2006.0,85.0,Hugh Jackman,20000.0,Kate Winslet,14000.0,David Suchet,586.0
144,Pan,PG,2015.0,111.0,Hugh Jackman,20000.0,Cara Delevingne,558.0,Nonso Anozie,394.0
145,Mr. Peabody & Sherman,PG,2014.0,92.0,Ty Burrell,3000.0,Zach Callison,1000.0,Karan Brar,517.0
146,Troy,R,2004.0,196.0,Brad Pitt,11000.0,Orlando Bloom,5000.0,Julian Glover,844.0
147,Madagascar 3: Europe's Most Wanted,PG,2012.0,93.0,Jada Pinkett Smith,851.0,Martin Short,770.0,Cedric the Entertainer,436.0
148,Die Another Day,PG-13,2002.0,133.0,Toby Stephens,769.0,Colin Salmon,766.0,Rick Yune,746.0
149,Ghostbusters,PG-13,2016.0,116.0,Ed Begley Jr.,783.0,Kate McKinnon,370.0,Zach Woods,322.0
150,Armageddon,PG-13,1998.0,153.0,Bruce Willis,13000.0,Steve Buscemi,12000.0,Will Patton,537.0
151,Men in Black II,PG-13,2002.0,88.0,Will Smith,10000.0,Rosario Dawson,3000.0,Rip Torn,826.0
152,Beowulf,PG-13,2007.0,115.0,Robin Wright,18000.0,Anthony Hopkins,12000.0,Sebastian Roché,964.0
153,Kung Fu Panda 3,PG,2016.0,95.0,J.K. Simmons,24000.0,Angelina Jolie Pitt,11000.0,Wayne Knight,967.0
154,Mission: Impossible - Ghost Protocol,PG-13,2011.0,133.0,Tom Cruise,10000.0,Jeremy Renner,10000.0,Michael Nyqvist,690.0
155,Rise of the Guardians,PG,2012.0,97.0,Hugh Jackman,20000.0,Kamil McFadden,315.0,Khamani Griffin,161.0
156,Fun with Dick and Jane,PG-13,2005.0,90.0,John Michael Higgins,957.0,Richard Burgi,550.0,David Herman,233.0
157,The Last Samurai,R,2003.0,154.0,Tom Cruise,10000.0,Tony Goldwyn,956.0,Chad Lindberg,445.0
