Day,Local Time,Dir,Speed/ Gust,Temp/ Feels Like,Humidity,Pressure,Cloud Amount,Precip Amount,Weather
Fri 14 Jul,19:00,NE,6 / 6 mph,87 / 86°F,52%,1010 mb,Low level cloud: 0% Mid level cloud: 8% High level cloud: 0% Most Significant Cloud Type: medium 8%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Tue 18 Jul,04:00,SSW,4 / 8 mph,64 / 64°F,65%,1019 mb,Low level cloud: 0% Mid level cloud: 2% High level cloud: 0% Most Significant Cloud Type: medium 2%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Mon 17 Jul,10:00,ENE,11 / 13 mph,87 / 86°F,43%,1021 mb,Low level cloud: 0% Mid level cloud: 7% High level cloud: 0% Most Significant Cloud Type: medium 6%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Sun 16 Jul,22:00,NE,6 / 13 mph,70 / 70°F,65%,1021 mb,Low level cloud: 0% Mid level cloud: 10% High level cloud: 0% Most Significant Cloud Type: medium 9%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Sat 15 Jul,07:00,NNW,6 / 7 mph,81 / 80°F,56%,1013 mb,Low level cloud: 0% Mid level cloud: 3% High level cloud: 0% Most Significant Cloud Type: medium 3%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Sun 16 Jul,10:00,ENE,18 / 21 mph,80 / 80°F,45%,1020 mb,Low level cloud: 0% Mid level cloud: 13% High level cloud: 1% Most Significant Cloud Type: medium 13%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Tue 18 Jul,22:00,SSE,6 / 14 mph,73 / 77°F,64%,1018 mb,Low level cloud: 0% Mid level cloud: 10% High level cloud: 2% Most Significant Cloud Type: medium 9%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Fri 14 Jul,10:00,NE,11 / 13 mph,87 / 88°F,55%,1012 mb,Low level cloud: 0% Mid level cloud: 20% High level cloud: 17% Most Significant Cloud Type: medium 21%,Expect 0.01 In of precipitation over the past 3 hours. 0.01 In,
Sat 15 Jul,22:00,ENE,13 / 26 mph,74 / 77°F,73%,1016 mb,Low level cloud: 0% Mid level cloud: 13% High level cloud: 66% Most Significant Cloud Type: medium 15%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Mon 17 Jul,04:00,ENE,7 / 15 mph,69 / 69°F,65%,1020 mb,Low level cloud: 0% Mid level cloud: 8% High level cloud: 0% Most Significant Cloud Type: medium 7%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Sun 16 Jul,07:00,ENE,16 / 18 mph,79 / 79°F,50%,1019 mb,Low level cloud: 0% Mid level cloud: 27% High level cloud: 1% Most Significant Cloud Type: medium 26%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Fri 14 Jul,16:00,NE,11 / 13 mph,88 / 89°F,46%,1010 mb,Low level cloud: 0% Mid level cloud: 16% High level cloud: 0% Most Significant Cloud Type: medium 15%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Tue 18 Jul,19:00,ESE,10 / 12 mph,87 / 87°F,52%,1017 mb,Low level cloud: 0% Mid level cloud: 6% High level cloud: 4% Most Significant Cloud Type: medium 6%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Fri 14 Jul,22:00,NNE,2 / 5 mph,69 / 69°F,77%,1012 mb,Low level cloud: 0% Mid level cloud: 7% High level cloud: 0% Most Significant Cloud Type: medium 7%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Wed 19 Jul,01:00,S,4 / 7 mph,71 / 71°F,65%,1017 mb,Low level cloud: 0% Mid level cloud: 7% High level cloud: 0% Most Significant Cloud Type: medium 6%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Fri 14 Jul,01:00,ENE,5 / 10 mph,71 / 71°F,85%,1012 mb,Low level cloud: 0% Mid level cloud: 27% High level cloud: 6% Most Significant Cloud Type: medium 27%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Wed 19 Jul,22:00,SSE,6 / 13 mph,76 / 78°F,60%,1016 mb,Low level cloud: 0% Mid level cloud: 5% High level cloud: 3% Most Significant Cloud Type: medium 4%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Mon 17 Jul,22:00,S,4 / 7 mph,72 / 76°F,67%,1020 mb,Low level cloud: 0% Mid level cloud: 1% High level cloud: 3% Most Significant Cloud Type: medium 1%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
