original_title,title_length,production_companies
Taking Lives,12, Atmosphere Entertainment MM
Dirty Dancing: Havana Nights,28,Miramax Films
Veronica Mars,13,Warner Bros.
When a Stranger Calls,21, Screen Gems
Jackass Presents: Bad Grandpa,29, MTV Films
The Patriot,11,Centropolis Entertainment
Resident Evil: Retribution,26,Davis-Films
Edge of Darkness,16, BBC Films
Endless Love,12,Universal Pictures
Nanny McPhee,12, Three Strange Angels
Devil,5, Media Rights Capital
Rescue Dawn,11,Metro-Goldwyn-Mayer (MGM)
Jumping the Broom,17, Our Stories Films
Legend of the Guardians: The Owls of Ga'Hoole,45, Animal Logic
Frailty,7,Cinerenta Medienbeteiligungs KG
Evil Dead,9,TriStar Pictures
Stranger Than Fiction,21,Mandate Pictures
Jack the Giant Slayer,21,New Line Cinema
Edge of Darkness,16, GK Films
Life of Pi,10, Fox 2000 Pictures
The Mechanic,12, Millennium Films
The Invisible,13, Birnbaum / Barber Productions
Hop,3, Illumination Entertainment
The Darkest Hour,16,Summit Entertainment
ParaNorman,10, Laika Entertainment
Swimming Pool,13, FOZ
Free Birds,10, Relativity Media
Head Over Heels,15,Universal Studios
Wrath of the Titans,19, A.I.E.
Transformers: Age of Extinction,31, Amblin Entertainment
The Aviator,11,Appian Way
The Cold Light of Day,21, Film Rites
Killer Elite,12, Ambience Entertainment
The Majestic,12,Village Roadshow Pictures
Knowing,7, Escape Artists
The Wild,8, Hoytyboy Pictures
Dreamcatcher,12, Castle Rock Entertainment
Lions for Lambs,15, Metro-Goldwyn-Mayer (MGM)
Poseidon,8, Next Entertainment
The Twilight Saga: New Moon,27, Temple Hill Entertainment
The Roommate,12,Vertigo Entertainment
Captivity,9,Foresight Unlimited
Gosford Park,12,USA Films
Chronicle,9, Dune Entertainment
The Girl with the Dragon Tattoo,31, Metro-Goldwyn-Mayer (MGM)
Gothika,7,Columbia Pictures Corporation
Annie,5, Overbrook Entertainment
Goosebumps,10, Scholastic Entertainment
The Brothers Bloom,18,The Weinstein Company
