original_title,title_length,production_companies
(500) Days of Summer,20," Watermark,  Dune Entertainment III"
"10,000 BC",9,"Centropolis Entertainment,  Warner Bros.,  Moonlighting Films,  The Department of Trade and Industry of South Africa"
102 Dalmatians,14,Walt Disney Pictures
12 Rounds,9," Midnight Sun Pictures,  Fox Atomic"
12 Years a Slave,16," River Road Entertainment,  New Regency Pictures"
127 Hours,9," Warner Bros., Fox Searchlight Pictures"
13 Going On 30,14,"Columbia Pictures,  Revolution Studios"
1408,4,Dimension Films
15 Minutes,10," Industry Entertainment, New Line Cinema"
16 Blocks,9," Cheyenne Enterprises,  Alcon Entertainment, Donners' Company,  Nu Image Entertainment GmbH,  Millennium Films"
17 Again,8,New Line Cinema
2 Fast 2 Furious,16," Ardustry Entertainment,  Original Film, Mikona Productions GmbH & Co. KG"
2012,4,Columbia Pictures
21 & Over,9," Mandeville Films, Relativity Media"
21 Grams,8,"This Is That Productions,  Mediana Productions Filmgesellschaft,  Y Productions"
21 Jump Street,14," Metro-Goldwyn-Mayer (MGM),  Stephen J. Cannell Productions,  Relativity Media"
22 Jump Street,14," Media Rights Capital,  Original Film"
27 Dresses,10," Fox 2000 Pictures, Spyglass Entertainment"
28 Days Later...,16,DNA Films
28 Weeks Later,14," Fox Atomic, DNA Films,  UK Film Council"
3 Idiots,8,Vidhu Vinod Chopra Productions
30 Days of Night,16,"Columbia Pictures,  HorrorFlix,  Ghost House Pictures"
30 Minutes or Less,18,Columbia Pictures
300,3," Warner Bros.,  Hollywood Gang Productions, Virtual Studios,  Atmosphere Entertainment MM,  Legendary Pictures"
3000 Miles to Graceland,23,"Franchise Pictures,  Warner Bros.,  Morgan Creek Productions"
300: Rise of an Empire,22," Nimar Studios,  Warner Bros.,  Hollywood Gang Productions"
3:10 to Yuma,12,"Tree Line Films,  Yuma,  Relativity Media"
42,2,Warner Bros.
47 Ronin,8," H2F Entertainment, Mid Atlantic Films"
4: Rise of the Silver Surfer,28," 1492 Pictures,  Twentieth Century Fox Film Corporation"
50 First Dates,14,"Columbia Pictures Corporation,  Flower Films (II),  Anonymous Content"
50/50,5," Mandate Pictures, Summit Entertainment"
8 Mile,6," Mikona Productions GmbH & Co. KG, Imagine Entertainment"
88 Minutes,10, Nu Image Entertainment
9,1," Arc Productions,  Starz Animation, Focus Films,  Tim Burton Productions"
A Beautiful Mind,16,"Imagine Entertainment,  DreamWorks SKG"
A Christmas Carol,17,"Walt Disney,  ImageMovers"
A Cinderella Story,18,Gaylord Films
A Dangerous Method,18," Prospero Pictures, Recorded Pictures Company,  The Movie Network,  Lago Film"
A Good Day to Die Hard,22," Mid Atlantic Films, Ingenious Media,  Dune Entertainment"
A Good Year,11," Scott Free Productions, Fox 2000 Pictures"
A Guy Thing,11," David Ladd Films, Metro-Goldwyn-Mayer (MGM)"
A History of Violence,21, BenderSpink
A Knight's Tale,15,"Columbia Pictures Corporation,  Black and Blu Entertainment,  Finestkind"
A Lot Like Love,15," Kevin Messick Productions, Mile High Productions,  Touchstone Pictures,  Beacon Pictures"
A Man Apart,11," ""DIA"" Productions GmbH & Co. KG, New Line Cinema,  Newman/Tooley Films"
A Mighty Heart,14,"Plan B Entertainment,  Revolution Films"
A Most Violent Year,19," Washington Square Films,  FilmNation Entertainment"
A Nightmare on Elm Street,25,"New Line Cinema,  Platinum Dunes"
A Perfect Getaway,17," Relativity Media,  QED International, Davis Entertainment,  Tooley Productions,  Rogue"
A Scanner Darkly,16," Warner Independent Pictures (WIP), Thousand Words"
A Serious Man,13,"Mike Zoss Productions,  Focus Features,  Working Title Films,  Relativity Media"
A Sound of Thunder,18," Dante Entertainment,  Baldwin Entertainment Group,  Franchise Pictures"
A Thousand Words,16," Varsity Pictures,  Saturn Films,  DreamWorks SKG"
A Very Harold & Kumar Christmas,31, Mandate Pictures
A Walk Among the Tombstones,27," 1984 Private Defense Contractors,  Jersey Films, Double Feature Films"
A Walk in the Woods,19, Route One Films
A Walk to Remember,18, Warner Bros.
A.I. Artificial Intelligence,28," Amblin Entertainment,  Warner Bros., DreamWorks SKG"
AVP: Alien vs. Predator,23,"Impact Pictures,  Stillking Films,  Twentieth Century Fox Film Corporation"
Abandon,7," Spyglass Entertainment, Paramount Pictures"
Abduction,9, Vertigo Entertainment
About Last Night,16,"Screen Gems,  Inc.,  Olive Bridge Entertainment"
About Schmidt,13,"New Line Cinema,  Avery Pix"
About a Boy,11,Universal Pictures
Abraham Lincoln: Vampire Hunter,31," Tim Burton Productions, Bazelevs Production"
Accepted,8,Universal Pictures
Act of Valor,12," Bandito Brothers, Relativity Media"
Action Replayy,14, Blockbuster Movie Entertainers
Adaptation.,11," Intermedia,  Beverly Detroit,  Propaganda Films, Columbia Pictures"
Adventureland,13," Sidney Kimmel Entertainment,  This Is That Productions, Miramax Films"
After Earth,11," Overbrook Entertainment,  Blinding Edge Pictures"
Agent Cody Banks,16," Maverick Films, Splendid Pictures"
Agent Cody Banks 2: Destination London,38," Metro-Goldwyn-Mayer (MGM), Splendid Pictures,  Maverick Films,  Madacy Entertainment"
Agora,5," Canal+ EspaÃ±a,  Nimar Studios, HimenÃ³ptero,  Telecinco Cinema"
Akeelah and the Bee,19," Out of the Blue... Entertainment,  Cinema Gypsy Productions,  Starbucks Entertainment, Lions Gate Films"
Alex & Emma,11," Escape Artists,  Reiner-Greisman"
Alexander,9," Egmond Film & Television,  Warner Bros., France 3 CinÃ©ma,  Intermedia Films,  PathÃ© Renn Productions"
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",59," 21 Laps Entertainment,  The,  Jim Henson Company"
Alfie,5," Patalex Productions, Paramount Pictures"
Alice in Wonderland,19,"Walt Disney Pictures,  Roth Films,  Tim Burton Productions"
Aliens in the Attic,19," Upstairs Canada Productions,  New Upstairs Productions"
All About Steve,15," Dune Entertainment III,  Radar Pictures,  Fox 2000 Pictures,  Fortis Films"
All Is Lost,11," FilmNation Entertainment,  Before the Door Pictures,  Washington Square Films"
All the King's Men,18," Phoenix Pictures,  Rising Star"
Almost Famous,13, Vinyl Films
Aloha,5," Regency Enterprises,  Sony Pictures Entertainment (SPE), Columbia Pictures"
Alone in the Dark,17,"Boll Kino Beteiligungs GmbH & Co. KG,  Infogrames Entertainment,  Lionsgate,  Brightlight Pictures,  Herold Productions"
Along Came Polly,16, Loofah Productions
Along Came a Spider,19," Phase 1 Productions,  MFP Munich Film Partners,  David Brown Productions, Paramount Pictures"
Alpha and Omega,15," Relativity Media,  Crest Animation Productions, Lions Gate Family Entertainment"
