mission_title,Target
1,"332, 98, 212, 204, 205, 214"
10,"314, 183"
11,"268, 204, 212, 404"
12,"391, 305, 277, 208"
13,"289, 333, 232, 396, 363"
14,"337, 409, 110, 299, 454"
15,"210, 460, 241, 455"
16,"422, 311, 376, 412, 311"
17,"204, 482, 476, 475, 320"
18,"424, 343, 405, 435, 99, 122, 328"
19,"493, 384, 208, 329"
2,"203, 288, 85, 209, 100, 123, 308"
20,"505, 502, 427, 353, 277, 332"
21,"345, 268, 506"
22,"511, 317, 215, 438, 354, 171, 455"
23,"299, 513, 514, 356"
24,"306, 426, 466, 363, 375, 208, 349, 518, 118"
25,"329, 268, 393, 312, 519"
26,"385, 384, 467, 277, 520"
27,"241, 388, 300, 522, 521, 480"
28,"523, 268, 475, 395, 444"
29,"524, 398, 525"
3,"211, 91, 206, 210, 328, 236, 118"
30,"429, 436, 476"
31,"384, 491, 526"
32,"454, 481, 311"
33,"529, 503"
34,"498, 501"
35,"363, 531, 500"
36,"532, 479, 426"
37,"536, 535, 455"
38,"343, 409, 397"
39,"513, 537, 458"
4,"302, 183, 345, 303"
40,"538, 539, 506"
41,"508, 540, 521"
42,"524, 512, 541"
43,"514, 384, 393"
44,"542, 476, 543"
46,"546, 311, 502"
47,"396, 547, 519"
48,"548, 525, 549"
49,"489, 522, 551"
5,"423, 204, 110, 422, 354"
50,"529, 422, 552"
51,"553, 426"
52,"467, 509, 535"
53,"554, 531, 491"
54,"524, 556, 555"
55,"492, 497, 537"
56,"557, 558, 539"
57,"560, 561, 547, 559"
59,"559, 562, 547"
6,"229, 429, 329, 208"
60,"563, 513, 564"
61,519
7,"311, 232, 99, 362"
8,"271, 241, 206"
9,"384, 435, 251, 212"
ASTP,"23, 77"
Antares,278
Apollo 10,"26, 23, 17"
Apollo 11,"24, 27"
Apollo 12,"28, 20, 44"
Apollo 13,"45, 22, 46"
Apollo 14,"48, 50, 49"
Apollo 15,"54, 55"
Apollo 16,"57, 17"
Apollo 17,"26, 59, 58"
Apollo 7,"30, 7, 31"
Apollo 8,"21, 22, 33"
Apollo 9,"18, 25"
Astro-1,239
Astro-2,239
Atlas-1,130
EP-19,565
Euromir 94,131
Gemini 10,"27, 17"
Gemini 11,"20, 28"
Gemini 12,29
Gemini 3,"17, 16"
Gemini 4,19
Gemini 5,20
Gemini 6A,7
Gemini 7,"22, 21"
Gemini 8,"25, 24"
Gemini 9A,"23, 26"
MA-6,3
Mercury-Atlas 7,4
Mercury-Atlas 8,7
Mercury-Atlas 9,8
Mir Aragatz,108
Mir EO-15,308
Mir EO-21,308
STS 101,308
STS 51-C,157
STS 51-L,157
STS-1,"102, 17"
STS-100,"335, 404, 340, 323, 348, 392"
STS-101,"331, 313, 396, 262"
STS-102,"402, 349, 226, 403"
STS-103,"280, 319, 322, 282, 393, 271"
STS-104,"407, 368, 383, 334, 373"
STS-105,"387, 408, 346, 344"
STS-106,"318, 398, 377, 362, 397"
STS-107,"430, 431, 433, 389, 369, 374"
STS-108,"382, 244, 411, 412"
STS-109,"350, 413, 326, 296, 301, 414, 377"
STS-110,"417, 291, 319, 367, 192, 416"
STS-111,"197, 421, 420, 290"
STS-112,"425, 392, 400, 306, 424"
STS-113,"420, 337, 226, 428"
STS-114,"439, 365, 438, 327, 402, 324, 349"
STS-115,"321, 447, 286, 398, 341, 448"
STS-116,"453, 451, 401, 364, 452, 450"
STS-117,"458, 408, 457, 373"
STS-118,"393, 407, 461, 397, 462, 379"
STS-119,"458, 492, 457, 490, 491, 404"
STS-120,"467, 465, 400, 446, 323"
STS-121,"446, 368, 444, 411, 445, 425"
STS-122,"468, 470, 416, 295"
STS-123,"350, 472, 471, 473, 382"
STS-124,"479, 481, 478, 480, 444"
STS-125,"326, 496, 377, 494, 497"
STS-126,"429, 488, 448, 447, 487, 489"
STS-127,"401, 390, 501, 306, 499, 500"
STS-128,"408, 503, 452, 459"
STS-129,"510, 469, 473, 407"
STS-130,"472, 465, 365, 451, 512"
STS-131,"516, 446, 397, 468, 460, 517, 515"
STS-132,"478, 425, 495, 474, 490, 488"
STS-133,"462, 493, 487, 368, 488, 505"
STS-134,"471, 418, 482, 435, 411"
STS-135,"499, 424, 416"
STS-2,"105, 104"
STS-26,"180, 179, 185, 142, 119"
STS-27,"214, 132, 192, 213, 145"
STS-28,"221, 128, 220, 151"
STS-29,"216, 215, 144, 158"
STS-3,62
STS-30,"218, 184, 193, 122"
STS-31,"135, 146, 196, 150, 156"
STS-32,"187, 124, 228, 226, 227"
STS-33,"225, 165, 224, 117"
STS-34,"222, 197, 160, 171, 223"
STS-35,"76, 240, 163, 213, 129, 180"
STS-36,"145, 231, 169, 185, 230"
STS-37,"244, 243, 245, 192, 170"
STS-38,"238, 179, 237, 236, 216"
STS-39,"249, 250, 247, 248, 246, 144"
STS-4,"56, 109"
STS-40,"255, 253, 161, 217, 254, 256"
STS-40 Columbia,191
STS-41,"234, 214, 235, 233, 219"
STS-41 B,134
STS-41 C,141
STS-41-B,"133, 135, 76, 132"
STS-41-C,"140, 139"
STS-41-D,"146, 109, 147, 144"
STS-41-G,"149, 150, 153, 121, 152, 151"
STS-41C,142
STS-41D,"148, 145"
STS-42,"184, 122, 265, 185, 131, 265, 266"
STS-43,"228, 171, 257, 220, 215"
STS-44,"262, 261, 264, 263, 117"
STS-45,"151, 270, 271, 196, 150"
STS-46,"197, 280, 163, 156, 227"
STS-47,"285, 282, 284, 132, 283, 218, 245"
STS-48,"221, 169, 258, 238, 158"
STS-49,"225, 250, 231, 124, 273"
STS-5,"113, 76, 112, 114"
STS-50,"274, 223, 275, 276, 237, 187, 219"
STS-51,"236, 266, 303, 301, 302"
STS-51 J,134
STS-51-A,"154, 155, 113, 119"
STS-51-B,"165, 127, 112"
STS-51-C,"158, 156"
STS-51-D,"115, 161, 163, 160"
STS-51-F,"178, 176, 175"
STS-51-G,"171, 124"
STS-51-I,"181, 180, 179"
STS-51-J,"186, 185, 184"
STS-51-L,"133, 147, 139"
STS-51A,126
STS-51B,122
STS-51C,159
STS-51D,148
STS-51F,117
STS-51G,"173, 172"
STS-51I,141
STS-51L,"202, 201"
STS-52,"249, 226, 286, 214, 257, 254"
STS-53,"154, 233, 262, 125"
STS-54,"248, 288, 247, 230, 263"
STS-55,"295, 294, 292, 293, 170"
STS-56,"290, 271, 243"
STS-57,"297, 228, 184, 298, 270, 296"
STS-58,"307, 305, 304, 306, 171, 215, 161"
STS-59,"253, 273, 245, 310, 244"
STS-6,"116, 115, 60, 117"
STS-60,"283, 196, 258, 197, 309"
STS-61,"235, 225, 163, 117, 192, 179, 274"
STS-61-A,"280, 187, 158, 125, 109, 190"
STS-61-B,"194, 193, 128, 195"
STS-61-C,"146, 197, 132, 196"
STS-61A,"188, 170"
STS-61B,148
STS-61B Atlantis,191
STS-61C,"142, 199, 198"
STS-62,"238, 230, 231, 227, 279"
STS-63,"293, 226, 324, 271, 298"
STS-64,"218, 219, 317, 288, 246, 237"
STS-65,"250, 233, 315, 316, 303, 313"
STS-66,"322, 321, 291, 282, 248, 323"
STS-67,"265, 254, 240, 327, 325, 326"
STS-68,"257, 318, 297, 302, 310, 319"
STS-69,"301, 154, 262, 290"
STS-7,"102, 119, 121, 120, 122"
STS-70,"315, 261, 330, 331"
STS-71,"132, 223, 292, 187, 247"
STS-72,"341, 343, 342, 314, 270, 344"
STS-73,"335, 339, 336, 337, 225, 338, 274"
STS-74,"305, 340, 313, 243"
STS-75,"197, 346, 347, 348, 163"
STS-76,"273, 304, 309, 287"
STS-77,"302, 153, 263, 349, 282"
STS-78,"350, 288, 351, 330, 352, 353"
STS-79,"318, 303, 266"
STS-8,"105, 126, 124, 127, 125"
STS-80,"290, 117, 310, 254, 335"
STS-81,"341, 297, 257, 326, 227"
STS-82,"247, 346, 146, 319, 218"
STS-83,"358, 334, 315, 313, 360, 359"
STS-84,"322, 292, 324, 362, 361"
STS-85,"282, 364, 335, 283, 366"
STS-86,"226, 367, 323, 327, 108"
STS-87,"369, 330, 370, 368, 342"
STS-88,"301, 387, 233, 296, 192"
STS-89,"374, 318, 372, 373, 187"
STS-9,"63, 128, 131, 17, 129"
STS-90,"377, 379, 304, 350, 381, 380, 378"
STS-91,"292, 327, 197, 382, 383"
STS-92,"343, 297, 305, 270, 314, 400"
STS-93,"278, 336, 146"
STS-94,"359, 334, 313, 360, 358, 315"
STS-95,"316, 282, 3, 368, 323, 365, 385"
STS-96,"344, 335, 254, 389, 291, 390"
STS-97,"341, 153, 321, 367"
STS-98,"364, 401, 227, 290, 310"
STS-99,"330, 394, 285, 383, 298, 382"
STS87,371
STS­100,405
STS­106,"399, 311"
STS­112,426
STS­60,212
STS­63,118
STS­96,391
Saluyt 4,69
Saluyt 6,69
Salyut 4,75
Salyut 6,"99, 83, 100, 93, 74, 91, 83, 96, 98, 88, 84, 93, 84"
Salyut 7,"143, 107, 70, 110, 138, 91, 88, 108, 111, 86, 93, 123, 136, 86, 95, 183, 99, 100"
Shenzhou 10,"533, 442"
Shenzhou 11,"550, 485"
Shenzhou 5,434
Shenzhou 6,"441, 442"
Shenzhou 7,"485, 483, 484"
Shenzhou 9,"528, 527, 485"
Skylab 2,"20, 61"
Skylab 3,"44, 63, 62"
Skylab 4,"67, 68, 66"
Skylab-2,60
Soyuz  3,332
Soyuz 1,11
Soyuz 10,"36, 51, 34"
Soyuz 11,"52, 42, 53"
Soyuz 12,"65, 64"
Soyuz 13,"70, 69"
Soyuz 14,"6, 71"
Soyuz 15,"72, 73"
Soyuz 16,"51, 41"
Soyuz 18,47
Soyuz 19,"15, 40"
Soyuz 21,"78, 35"
Soyuz 22,9
Soyuz 23,"81, 80"
Soyuz 24,43
Soyuz 25,"84, 83"
Soyuz 26/27,85
Soyuz 27/26,"86, 65"
Soyuz 28,87
Soyuz 3,32
Soyuz 30,89
Soyuz 31,90
Soyuz 31/29,9
Soyuz 33,"92, 51"
Soyuz 36/35,"94, 40"
Soyuz 37/36,43
Soyuz 38,"97, 85"
Soyuz 39,"86, 101"
Soyuz 4,34
Soyuz 40,103
Soyuz 5,35
Soyuz 5/4,36
Soyuz 6,"39, 40"
Soyuz 7,"41, 43, 42, 75"
Soyuz 8,"36, 34"
Soyuz 9,47
Soyuz TM-11/10,242
Soyuz TM-12/11,252
Soyuz TM-14/13,269
Soyuz TM-17 / Soyuz TM-16,300
Soyuz TM-24/23,355
Soyuz TM-25/24,357
Soyuz TM-33/32,355
Soyuz TM-34 / Soyuz TM-33,419
Soyuz TM13/12,260
Soyuz TMA-1/TM-34,427
Soyuz TMA-10,456
Soyuz TMA-11/10,464
Soyuz TMA-12 / Soyuz TMA-11,477
Soyuz TMA-13,486
Soyuz TMA-14,456
Soyuz TMA-16/14,507
Soyuz TMA-18M/16M,"545, 544"
Soyuz TMA-34/TM-33,418
Soyuz TMA-4/TMA-3,436
Soyuz TMA-6/TMA-5,418
Soyuz TMA-7,440
Soyuz TMA-8,443
Soyuz TMA-9,449
Soyuz TMA­1/TM­34,"405, 395"
Soyuz TMA­5,437
Soyuz TM­32/31,"385, 312"
Soyuz TM­33/32,410
Soyuz TM­4/3,207
Soyuz T­2,79
Soyuz T­8,"118, 99, 110"
Spacelab 1,130
Spacelab-2,177
Spacelab-3,167
Voskhod 1,"12, 13, 11"
Voskhod 2,"15, 14"
Vostok 1,1
Vostok 2,2
Vostok 3,5
Vostok 4,6
Vostok 5,9
Vostok 6,10
gemini 6A,23
spacelab-3,168
sts-46,281
ЭП-1,406
