mission_title,Target
24,306
37,536
10,314
STS-51-D,115
STS-68,257
18,424
STS-59,253
STS-73,335
Soyuz TMA-4/TMA-3,436
15,210
Soyuz 5/4,36
STS-26,180
STS-51G,173
STS-37,244
STS-134,471
STS-51-G,171
STS-62,238
Soyuz TMA-8,443
STS-61,235
STS-50,274
STS-98,364
STS-73,339
50,529
STS-61B,148
2,203
26,385
51,553
STS-127,401
STS-102,402
49,489
STS-51-L,133
38,343
STS-8,105
18,343
STS-39,249
STS-80,290
STS-77,302
STS-118,393
STS-61A,188
STS-108,382
Voskhod 2,15
STS-131,516
Apollo 7,30
STS-100,335
STS-81,341
20,505
19,493
STS-115,321
23,299
27,241
STS-50,223
STS-120,467
44,542
STS-79,318
STS-72,341
STS-67,265
STS-75,197
24,426
30,429
STS-114,439
STS-33,225
STS-104,407
STS-91,292
Apollo 15,54
STS-98,401
STS-72,343
Shenzhou 11,550
STS-36,145
11,268
STS-30,218
STS-109,350
Mir EO-15,308
STS-103,280
STS-110,417
Mir Aragatz,108
STS-82,247
STS-35,76
4,302
STS-104,368
STS-51A,126
STS-51-G,124
STS-51-I,181
4,183
STS-9,63
12,391
STS-125,326
STS-34,222
STS-46,197
Soyuz 36/35,94
STS-61,225
Soyuz 13,70
STS-71,132
STS-86,226
MA-6,3
Salyut 7,143
Apollo 8,21
47,396
Apollo 11,24
STS-50,275
Shenzhou 7,485
Soyuz 14,6
STS-43,228
STS-72,342
STS-80,117
3,211
STS-87,369
STS-82,346
22,511
27,388
Shenzhou 5,434
Soyuz 23,81
STS-41-C,140
STS-48,221
42,524
STS-69,301
STS-6,116
40,538
7,311
STS­63,118
STS-81,297
STS-134,418
42,512
STS-114,365
Salyut 7,107
STS-27,214
STS-118,407
STS-128,408
STS-47,285
STS-40 Columbia,191
STS-8,126
STS­60,212
2,288
STS-132,478
22,317
21,345
STS-127,390
STS-70,315
25,329
STS-83,358
STS-34,197
STS-132,425
Skylab 3,44
STS-66,322
Gemini 8,25
STS-49,225
STS-81,257
STS-61,163
STS-51-C,158
40,539
Soyuz 10,36
STS-7,102
STS-55,295
Skylab 4,67
Soyuz 40,103
STS-54,248
STS-34,160
STS-44,262
Soyuz TMA-16/14,507
STS-94,359
STS-83,334
STS-26,179
Soyuz 10,51
STS-88,301
Soyuz 15,72
STS-120,465
STS-51-L,147
53,554
STS-66,321
STS-119,458
Saluyt 6,69
STS-89,374
Shenzhou 11,485
STS-35,240
Soyuz 12,65
STS 101,308
STS-46,280
Saluyt 4,69
Soyuz 7,41
STS-62,230
STS-39,250
STS-43,171
Soyuz 8,36
STS-97,341
STS-104,383
STS-103,319
Soyuz 24,43
Soyuz 27/26,86
STS-42,184
STS-40,255
STS-118,461
18,405
20,502
STS-7,119
STS-84,322
STS-64,218
Salyut 7,70
STS-51-B,165
STS-109,413
STS-87,330
Mir EO-21,308
STS-5,113
11,204
3,91
STS-90,377
STS-29,216
STS-96,344
STS-41,234
STS-52,249
STS-97,153
STS-68,318
STS-107,430
STS-56,290
STS-92,343
STS-96,335
28,523
STS-119,492
Salyut 6,99
STS-107,431
STS-41 C,141
STS-124,479
STS-62,231
6,229
STS-84,292
Apollo 10,26
22,215
STS-61-A,280
gemini 6A,23
STS-78,350
41,508
STS-108,244
STS-123,350
Euromir 94,131
STS-47,282
Soyuz TMA-14,456
STS-85,282
Soyuz 19,15
STS-75,346
21,268
Soyuz TM-34 / Soyuz TM-33,419
20,427
STS-67,254
STS-31,135
STS-51-I,180
STS-38,238
STS-51-J,186
STS-103,322
Mercury-Atlas 7,4
30,436
17,204
STS­106,399
Gemini 7,22
52,467
44,476
Vostok 4,6
STS-131,446
Soyuz TMA-7,440
6,429
STS-121,446
7,232
Soyuz 25,84
STS-93,278
18,435
STS-51,236
STS-42,122
STS-110,291
STS-35,163
STS-51-A,154
Soyuz 18,47
STS-77,153
STS-42,265
STS-107,433
STS-51-D,161
Apollo 16,57
Salyut 6,83
Soyuz 21,78
STS-110,319
STS-82,146
STS-50,276
STS-3,62
STS-105,387
14,337
Spacelab-3,167
Soyuz TMA-12 / Soyuz TMA-11,477
27,300
STS-61-C,146
28,268
STS-41,214
Soyuz TMA-34/TM-33,418
Mercury-Atlas 9,8
STS-6,115
48,548
STS-47,284
STS 51-C,157
Soyuz 31/29,9
Salyut 6,100
1,332
STS-83,315
37,535
STS-85,364
STS-67,240
STS-116,453
Soyuz TMA­5,437
8,271
Salyut 7,110
STS-53,154
STS-90,379
Soyuz 8,34
STS-58,307
STS-103,282
STS-42,185
STS-117,458
34,498
Soyuz TM-25/24,357
33,529
STS-68,297
Vostok 3,5
STS-93,336
STS-79,303
STS-75,347
10,183
Apollo 7,7
STS-124,481
STS-49,250
STS-47,132
Shenzhou 9,528
STS-42,131
16,422
STS-28,221
STS-45,151
56,557
STS-128,503
Shenzhou 9,527
Soyuz 23,80
STS-126,429
STS-122,468
STS-52,226
STS-102,349
STS-110,367
STS-48,169
STS-76,273
Soyuz 39,86
Gemini 9A,23
