correction,misspell
ambivalent,ambivilant
judgement,judgment
inadvertent,inadvertant
grammar,grammer
happily,hapily
directly,direcyly
uranium,uranisium
majority, majoraly
maximum,maxium
roughly,rought
preceding,preceeding
metaphysical,pataphysical
efficient,efficat
themselves,theirselves
intelligent, intellagant
pragmatism,pragmaticism
repetition,repitition
sonic,soonec
gradually,gradualy
hello, herlo
Presbyterian,presbyterian
psychologist, psicolagest
tomorrow,tommorrow
monkey, monkay
responsible,reposable
memento,momento
intelligent, intelignt
pattern,patten
precision, precios
computer,comupter
Susan,susan
losing,lossing
development,developement
technically,techniquely
adultery,adultry
wait,waite
turned,tured
foresee,forsee
two,teo
theoretically,thredically
insistent, insistenet
won't,wan't
distract,distarct
rank,wrank
polypropylene,polypropalene
writing,writting
commitment, comittmend
ennui,ennuui
up_cast,upcast
constant, contastant
portray,protray
evaluation,evaualtion
bankrupt,bankrot
interested, intertesd
critique,criqitue
development, develpond
minimum,minum
parameters, paranets
room,roon
initialized,initinized
in_fact,infact
the, thw
recurring,reoccurring
permissible,permissable
pronunciation, pronisation
playwright,playwrite
description, descrptn
accommodate,accomodate
rectangle,rectangeles
espresso,expresso
alcoholic,alchoholic
documentation,documtations
subpoena,subpena
behaviour,behavior
congratulations,congradulations
tests,tets
commercials,commerciasl
bureau,beauro
occurrence,occurence
inoculate,innoculate
minuscule,miniscule
practical,practicle
section,secion
team,tem
circumstances,circumstaces
illegitimate,illegitament
implements,implemtes
description,descrption
kipper,kippur
simplicity, simpfilty
laser,luser
throughout,thruout
butter, budter
appreciated,appreceiated
liquefy,liquify
anatomy,anonomy
mosaic,mosaik
harass,harrass
existence, existance
nuzzled,nozled
hello, helo
column,columne
favour,faver
resemblance,reseblence
consonant,consident
government, gobernement
battalion,batallion
quiz,quoz
explicitly,expleyly
divulge,devulge
expedient,exspidient
sacrilegious,sacreligious
isotope,isotrop
privilege, priviledge
intelligent,intealignt
situation,situration
definitely,definately
desiccate,dessicate
developments,develepment
embarrass,embarass
irresistible,irresistable
cheat,cheet
monkey,minkay
international,internation
dog, doog
function,fuction
no_one,noone
sometimes,sometmes
circle,cicle
organize,organise
hyphen, hyfin
noticeably,noticably
amateur,amature
beginning, bigginging
dissipate,disippate
independent, independenent
gotten,gotton
asterisk,asterick
voluptuous,volumptuous
benefits,benidifs
hysterical,hystrical
amplification,amification
crucifixion,crucifiction
substitutions,subisitions
announce,annuncio
guts,futs
execution,excution
privilege,privielage
masks,maks
sylph,slyph
redesign,redign
steering,stering
inventions,enventions
fantasia,phantasia
graceful,gracefull
sugar,suger
maintenance,maintanence
etiology,eitiology
dissect,disect
inconvenience,inconvience
engine,engins
respect,respct
immanent,immenant
installation,instulation
infamy,imfamy
hippopotamus,hippopotamous
colleague,colleaque
intelligent, intelegnent
companies,companys
pronunciation,pronensiation
enhance,enhence
precision,precion
bureaucracy, burracracy
trouble,trubbel
ecstasy,ecstacy
combo,cumba
permission,permition
occasionally, occusionaly
browse,bbrose
necessary, necesser
colon,coaln
intelligent, inteligent
court,courst
have,havne
flux,fluk
seize,sieze
version,verison
specifically,specificialy
factorization,factontion
club,clob
not_in,notin
defense,defence
download,doenload
simplicity,cimplicity
pronunciation, pronounciation
phone,fone
procedures,proceedures
help, hellp
inconvenient,inconvenant
in_case,incase
peremptory,preemptory
croak,croke
properly,properally
recommend,reccomend
generally,generly
receive,recieve
committed,commited
interpret,interpretate
credibility,credetability
incomplete,incompleet
environmental, invermeantial
politic,politict
continue,contunie
behavior,behaviour
scrabble,scrabdle
occasionally,accosinly
draft,deaft
asymptote,asentote
intelligent, intejilent
media,midia
dynamic,dymatic
substitutions, substations
unfortunately, unfortunently
intelligent, intellegent
enough,enought
flux, flukse
arctic,artic
style_guide,styleguide
independent, indepnends
guard,gaurd
accord,acord
embarrass, embaress
height,heighth
exhilaration,exhileration
enlightenment,enligtment
embarrassment,embarassment
orient,orientate
necessary,neccessary
sense,sence
neighbour,neighbor
epitome,epitomy
under_ladder,underladder
separate,seperate
