Day,Local Time,Dir,Speed/ Gust,Humidity,Pressure,Cloud Amount,Precip Amount,Weather
Sat 15 Jul,19:00,NE,5 / 6 mph,56%,1014 mb,Low level cloud: 0% Mid level cloud: 6% High level cloud: 9% Most Significant Cloud Type: medium 5%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Mon 17 Jul,07:00,ENE,9 / 11 mph,49%,1021 mb,Low level cloud: 0% Mid level cloud: 8% High level cloud: 0% Most Significant Cloud Type: medium 7%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Wed 19 Jul,04:00,SW,5 / 11 mph,59%,1017 mb,Low level cloud: 0% Mid level cloud: 6% High level cloud: 0% Most Significant Cloud Type: medium 6%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Sat 15 Jul,13:00,NE,13 / 15 mph,42%,1014 mb,Low level cloud: 0% Mid level cloud: 2% High level cloud: 7% Most Significant Cloud Type: medium 2%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Tue 18 Jul,01:00,S,4 / 7 mph,65%,1019 mb,Low level cloud: 0% Mid level cloud: 1% High level cloud: 0% Most Significant Cloud Type: high 0%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Sat 15 Jul,07:00,NNW,6 / 7 mph,56%,1013 mb,Low level cloud: 0% Mid level cloud: 3% High level cloud: 0% Most Significant Cloud Type: medium 3%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Fri 14 Jul,07:00,ENE,10 / 11 mph,63%,1011 mb,Low level cloud: 0% Mid level cloud: 29% High level cloud: 2% Most Significant Cloud Type: medium 28%,Expect 0.01 In of precipitation over the past 3 hours. 0.01 In,
Mon 17 Jul,04:00,ENE,7 / 15 mph,65%,1020 mb,Low level cloud: 0% Mid level cloud: 8% High level cloud: 0% Most Significant Cloud Type: medium 7%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Sun 16 Jul,13:00,ENE,16 / 18 mph,43%,1020 mb,Low level cloud: 0% Mid level cloud: 18% High level cloud: 1% Most Significant Cloud Type: medium 18%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Tue 18 Jul,13:00,ENE,11 / 13 mph,43%,1018 mb,Low level cloud: 0% Mid level cloud: 6% High level cloud: 4% Most Significant Cloud Type: medium 6%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Sun 16 Jul,19:00,E,6 / 7 mph,44%,1019 mb,Low level cloud: 0% Mid level cloud: 6% High level cloud: 0% Most Significant Cloud Type: medium 5%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Mon 17 Jul,16:00,E,10 / 11 mph,41%,1019 mb,Low level cloud: 0% Mid level cloud: 3% High level cloud: 0% Most Significant Cloud Type: medium 3%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Thu 13 Jul,19:00,ENE,5 / 6 mph,63%,1011 mb,Low level cloud: 0% Mid level cloud: 16% High level cloud: 73% Most Significant Cloud Type: medium 18%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Fri 14 Jul,19:00,NE,6 / 6 mph,52%,1010 mb,Low level cloud: 0% Mid level cloud: 8% High level cloud: 0% Most Significant Cloud Type: medium 8%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Sun 16 Jul,22:00,NE,6 / 13 mph,65%,1021 mb,Low level cloud: 0% Mid level cloud: 10% High level cloud: 0% Most Significant Cloud Type: medium 9%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Sat 15 Jul,16:00,NE,11 / 12 mph,42%,1013 mb,Low level cloud: 0% Mid level cloud: 1% High level cloud: 0% Most Significant Cloud Type: high 0%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Fri 14 Jul,10:00,NE,11 / 13 mph,55%,1012 mb,Low level cloud: 0% Mid level cloud: 20% High level cloud: 17% Most Significant Cloud Type: medium 21%,Expect 0.01 In of precipitation over the past 3 hours. 0.01 In,
,04:00,E,6 / 14 mph,83%,1011 mb,Low level cloud: 0% Mid level cloud: 28% High level cloud: 0% Most Significant Cloud Type: medium 27%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,16:00,NE,11 / 13 mph,46%,1010 mb,Low level cloud: 0% Mid level cloud: 16% High level cloud: 0% Most Significant Cloud Type: medium 15%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
