"Class 
Number","Gen
Ed",Class,Description,"Credit
Hours",Days,"Begin 
Time","End 
Time",Room,"Instruction 
Mode","Start 
Date","End 
Date"
DIESEL TECHNOLOGY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
CIS,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
WELDING,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
CRIMINAL JUSTICE,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
55584.0,,MAT 126S-A0M1,70,2,0,31,32,63,2.0,43696.0,43814.0
COMMUNICATIONS,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,
CARDIOPULMONARY RESUSCITATION,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
OFFICE SYSTEMS TECHNOLOGY,,,,,,,,,,,
THEATRE,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
COOPERATIVE EDUCATION,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
POLITICAL SCIENCE,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
WELDING,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
ECONOMICS,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
CIS,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
SURGICAL TECHNOLOGY,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
ART ,,,,,,,,,,,
NURSING,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
44717.0,,6,11,2,3,13,16,6,2.0,43696.0,43814.0
THEATRE,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
44543.0,6,ENG 101-A004,58,3,0,15,17,38,2.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,,,,,,,,,,,
