Index,genres
168," Science Fiction,  Action, Thriller"
276," Drama,  Science Fiction,  Mystery,  Adventure, Action"
330,Drama
336," Science Fiction, Animation,  Family"
386," Crime, Action"
392,"Fantasy,  Comedy,  Drama,  Adventure"
687," Thriller,  Crime, Action"
727,"Fantasy,  Action,  Crime"
764, Fantasy
784,"Adventure,  Action,  Fantasy"
825,"Crime,  Drama"
833," Thriller,  Drama, Action"
914, Crime
921," History,  War,  Action"
1033," Drama,  Thriller, Action,  Crime"
1224,"Adventure,  Animation,  Comedy,  Fantasy,  Family"
1280,Thriller
1346," Drama, Crime,  Thriller"
1390,Comedy
1473,"Fantasy,  Animation,  Adventure,  Comedy,  Family"
1509,"Drama,  History"
1568," Action, Adventure,  Mystery"
1675," Thriller,  Adventure,  Mystery"
1683," Fantasy, Thriller,  Horror,  Action"
1722," Science Fiction, Action"
1818," Thriller, Action,  Crime"
1838,"Comedy,  Fantasy,  Romance"
