Index,genres
687, Thriller
1033, Drama
833, Thriller
1473,Fantasy
330,Drama
1224,Adventure
1838,Comedy
392,Fantasy
687, Crime
1509,Drama
168, Science Fiction
276, Drama
1568, Action
1568,Adventure
1473, Animation
276, Science Fiction
825,Crime
1683, Fantasy
1722, Science Fiction
784,Adventure
392, Comedy
1509, History
1224, Animation
1033, Thriller
1675, Thriller
1473, Adventure
1033,Action
1683,Thriller
833, Drama
1346, Drama
276, Mystery
1224, Comedy
1224, Fantasy
1473, Comedy
1838, Fantasy
687,Action
1838, Romance
921, History
1568, Mystery
1390,Comedy
921, War
386, Crime
1346,Crime
276, Adventure
784, Action
784, Fantasy
1346, Thriller
1675, Adventure
1683, Horror
386,Action
1473, Family
336, Science Fiction
825, Drama
1818, Thriller
1033, Crime
1224, Family
727,Fantasy
276,Action
1722,Action
1683, Action
727, Action
921, Action
764, Fantasy
168, Action
1280,Thriller
1818,Action
914, Crime
1818, Crime
168,Thriller
392, Drama
336,Animation
727, Crime
336, Family
833,Action
1675, Mystery
392, Adventure
