Lamp Type,ENERGY,CLER,PLC,TFI,SAPN
LED-P,,,,,
LED-V,,,,,
LED-P,,,,,
LED-V,,,,,
LED-P,,,,,
LED-V,,,,,
LED158,3.0621988578067763,19.54340562697768,61.106685447090854,104.4404097175284,153.7625959685961
LED-P,,,,,
PT LED17,3.0621988578067763,21.31929266615861,62.779367974340495,114.77516915819777,177.58631652521674
LED-V,,,,,
LED-P,,,,,
LED26,3.0621988578067763,16.195191723067385,57.95305080085343,75.04940495420573,92.99701926623872
LED-V,,,,,
LED-P,,,,,
LED-V,,,,,
LED-P,,,,,
LED-V,,,,,
LED-P,,,,,
LED-V,,,,,
LED79,3.0621988578067763,19.54340562697768,61.106685447090854,104.4404097175284,153.7625959685961
LED198,3.0621988578067763,21.466698309726976,62.91820723549561,119.35117600779392,185.5186435872461
LED70,3.0621988578067763,18.139542354897888,59.78440676942319,93.55663870273607,130.58861761330564
LED81,3.0621988578067763,21.26313813527541,62.72647682723378,117.77302921064907,182.1517885193689
LED-P,,,,,
LED-V,,,,,
LED105,3.0621988578067763,21.466698309726976,62.91820723549561,119.35117600779392,185.5186435872461
LED200,3.0621988578067763,18.139542354897888,59.78440676942319,93.55663870273607,130.58861761330564
LED-P,,,,,
LED35,3.0621988578067763,19.54340562697768,61.106685447090854,101.00719882448546,148.2675990829317
LED-V,,,,,
LED178,3.0621988578067763,18.139542354897888,59.78440676942319,93.55663870273607,130.58861761330564
LED155,3.0621988578067763,21.26313813527541,62.72647682723378,117.77302921064907,182.1517885193689
LED-P,,,,,
LED-V,,,,,
LED-P,,,,,
LED18,3.0621988578067763,16.195191723067385,57.95305080085343,75.04940495420573,92.99701926623872
LED-V,,,,,
LED-P,,,,,
