Name,Jersey #,Year,Position,Wt
Benjamen E. Mays,,,,
Carver,,,,
Maynard H. Jackson,,,,
Grady,,,,
Seth Wolfe,54.0,9.0,8,
Lithonia,,,,
South Atlanta,,,,
D.M. Therrell,,,,
Best Academy,,,,
South Atlanta,,,,
Best Academy,,,,
Maynard H. Jackson,,,,
Carver,,,,
Javaris Jones,16.0,9.0,16,160.0
Tiye' Allen,26.0,9.0,23,155.0
Maynard H. Jackson,,,,
South Atlanta,,,,
Grady,,,,
Hakeem Todd,6.0,12.0,0,
D.M. Therrell,,,,
Grady,,,,
Benjamen E. Mays,,,,
Carver,,,,
Lithonia,,,,
Grady,,,,
Lithonia,,,,
Booker T. Washington,,,,
Carver,,,,
Benjamen E. Mays,,,,
North Atlanta,,,,
D.M. Therrell,,,,
Lithonia,,,,
North Atlanta,,,,
Adam McGaffigan,67.0,,,
Maynard H. Jackson,,,,
Keenan Moore,14.0,11.0,16,190.0
Benjamen E. Mays,,,,
Douglass,,,,
Benjamen E. Mays,,,,
D.M. Therrell,,,,
Maynard H. Jackson,,,,
Grady,,,,
Austin Walker,61.0,11.0,8,
Carver,,,,
Kijana Roberts,80.0,11.0,10,150.0
Benjamen E. Mays,,,,
Grady,,,,
Benjamen E. Mays,,,,
Lithonia,,,,
Grady,,,,
Booker T. Washington,,,,
Benjamen E. Mays,,,,
South Atlanta,,,,
North Atlanta,,,,
Benjamen E. Mays,,,,
Juwan Williamson,46.0,10.0,11,165.0
South Atlanta,,,,
Grady,,,,
Maynard H. Jackson,,,,
Carver,,,,
Best Academy,,,,
Carver,,,,
Best Academy,,,,
Grady,,,,
Carver,,,,
D.M. Therrell,,,,
Booker T. Washington,,,,
Best Academy,,,,
Maynard H. Jackson,,,,
Douglass,,,,
Best Academy,,,,
Maynard H. Jackson,,,,
Lithonia,,,,
Deion Hadley,16.0,9.0,WR/DE,150.0
Carver,,,,
Deion Walker,75.0,11.0,22,260.0
D'Juan Chambers,69.0,10.0,22,220.0
D.M. Therrell,,,,
Douglass,,,,
Benjamen E. Mays,,,,
Booker T. Washington,,,,
North Atlanta,,,,
Douglass,,,,
Lithonia,,,,
Maynard H. Jackson,,,,
Benjamen E. Mays,,,,
Douglass,,,,
Carver,,,,
Maynard H. Jackson,,,,
Grady,,,,
North Atlanta,,,,
D.M. Therrell,,,,
Benjamen E. Mays,,,,
Douglass,,,,
North Atlanta,,,,
Benjamen E. Mays,,,,
D.M. Therrell,,,,
Douglass,,,,
D.M. Therrell,,,,
Douglass,,,,
North Atlanta,,,,
Lithonia,,,,
D.M. Therrell,,,,
Maynard H. Jackson,,,,
Grady,,,,
Lithonia,,,,
Maynard H. Jackson,,,,
Carver,,,,
Booker T. Washington,,,,
South Atlanta,,,,
Best Academy,,,,
Maynard H. Jackson,,,,
D.M. Therrell,,,,
Best Academy,,,,
North Atlanta,,,,
Best Academy,,,,
Carver,,,,
Booker T. Washington,,,,
Grady,,,,
Carver,,,,
South Atlanta,,,,
Grady,,,,
Best Academy,,,,
Maynard H. Jackson,,,,
Carver,,,,
Douglass,,,,
Lithonia,,,,
Benjamen E. Mays,,,,
Jordan Ellis,93.0,10.0,15,200.0
Booker T. Washington,,,,
South Atlanta,,,,
Grady,,,,
Douglass,,,,
Best Academy,,,,
North Atlanta,,,,
Vashad Anderson,16.0,,,
Grady,,,,
Benjamen E. Mays,,,,
Best Academy,,,,
Steven Gray,27.0,9.0,0,200.0
Booker T. Washington,,,,
Maynard H. Jackson,,,,
South Atlanta,,,,
North Atlanta,,,,
Travis Bozeman,1.0,,,
Maynard H. Jackson,,,,
Grady,,,,
North Atlanta,,,,
Booker T. Washington,,,,
Best Academy,,,,
Douglass,,,,
Carver,,,,
Edward Curney Jr,4.0,12.0,32,220.0
Grady,,,,
Benjamen E. Mays,,,,
Maynard H. Jackson,,,,
North Atlanta,,,,
South Atlanta,,,,
Grady,,,,
Lithonia,,,,
Grady,,,,
Lithonia,,,,
Carver,,,,
Lithonia,,,,
Maynard H. Jackson,,,,
Herchel Knox,23.0,10.0,32,195.0
Best Academy,,,,
Benjamen E. Mays,,,,
Carver,,,,
Best Academy,,,,
Lithonia,,,,
Douglass,,,,
Lithonia,,,,
D.M. Therrell,,,,
South Atlanta,,,,
Grady,,,,
Carver,,,,
Grady,,,,
Douglass,,,,
Benjamen E. Mays,,,,
North Atlanta,,,,
Maynard H. Jackson,,,,
Grady,,,,
South Atlanta,,,,
Maynard H. Jackson,,,,
Carver,,,,
Booker T. Washington,,,,
Maynard H. Jackson,,,,
Benjamen E. Mays,,,,
Kessely Tyler,23.0,11.0,0,190.0
Maynard H. Jackson,,,,
Grady,,,,
Christian Peterson,1.0,10.0,34,
Maynard H. Jackson,,,,
South Atlanta,,,,
Douglass,,,,
Carver,,,,
Douglass,,,,
North Atlanta,,,,
Benjamen E. Mays,,,,
