Index,genres,imdb_score
753, Thriller,6.3
1735, Music,7.9
235, Mystery,7.0
9, Mystery,7.5
1235, Animation,5.9
2255, Romance,6.6
2264, Romance,5.3
790, Crime,4.3
433, Sci-Fi,7.0
2647, Horror,6.6
3582, War,8.1
1041, Sci-Fi,6.9
2850, Family,4.9
2018, Comedy,7.3
1922,Horror,5.6
1474,Comedy,5.0
611, Biography,7.0
4461,Drama,8.1
3974, Musical,7.0
386, Drama,5.4
4047,Action,7.8
53, Adventure,6.3
283, Drama,8.5
1273,Drama,7.0
4493, Thriller,7.8
735,Drama,6.5
189, Sci-Fi,6.5
898, Adventure,6.8
872, Drama,6.0
2035, Romance,5.6
138,Adventure,6.2
850,Action,7.3
4007,Comedy,7.0
797, War,6.6
264, Sci-Fi,5.8
879, Thriller,5.8
1803, Thriller,7.2
2179, Crime,4.8
1574, Mystery,6.3
634, Thriller,5.6
4868, Thriller,3.9
3032, Fantasy,6.8
184, Family,7.6
2871,Drama,6.0
3622, Romance,5.3
2501, Fantasy,5.6
971, Fantasy,7.3
1100,Comedy,5.6
374, Family,4.9
2197, Drama,5.5
2535, Romance,7.7
2146,Drama,6.7
2838, Music,6.1
467, Mystery,5.6
2746, Comedy,4.5
1984, Thriller,5.9
3010, Animation,6.7
4741, Romance,6.5
552, Thriller,5.9
555, Crime,6.6
1294, Comedy,4.2
2361,Horror,5.5
2723, Mystery,8.0
1960,Horror,5.9
623,Action,6.2
2881, Crime,5.9
872, Crime,6.0
1303, Thriller,3.3
3177, Comedy,5.8
2891,Crime,6.7
2011, Drama,5.3
324, Mystery,7.3
2671,Horror,4.1
1645,Drama,7.5
628, Mystery,6.7
975, Mystery,7.8
2676, Mystery,5.5
970, Drama,7.4
1820, Crime,6.0
5, Sci-Fi,6.6
2746,Action,4.5
968, Adventure,6.1
1770,Comedy,6.7
3893,Drama,5.6
1675, Thriller,5.5
1592, Drama,7.8
1288, Thriller,6.2
808, Fantasy,3.8
2706,Biography,6.7
1318, Family,5.1
3777, Drama,6.4
369,Adventure,5.0
608, Horror,6.3
2975, Thriller,6.6
1994, Thriller,5.6
2096,Biography,7.4
2868, Thriller,6.7
1961, Drama,4.7
246,Adventure,7.8
1656, Crime,6.6
1901, Thriller,5.9
379,Action,5.5
1456, Horror,6.2
3793,Drama,7.3
1082, Thriller,6.9
3415, Drama,6.8
2855, Horror,5.7
1682, Drama,7.4
2041, Horror,5.5
2818, Romance,7.7
3047, Romance,7.5
2584, Mystery,7.0
2699, Romance,5.1
2983, Romance,2.1
3715,Horror,5.2
886, Musical,6.4
2441, Crime,4.4
4784, Horror,6.2
1383,Action,6.9
2463, Thriller,7.2
491, Sci-Fi,6.3
482,Action,5.6
3452, Drama,7.9
419, Comedy,7.1
1003, Drama,6.5
747,Comedy,4.4
1297,Comedy,5.9
999, Thriller,6.3
867, History,6.3
794,Action,8.1
1092, Horror,4.6
1498, Romance,6.9
2134,Comedy,7.4
775, Family,4.9
1963, Drama,6.8
2523, Thriller,7.6
3214,Drama,6.7
1069, Thriller,6.6
166,Action,6.6
1547,Horror,6.2
3684, Drama,6.1
4856, Drama,6.5
2504, Sport,7.4
482, Family,5.6
3498,Action,6.2
2551, Fantasy,8.2
2546, Horror,4.8
2212,Biography,7.6
4538,Horror,5.0
1005, Mystery,6.5
4681, Thriller,4.8
1722, Drama,7.5
4054, Drama,8.0
3339,Comedy,6.5
550, Fantasy,6.6
2052, Thriller,6.8
1002, Romance,5.9
3029, Drama,7.9
550,Animation,6.6
379, Adventure,5.5
998,Crime,6.1
483, Crime,6.5
1661, Romance,6.1
636, Romance,7.2
781,Crime,6.6
3799, Thriller,3.3
1239, Romance,5.9
1617, Family,6.8
4284, Biography,8.0
264, Mystery,5.8
2631, Music,5.3
143, Animation,5.4
2656,Drama,7.0
3189, Romance,7.0
1895,Horror,5.8
3705,Comedy,7.6
1738, Family,5.8
3227,Comedy,6.6
