Name,Jersey #,Year,Position,Wt
Benjamen E. Mays,,,,
North Atlanta,,,,
Lithonia,,,,
Best Academy,,,,
Maleke Smith,6.0,12.0,0,170.0
Douglass,,,,
Johnny Lumpkin,40.0,10.0,7,185.0
Benjamen E. Mays,,,,
Carver,,,,
South Atlanta,,,,
D.M. Therrell,,,,
Chauncey Davis,22.0,9.0,1,165.0
Lithonia,,,,
Benjamen E. Mays,,,,
Carver,,,,
Douglass,,,,
South Atlanta,,,,
North Atlanta,,,,
South Atlanta,,,,
Eric Ponder,2.0,9.0,,
Maynard H. Jackson,,,,
Grady,,,,
South Atlanta,,,,
Grady,,,,
Christian Abercrombie,35.0,10.0,32,
Maynard H. Jackson,,,,
Benjamen E. Mays,,,,
Dominique Roper,43.0,11.0,15,185.0
Derontay Langford,22.0,11.0,1,165.0
Montavious Banks,86.0,12.0,5,210.0
Douglass,,,,
Carver,,,,
Charlie Patrick,20.0,11.0,23,200.0
Grady,,,,
Steven Stewart,76.0,11.0,8,
Booker T. Washington,,,,
Maynard H. Jackson,,,,
Carver,,,,
Lithonia,,,,
Deion Hadley,16.0,9.0,WR/DE,150.0
Maynard H. Jackson,,,,
Martisse Russell,20.0,11.0,13,
Douglass,,,,
Booker T. Washington,,,,
Carver,,,,
Booker T. Washington,,,,
North Atlanta,,,,
Grady,,,,
Carver,,,,
North Atlanta,,,,
Carver,,,,
Douglass,,,,
D.M. Therrell,,,,
South Atlanta,,,,
Benjamen E. Mays,,,,
Grady,,,,
Booker T. Washington,,,,
South Atlanta,,,,
Quinterious Thurman,13.0,10.0,,
Maynard H. Jackson,,,,
Carver,,,,
Lithonia,,,,
Courtney Lott,21.0,9.0,1,150.0
Carver,,,,
Benjamen E. Mays,,,,
D.M. Therrell,,,,
North Atlanta,,,,
Lithonia,,,,
Maynard H. Jackson,,,,
Carver,,,,
D.M. Therrell,,,,
Grady,,,,
Maynard H. Jackson,,,,
D.M. Therrell,,,,
Grady,,,,
Sage Eggleston,11.0,11.0,34,
Xavier Walker,53.0,12.0,8,
South Atlanta,,,,
North Atlanta,,,,
South Atlanta,,,,
Maynard H. Jackson,,,,
North Atlanta,,,,
Benjamen E. Mays,,,,
Best Academy,,,,
Maynard H. Jackson,,,,
Benjamen E. Mays,,,,
Best Academy,,,,
South Atlanta,,,,
Benjamen E. Mays,,,,
D.M. Therrell,,,,
Booker T. Washington,,,,
Jacque Henley,32.0,10.0,0,170.0
Grady,,,,
Kiboh Webster,79.0,12.0,8,
Best Academy,,,,
South Atlanta,,,,
Benjamen E. Mays,,,,
North Atlanta,,,,
South Atlanta,,,,
Benjamen E. Mays,,,,
Douglass,,,,
Benjamen E. Mays,,,,
Best Academy,,,,
Lithonia,,,,
Grady,,,,
D.M. Therrell,,,,
Maynard H. Jackson,,,,
D.M. Therrell,,,,
Carver,,,,
Best Academy,,,,
North Atlanta,,,,
Maynard H. Jackson,,,,
Benjamen E. Mays,,,,
D.M. Therrell,,,,
South Atlanta,,,,
North Atlanta,,,,
Carver,,,,
Lithonia,,,,
Booker T. Washington,,,,
Lithonia,,,,
Benjamen E. Mays,,,,
Best Academy,,,,
North Atlanta,,,,
Maynard H. Jackson,,,,
D.M. Therrell,,,,
Lithonia,,,,
North Atlanta,,,,
Benjamen E. Mays,,,,
D.M. Therrell,,,,
Carver,,,,
Maynard H. Jackson,,,,
North Atlanta,,,,
Grady,,,,
Carver,,,,
D.M. Therrell,,,,
Grady,,,,
Douglass,,,,
Benjamen E. Mays,,,,
South Atlanta,,,,
Maynard H. Jackson,,,,
North Atlanta,,,,
Carver,,,,
Tiye' Allen,26.0,9.0,23,155.0
Lithonia,,,,
Benjamen E. Mays,,,,
Booker T. Washington,,,,
Benjamen E. Mays,,,,
Best Academy,,,,
Douglass,,,,
Best Academy,,,,
Douglass,,,,
Traco Mackey,71.0,12.0,8,275.0
Benjamen E. Mays,,,,
Douglass,,,,
Carver,,,,
Benjamen E. Mays,,,,
Maynard H. Jackson,,,,
Booker T. Washington,,,,
Best Academy,,,,
North Atlanta,,,,
Maynard H. Jackson,,,,
Grady,,,,
Benjamen E. Mays,,,,
Lithonia,,,,
Grady,,,,
D.M. Therrell,,,,
Carver,,,,
South Atlanta,,,,
Benjamen E. Mays,,,,
D.M. Therrell,,,,
Tari Covington,25.0,10.0,2,175.0
North Atlanta,,,,
Best Academy,,,,
Maynard H. Jackson,,,,
Benjamen E. Mays,,,,
Best Academy,,,,
North Atlanta,,,,
Booker T. Washington,,,,
Demarcus Walker,13.0,10.0,4,160.0
North Atlanta,,,,
Benjamen E. Mays,,,,
South Atlanta,,,,
