Region,Democrats,Republicans,Total,States Included
Pacific,51,20,71, CA
New England,20,1,21, ME
Great Lakes,25,40,65, IN
South Atlantic,23,52,75, VA
Great Lakes,25,40,65, OH
Pacific,51,20,71, OR
Mountain,12,19,31, NV
Mountain,12,19,31, WY
South Central,17,60,77, MS
Mid-Atlantic,38,28,66, NJ
Midwest,8,21,29, ND
New England,20,1,21, MA
Mountain,12,19,31,AZ
Mountain,12,19,31, CO
Midwest,8,21,29, NE
Great Lakes,25,40,65, WI
Great Lakes,25,40,65, IL
South Atlantic,23,52,75,FL
South Atlantic,23,52,75, GA
South Central,17,60,77, KY
Mountain,12,19,31, ID
South Central,17,60,77,AL
South Central,17,60,77, OK
New England,20,1,21, NH
South Central,17,60,77, TN
Midwest,8,21,29, MN
South Central,17,60,77, TX
New England,20,1,21,CT
Mid-Atlantic,38,28,66,DE
Pacific,51,20,71,AK
Midwest,8,21,29, MO
Mountain,12,19,31, UT
Midwest,8,21,29, SD
South Atlantic,23,52,75, WV
Great Lakes,25,40,65,MI
South Central,17,60,77, AR
Midwest,8,21,29,IA
Mid-Atlantic,38,28,66, PA
Pacific,51,20,71, WA
Midwest,8,21,29, KS
South Atlantic,23,52,75, SC
New England,20,1,21, RI
Mountain,12,19,31, MT
Mid-Atlantic,38,28,66, NY
Mid-Atlantic,38,28,66, MD
New England,20,1,21, VT
South Atlantic,23,52,75, NC
Pacific,51,20,71, HI
Mountain,12,19,31, NM
South Central,17,60,77, LA
