Thematic,Milestones,Status,Need for Technical Assistance?,Financial Support needed,Priority,Supporting Attachment (to be uploaded in the specified link),Indicator it corresponds to
0,Training + Capacity Building,0,0,0,0,0,"D, E"
1,0,0,0,0,0,0,2
1,Formal decision to renew composition and membership by CCM,0,0,0,0,0,2
1,Implementation of renewal (including constituency mobilization),0,0,0,0,0,"M, P, G"
1,Membership Renewal Calendar,0,0,0,0,0,2
1,Plan composition (number and repartition),0,0,0,0,0,2
2,0,0,0,0,0,0,3
2,Policy developped and endorsed by CCM,0,0,0,0,0,N
3,0,0,0,0,0,0,0
3,Conduct Structural reform,0,0,0,0,0,0
4,Civil Society and Private Sector,0,0,0,0,0,1
4,Government Sector,0,0,0,0,0,1
4,Partners,0,0,0,0,0,1
5,Implementation of Communication Plan,0,0,0,0,0,"C, F"
