Thematic,Milestones,Status,Need for Technical Assistance?,Financial Support needed,Priority,Supporting Attachment (to be uploaded in the specified link),Indicator it corresponds to
3,Conduct Structural reform,0,0,0,0,0,0
0,Training + Capacity Building,0,0,0,0,0,D
1,0,0,0,0,0,0,2
2,Policy developped and endorsed by CCM,0,0,0,0,0,N
1,Formal decision to renew composition and membership by CCM,0,0,0,0,0,2
4,Civil Society and Private Sector,0,0,0,0,0,1
5,Implementation of Communication Plan,0,0,0,0,0,C
1,Implementation of renewal (including constituency mobilization),0,0,0,0,0,M
4,Partners,0,0,0,0,0,1
1,Plan composition (number and repartition),0,0,0,0,0,2
1,Implementation of renewal (including constituency mobilization),0,0,0,0,0,P
1,Membership Renewal Calendar,0,0,0,0,0,2
2,0,0,0,0,0,0,3
3,0,0,0,0,0,0,0
1,Implementation of renewal (including constituency mobilization),0,0,0,0,0,G
4,Government Sector,0,0,0,0,0,1
0,Training + Capacity Building,0,0,0,0,0,E
5,Implementation of Communication Plan,0,0,0,0,0,F
