# OF Trades,Index,DATE,HOME,0,AWAY,Market,EXP.,EXP Y/N,Score,Open BACK ODDS,SUCCESS,WON B/L,Goals (minutes)
0,4,41733,UJPEST,0,FERENCVAROS,0,3.43,0,1,1.9,0,0,"4, 23"
0,5,41733,CRETEIL,0,LAVAL,0,3.14,0,Apr-00,2.06,0,0,"3, 5"
0,6,41733,WILLEM II,0,0,0,3.02,0,3,1.56,0,0,90
0,8,41733,HEIST,0,WESTERLO,0,3.47,0,5,1.78,0,0,"13, 79"
0,13,41734,VFB STUTTGART,0,FREIBURG,0,3.21,1,8,1.74,3,1,"69, 89"
0,14,41734,COVENTRY,0,MK DONS,0,3.57,0,1,1.95,2,0,"39, 66"
0,15,41734,2,0,ROTHERHAM,0,3.29,0,4-Mar,1.8,2,0,"2, 84, 86, 30, 57, 93, 69"
0,16,41734,ST. MIRREN,0,MOTHERWELL,0,3.01,0,9,1.72,2,0,"17, 27"
0,17,41734,FALKIRK,0,COWDENBEATH,0,3.17,0,10,1.68,2,0,"28, 54, 48, 16"
0,18,41734,PSG,0,REIMS,0,3.41,0,11,1.69,2,0,"48, 89"
0,19,41734,OLIVEIRENSE,0,BENFICA B,0,4.3,0,1,1.77,2,0,"34, 52, 26"
0,22,41734,DEBRECEN,0,GYOR,0,3.07,0,0,1.73,2,0,"60, 22, 25"
0,23,41734,LECH POZNAN,0,JAGIELLONIA,0,3.08,0,1-Jun,1.89,2,0,"78, 53, 78, 7"
0,24,41734,FERREIRA,0,SPORTING,0,3.19,0,12,2.06,2,0,"14, 66, 33, 54"
0,26,41735,JIHLAVA,0,MLADA BOLESLAV,0,3.1,0,6,2.01,2,0,"33, 64"
0,27,41735,WEST HAM,0,LIVERPOOL,0,3.42,0,1,1.7,2,0,"44, 47"
0,28,41735,PANATHINAIKOS,0,LEVADIAKOS,0,3.33,0,3,1.49,2,0,"77, 41"
0,29,41735,PARMA,0,NAPOLI,0,3.08,1,4,1.92,3,1,55
0,46,41741,NOTTS COUNTY,0,8,0,3.37,0,2-Apr,1.67,0,0,"27, 25, 48, 34"
0,66,41744,VELEZ SARSFIELD,0,QUILMES,0,3.21,0,12,2.4,0,0,"17, 5"
0,82,41748,FOREST GREEN,0,WOKING,0,3.42,0,0,1.74,0,0,"68, 90, 33"
0,83,41748,HALIFAX,0,MACCLESFIELD,0,3.34,0,6,1.74,0,0,"18, 22, 45"
0,84,41748,DUMBARTON,0,QUEEN OF SOUTH,0,3.25,0,5,1.7,1,0,"52, 17"
0,91,41749,GRODIG,0,RAPID VIENNA,0,3.12,0,0,1.73,0,0,"51, 25, 12"
0,92,41749,AALBORG,0,RANDERS,0,3.13,0,1,1.77,0,0,"37, 11"
1,1,41733,ADELAIDE,0,MELBOURNE,0,3.24,0,0,1.8,0,0,"33, 1, 42"
