0,0,0,0,0,0,0
0,0,0,1,0,0,0
Mountain,Mountain,Mountain,Mountain,Mountain,Mountain,Mountain
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,2,1,2,1,1,1
3,3,3,3,3,3,3
"Yes, Free","Yes, Free","Yes, Free","Yes, Free","Yes, Free","Yes, Free","Yes, Free"
1,1,0,1,0,1,1
5,11,17,1,102,68,5
1,1,1,1,1,1,1
1,1,1,1,1,1,1
2,2,2,2,1,1,1
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,0,1,0,0,0
0,0,0,0,0,0,0
1,1,1,1,1,1,0
King,King (twin connected),King (twin connected),Round bedroom,Twin beds or King (twin connected),Twin beds or King (twin connected),Double bed (bedroom)
0,0,0,0,0,0,0
3,3,3,3,3,3,3
0,0,0,0,0,0,0
0,0,0,1,0,0,0
1,1,1,1,1,1,1
Deluxe Suite,Suite,Studio,Presidential Suite,Double No Balcony,Double Balcony,Single Room
2,2,2,2,2,2,2
0,0,0,0,0,0,0
2,3+1,2+2,2,2+1,2+1,1
Bedroom/ Living Room / Bathroom,Bedroom / Living room / Bathroom,Bedroom Relax corner / Bathroom,Bedroom / Living Room / Dinning Room/,Bedroom and Bathroom,Bedroom and Bathroom,Bedroom and Bathroom
2,2,1,2,1,1,1
Carpet,Carpet,Carpet,Carpet,Carpet,Carpet,Carpet
0,0,0,0,0,0,0
0,0,0,1,0,0,0
0,0,0,0,0,0,0
1,1,1,1,1,1,1
2,2,2,2,2,2,2
1,1,1,1,1,1,1
64 m2, 64 m2,45 m2,80 m2,34 m2,37 m2,25 m2
1,1,1,1,1,1,1
0,0,0,1,0,0,0
Both,Both,Both,Both,Both,Both,Both
