"2 -
< 10","10 -
< 20","20 -
< 30","30 -
< 50","50 -
< 100",>= 100,Hill Farms,All Sizes
10,48,41,60,23,2,25,209
3.0,7.8,5.3,3.3,1.0,0.1,2.3,22.7
52.8,56.1,51.6,49.5,52.7,0.0,49.1,52.8
50.0,58.3,73.2,76.7,78.3,0.0,59.6,64.5
10.0,6.3,2.4,1.7,0.0,0.0,7.0,5.0
40.0,33.3,24.4,21.7,21.7,0.0,26.5,29.1
3.3,3.31,3.32,3.9,3.83,0.0,3.56,3.45
1.2,1.33,1.17,1.6,1.48,0.0,1.44,1.34
50.0,50.0,48.8,65.0,56.5,0.0,44.8,51.8
0.8,0.48,0.71,0.85,0.96,0.0,0.65,0.67
50.0,39.6,51.2,53.3,69.6,0.0,48.6,48.1
80.0,72.9,75.6,86.7,91.3,0.0,81.5,78.2
50.0,52.1,63.4,65.0,56.5,0.0,75.8,58.9
50.0,47.9,53.7,46.7,26.1,0.0,64.6,50.1
10.0,14.6,29.3,38.3,47.8,0.0,24.4,23.4
0.4,0.33,0.22,0.07,0.09,0.0,0.15,0.25
30.0,27.1,17.1,5.0,4.3,0.0,14.7,19.6
0.3,0.25,0.12,0.05,0.04,0.0,0.25,0.19
30.0,20.8,12.2,5.0,4.3,0.0,25.5,17.4
