name,pop
University Heights,54188
Lindenwood,26148
New Springville,39309
 Rosebank,24048
Greenpoint,37821
 Kingsbridge,29872
Soundview,35137
Kingsbridge Heights,33286
 Fordham North,54415
 Downtown Brklyn,30847
Stapleton,26453
Queensbridge,21104
 Hillcrest,31734
 Pelham Gardens,28510
 New Brighton,33551
Clinton Hill,33292
park,1906
 Oakwood Beach,22049
Briarwood,39138
 Howard Beach,26148
Hunters Point,63271
 Broad Chnl,28018
Starrett City,14621
 Riverdale,28013
 New Hyde Park,22426
Forest Hills,85046
Mount Hope,51807
 South Side,40130
East New York (Pennsylvania Ave),27624
 Travis,39309
University Heights,54335
 Harding Park,53686
Bushwick South,72101
East Harlem North,57148
 Utopia,17812
Fresh Meadows,17812
Kingsbridge Heights,32496
Springfield Gardens North,25441
Spuyten Duyvil,30161
 Olinville,57420
Bellerose,25287
 Little Italy,36757
South Jamaica,35181
 Prince's Bay,27770
 Jamaica Hills,38675
West New Brighton,32154
 Mott Haven North,33195
Maspeth,30516
Old Astoria,28847
Bushwick North,57138
Park Slope,67263
 Floral Park,22571
Jackson Heights,113327
East New York,91958
Jamaica Estates,26061
 Graniteville,27957
 Richmond Valley,18332
 Flushing Heights,31734
Washington Heights South,93671
 cemetery,418
 West Maspeth,61947
Auburndale,19996
 Wingate,67459
 Castle Hill,53686
 Rockwy Prk,26711
 Edgewater Park,44167
St. Albans,50046
 Midland Beach,21896
 Broad Chnl,26711
 Country Club,26583
 Ft. Wadsworth,15238
 Ravenswood,21104
 Port Ivory,27957
West Brighton,17750
Pelham Parkway,30006
East New York (Pennsylvania Ave),29343
Rugby,57934
 New Brighton,32154
 Oakwood Beach,22266
Bath Beach,29931
Flatlands,66726
 Wakefield,43583
Allerton,28510
New Dorp,20242
 Ocean Parkway,36937
 Midtown South,25807
 Morris Heights,54335
Ridgewood,69455
Pelham Bay,27140
 cemetery,540
 Port Morris,49030
 Polo Grounds,75282
Midwood,52835
Rikers Island,11091
 Fox Hills,22460
Borough Park,106357
East Tremont,43423
Flatbush,105804
 Howard Beach,28121
Bensonhurst West,84640
Brighton Beach,35244
Belmont,25967
 Queens,436
