Subtitle,"Class 
Number","Gen
Ed",Class,Description,Days,"Begin 
Time","End 
Time",Room,Instructor,"Instruction 
Mode","Start 
Date","End 
Date"
CIS,44628.0,,CIT 184-A0Z1,Attacks and Exploits,1,1,1,1,40,1.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44447.0,2,BIO 225-A001,31,2,6,31,17,33,2.0,43696.0,43814.0
HISTORY,44658.0,0,HIS 120-A001,69,2,10,20,59,78,2.0,43696.0,43814.0
PSYCHOLOGY,44677.0,6,PSY 110-A002,94,0,5,24,72,102,2.0,43696.0,43814.0
CIS,45376.0,,CIT 105-A0ZB,35,1,1,1,1,21,1.0,43759.0,43814.0
BIOLOGICAL SCIENCES,44434.0,1,BIO 112-A003,24,2,5,24,19,22,2.0,43696.0,43814.0
INDUSTRIAL MANTIENENCE TECHNOLGOY,44443.0,,IMT 110-A086,Industrial Maint Electric Prin,0,26,32,60,84,2.0,43696.0,43814.0
ECONOMICS,44639.0,6,ECO 202-A0Z1,50,1,1,1,1,51,1.0,43696.0,43814.0
SPANISH LANGUAGE AND LITERATURE,44597.0,9,SPA 101-A0Z1,103,1,1,1,1,7,1.0,43696.0,43814.0
AIR CONDITIONING AND REFRIGERATION,44752.0,,ACR 170-A001,Heat Load/Duct Design,3,2,3,2,2,2.0,43696.0,43814.0
PSYCHOLOGY,44689.0,6,PSY 223-A0Z1,96,1,1,1,1,101,1.0,43696.0,43814.0
ENGLISH,45084.0,,ENG 100-A0H4,60,2,1:50 PM,41,53,48,2.0,43696.0,43814.0
ENGLISH,45080.0,,ENG 100-A0H2,60,0,10,2:50 PM,53,7,2.0,43696.0,43814.0
COMMUNICATIONS,44482.0,4,COM 181-A002,41,0,0,0,34,45,2.0,43696.0,43814.0
ENGLISH,44789.0,7,ENG 101-A012,61,2,10,20,37,70,2.0,43696.0,43814.0
MATHEMATICS,45424.0,QE,MAT 116-A001,71,0,19,23,41,85,2.0,43696.0,43814.0
VETERINARY TECHNOLOGY,44468.0,,VET 110-A001,Intro to Veterinary Tech,0,24,22,77,13,2.0,43696.0,43814.0
ENGLISH,44543.0,7,ENG 101-A004,61,0,15,17,38,68,2.0,43696.0,43814.0
RELIGIOUS STUDIES,51390.0,11,REL 130-A002,101,2,19,23,56,Ramisch,2.0,43696.0,43814.0
CRIMINAL JUSTICE,44631.0,,11,45,2,5,24,40,50,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44644.0,2,BIO 227-A001,32,0,26,32,24,24,2.0,43696.0,43814.0
