Var,Actual Payment Date,Due Date,Payment,Payment_ID,Remaining
1,4/11/2021,3-Apr-21,1000.0,KCA/C-HELAL-V3/S/F-01/R1/M1-TNS-2000,1000
2,,3-May-21,2000.0,KCA/C-HELAL-V3/S/F-01/R1/M2-CASH-2000,0
3,,3-Jun-21,2000.0,KCA/C-HELAL-V3/S/F-01/R1/M3-CASH-2000,0
1,11/15/2021,20-Nov-20,2000.0,KCA/C-HELAL-V3/S/F-02/R1/M1-CASH-2000,0
2,23-Dec-20,20-Dec-20,2000.0,KCA/C-HELAL-V3/S/F-02/R1/M2-CASH-2000,0
3,19-Jan-21,20-Jan-21,2000.0,KCA/C-HELAL-V3/S/F-02/R1/M3-CASH-2000,0
1,8/13/2021,12-Aug-21,9000.0,KCA/C-HELAL-V3/S/F-03/R1/3P1-CASH-9000,0
2,29-Nov-21,25-Nov-21,10000.0,KCA/C-HELAL-V3/S/F-03/R1/3P2-CASH-10000,0
3,11-Apr-21,25-Mar-21,7000.0,KCA/C-HELAL-V3/S/F-03/R1/3P3-TNS-9000-1,2000
1,10/27/2020,30-Oct-20,1000.0,KCA/C-HELAL-V3/S/F-05/R1/5P1-TNS-1000,0
2,8-Nov-20,2-Nov-20,5250.0,KCA/C-HELAL-V3/S/F-05/R1/5P2-TNS-5250,5250
3,6-Feb-21,2-Feb-21,6250.0,KCA/C-HELAL-V3/S/F-05/R1/5P3-TNS-6250,0
1,10/7/2020,1-Aug-21,10000.0,KCA/C-HELAL-V3/S/F-06/R1/3P1-TNS-10000,0
2,23-Dec-20,1-Dec-20,10000.0,KCA/C-HELAL-V3/S/F-06/R1/3P2-TNS-15000-1,0
3,9-Mar-21,1-Dec-20,5000.0,KCA/C-HELAL-V3/S/F-06/R1/M2-TNS-15000-2,0
1,8/29/2020,4-Aug-20,3700.0,KCA/C-HELAL-V3/IBHR/F-07/R1/M1-CASH-3700,0
2,28-Sep-20,4-Sep-20,3700.0,KCA/C-HELAL-V3/IBHR/F-07/R1/M2-CASH-3700,0
3,4-Nov-20,4-Oct-20,3700.0,KCA/C-HELAL-V3/IBHR/F-07/R1/M3-CASH-3700,0
1,6/25/2020,1-Jul-20,3200.0,KCA/C-HELAL-V3/IBHR/F-08/R1/M1-CASH-3200,0
2,3-Aug-20,1-Aug-20,3200.0,KCA/C-HELAL-V3/IBHR/F-08/R1/M2-CASH-3200,0
3,5-Sep-20,1-Sep-20,3200.0,KCA/C-HELAL-V3/IBHR/F-08/R1/M3-CASH-3200,0
1,4/30/2020,1-May-20,2000.0,KCA/C-HELAL-V3/S/F-09/R1/M1-TR-2000,0
2,,1-Jun-20,2000.0,KCA/C-HELAL-V3/S/F-09/R1/M2-TR-2000,0
3,,1-Jul-20,2000.0,KCA/C-HELAL-V3/S/F-09/R1/M3-TR-2000,0
1,8/3/2020,22-Jul-20,2300.0,KCA/C-HELAL-V3/S/F-10/R1/M1-TR-2300,0
2,7-Sep-20,22-Aug-20,2300.0,KCA/C-HELAL-V3/S/F-10/R1/M2-TR-2300,0
3,4-Oct-20,22-Sep-20,2300.0,KCA/C-HELAL-V3/S/F-10/R1/M3-TR-2300,0
1,7/28/2020,1-Aug-20,1800.0,KCA/C-HELAL-V3/S/F-11/R1/M1-TR-1800,0
2,29-Aug-20,1-Sep-21,1800.0,KCA/C-HELAL-V3/S/F-11/R1/M2-TR-1800,0
3,30-Sep-20,1-Oct-20,1800.0,KCA/C-HELAL-V3/S/F-11/R1/M3-TR-1800,0
