Account Name,Contract Start Date,Membership Category,Website
Suppliers and Manufacturers,,,
Becri - Malhas e Confeccoes S. A.,42217.0,9,
"Shananxi Changrong Textile Co.,Ltd",42278.0,7,
Paul Reinhart AG,40940.0,12,
MARS Textile Ltd,42461.0,7,
Spectrum International Pvt. Ltd.,41426.0,12,
AB Cotspin India Ltd,42248.0,4,
"Sunvim Group Co., Ltd  No. 2 Towel Company",42095.0,9,
Grospinz Fabz Limited,41883.0,7,
Reha Tekstil Dis Ticaret ve San A.S,42522.0,9,
Jiangsu Gtig Hubo Co. Ltd.,41640.0,4,
"Dafeng  Wanda  Textile  Co.,Ltd",42248.0,7,
Midland Knitwear Ltd,42644.0,9,www.mfgbd.net
Rasi Tex (India) Pvt Ltd,42064.0,7,
Ambika Cotton Mills Ltd,42309.0,7,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Gadoon Textile Mills Ltd.,42036.0,7,
"Dong- Il Vietnam Co., Ltd",42644.0,7,www.dong-il.com
"Bengbu Huawan Textile Co., Ltd",41944.0,4,
BST Textile Mills Pvt Ltd,42278.0,7,
"Hubei Yinhe Textile Co.,Ltd",42430.0,7,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Yesim Tekstil San. ve Tic. A.S.,41153.0,4,
PT Tyfountex Indonesia,41944.0,4,
Vijay Pratisthan,42370.0,12,
Super Sales India Ltd,42736.0,7,www.supersales.co.in
Haian Lianfa Cotton Spinning Co. Ltd. (Aksu Lianfa Textile Co. Ltd.),41640.0,7,
PT Pacific Texindo Industry,42552.0,7,
Salona Cotspin Ltd,42675.0,7,www.salonagroup.com
Din Dayal Purushottam Lal,42339.0,12,
Faisal Fabrics Ltd.,42248.0,6,
Syed Spinning & Cotton Mills Ltd.,42461.0,7,
Paramount Textile Ltd.,42156.0,6,
Skywin Spinning Pvt Ltd,42644.0,7,www.skywinspinning.com
Zibo Yinshilai Textile Co. Ltd.,41671.0,9,
Civil Society,,,
Rural Education and Economic Development Society,41640.0,1,www.reedpakistan.org
Suppliers and Manufacturers,,,
"Zhonghua Group Co. ,Ltd",41944.0,7,
N. Murugan Chettiar,42522.0,12,
Hantex,40787.0,4,
Youth Spinning Mills Ltd,42461.0,7,
Civil Society,,,
Suppliers and Manufacturers,,,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Feroze1888 Mills Ltd.,41030.0,4,
Hateks Hatay Tekstil,40756.0,4,
GTN Industries/GTN Engineering (India) Ltd.,40940.0,4,
Kamal Yarn Ltd.,42186.0,7,
Rajby Textiles (Pvt) Ltd,42552.0,6,
"Keer Group Co., Ltd",42430.0,4,
Al-Muqeet Textiles (Private) Limited,42125.0,7,
Producer Organisation,,,
Associate Members,,,
Suppliers and Manufacturers,,,
Kedarnath Ginning Pvt Ltd,42370.0,12,
"Jiangsu Sunshine Textile Co.,Ltd",41791.0,4,
Shandong Linqing China Resources Textiles Co. Ltd.,41883.0,7,
Elkins Tradelink Ltd.,42217.0,12,
"Taicang Litai Textile Mill Co.,Ltd",42156.0,4,
K.P.R Mill Ltd.,41671.0,4,
Socota Textile and Clothing Division,42248.0,6,
Machiyara Group,41487.0,9,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Imka Iplik Tekstil Isl San ve Tic A.S,42736.0,4,www.imkaiplik.com
Crescent Fibres Limited,41821.0,7,
"Jiangsu Yulan Yarn-Dyed Fabric Co.,Ltd",42095.0,6,
RKS Cotton Pvt Ltd,42644.0,12,
Bharat Vijay Mills,41821.0,6,
Aman Spinning Mills,41395.0,7,
Bajwa Spinning Mills (Pvt) Limited,42430.0,7,
Producer Organisation,,,
Pakistan Rural Workers Social Welfare Organisation (PRWSWO),41913.0,2,www.prwswo.org
Suppliers and Manufacturers,,,
Bannari Amman Spinning Mills Ltd.,41730.0,7,
Civil Society,,,
Suppliers and Manufacturers,,,
Thermax Group,41821.0,4,
Dongguan UPW Ltd,41944.0,7,
Pahartali Textile & Hosiery Mills,41730.0,7,
Kilim Group,41760.0,4,
KKP Textiles Ltd.,41944.0,7,
PT Easterntex,42248.0,4,
Mahmood Group,40848.0,4,
Kautilya Industries Pvt Ltd,42614.0,4,
Ipek Tekstil ve Dis Tic. A.S,42339.0,7,
Radiant Textiles Limited,42278.0,7,
Orteks Tekstil Urunleri San. ve Tic. A.S.,41821.0,7,
Nishat Mills,40725.0,4,
"Wuxi YGM Textile Co.,Ltd",41579.0,4,
Dok-San Denizli Dokuma San. ve Tic. A.S.,42430.0,9,
Civil Society,,,
Suppliers and Manufacturers,,,
Thien Nam Investment and Development Joint Stock Company,42583.0,7,
"Sociedade Algodoeira do Niassa JFS, SARL",41091.0,11,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Huafu Top Dyed Melange Yarn Co. Ltd.,40664.0,7,
Associate Members,,,
Suppliers and Manufacturers,,,
Civil Society,,,
Suppliers and Manufacturers,,,
Prasuna Vamsikrishna Spinning Mills Pvt Ltd,42795.0,7,
Adamjee Enterprises,41944.0,9,
WestPoint Home LLC,42552.0,4,
Shandong Dashing Cashmere Products Co.ltd,42644.0,,
Bulut Tekstil San. ve Tic. Ltd. Sti.,41821.0,7,
Civil Society,,,
Suppliers and Manufacturers,,,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
T C Terrytex Ltd,42736.0,5,www.tctl.in
Green House Ltd,41974.0,7,
Ayabe Co. Ltd,42491.0,7,
Faircot SA,42461.0,12,www.faircot.ch
Prabhu Spinning Mills Pvt. Ltd. - OE Division,41699.0,7,
"Changyi Huachen Yuesheng Textile Co.,Ltd",42339.0,7,
Cofco Agri Ltd.,42430.0,12,
Iskur Tekstil Enerji Tic. ve San. A.S.,41000.0,4,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Finteks Tekstil ve Hali San Ltd Sti,42430.0,9,
Rajapalayam Mills Limited,41913.0,7,
Technocraft Industries Limited,41974.0,7,
"Siam Kurabo Co., Ltd",42430.0,7,
Fazal Industries,42614.0,5,
Adwaith Textiles Ltd,42552.0,7,
Ahuja Cotspin Pvt. Ltd.,42217.0,7,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
"Xiajin County Ruixin Textile Co.,Ltd",42430.0,7,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
WCT Holding,42248.0,12,
Sangam (India) Limited,42278.0,7,
"Nangtong Doublegreat Textile Co.,Ltd",42705.0,4,www.ntshtex.com
Sri Nukala Rama Koteswara Rao Textiles Pvt Ltd,42309.0,7,
Shivdhara Spinners & Spinners Pvt Ltd,42705.0,7,www.shivdharagroup.com
Mayfair Ltd.,41426.0,7,
Deniz Tekstil San. ve Tic. A.S.,41030.0,4,
RSB Cottex Ltd.,42217.0,7,
"Mirafios Sociedade, FIacao e Tecidos Lda",42705.0,7,www.mirafios.pt
Square Textiles Ltd.,41579.0,7,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
"Fuzhou Development Zone Zhengtai Textile Co.,Ltd",42644.0,6,www.fzztfz.com
Jiangsu Expert Textile Science and Technology Co. Ltd,42552.0,10,
"Zhejiang Huahong Top Dyed Melange Yarn Co., Ltd",42036.0,7,
Jytx Textile Co. Ltd.,41730.0,4,
Exportadora TSA S.A. de C.V.,42675.0,4,www.hilasal.com.sv
Purbani Group,42125.0,7,
Civil Society,,,
Suppliers and Manufacturers,,,
Thiagarajar Mills Pvt. Ltd.,41821.0,7,
"Rugao Ruxing Textile Co.,Ltd",42156.0,4,
Rauf Textile & Printing Mills Pvt Ltd,42248.0,9,
S Raja Exports,40848.0,12,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Textufil S.A. de C.V.,42552.0,4,
R S Cottmark India Pvt. Ltd.,42125.0,12,
"Jiaozuo Haihua Textile Co.,Ltd",42186.0,7,
Satia Synthetics Ltd,42522.0,7,
"Shangqiu Huifeng Cotton Industry Co., Ltd.",42736.0,7,www.hfmianye.com
Murat Yapi Tekstil San.Tic.A.S,42339.0,7,
The Lakshmi Mills Company Ltd,42705.0,7,www.lakshmimills.com
Louis Dreyfus Company,40940.0,12,www.ldcom.com
Grupo Industrial Miro SA de C V,42675.0,4,www.grupomiro.com
Cotton Distributors Incorporated,41699.0,12,
Sister Denim Composite Ltd,42705.0,6,www.thermaxgroup.com
Hamid Fabrics Ltd.,41821.0,9,
Alps Industries Ltd.,41334.0,4,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Super Spinning Mills,40848.0,7,
"Hebei Spring Textiles  Co., Ltd",41913.0,7,
Kallam Spinning Mills Ltd,42339.0,7,
Kikani Exports Pvt Ltd,42767.0,4,www.kikaniexports.com
Producer Organisation,,,
Suppliers and Manufacturers,,,
Abanti Colour Tex Ltd,42522.0,9,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
"Haining Bafang Weaving Co.,Ltd.",41974.0,4,
Associate Members,,,
Civil Society,,,
Suppliers and Manufacturers,,,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Indo Count Group,41640.0,4,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Rameswar Udyog Pvt Ltd,42491.0,4,
Gokhan Tekstil San ve Tic A.S,42736.0,4,www.gokhan.com.tr
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Civil Society,,,
Suppliers and Manufacturers,,,
Cedro Textil,42430.0,7,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
"Dongying Pengjie Yarn-Dyed Fabric Co.,Ltd",42736.0,4,
Mustaqim Dyeing and Printing Industries Pvt. Ltd.,40513.0,9,
Zhangjiagang City Haoran Textile Co. Ltd.,41821.0,7,
Weifang Lantian Textile Co. Ltd.,41640.0,4,
