Index,group,name,quantity,unit_cogs
14777,ICE_CREAMS_FROZEN,LODY TORTUFFO KOKOS,1,2.08
13001,GENERAL_FOOD,WIN GALARETKA POMARANCZOWA 75 G,1,1.23
1556,POULTRY,MAKA POZNA?SKA BASIA 1KG,5,2.25
11700,GENERAL,ZUPA VIFON KREWETKA PIKANTNA OSTRA,5,0.92
5761,COFFEE TEA,HWEB SAGA SLIWKA EX 25 T,1,3.49
10233,DRINK_JUICE,NAP TYMBARK 0_25 MIETA CYTRYNA,1,0.89
825,ALCOHOL,PIWO BOJAN TOPOREK 0_5 L,B/ZW,3.0
9572,DRINK_JUICE,NAP BLACK 250ML PUSZKA,6,1.28333333333333
19320,SWEETS,CHRUSCIKI/CIASTA ROZNE KG,5,19.008
4873,CIGARETTES,PAP MOCNE 20,89,10.7615730337079
2740,CHEMISTRY,REKAWICE JEDNORAZOWE,90,0.2
19891,SWEETS,CIASTKA JEZYKI -DARK WISNIA,2,2.81
18258,SPICES,WIN KOSTKA MIESNA 60G,4,1.21
21936,VEGETABLES,KT SZCZYPIOREK Z CEBULKA,17,1.06058823529412
11859,GENERAL,GROCH PO?ÓWKI400 KROS,8,0.85
960,ALCOHOL,PIWO BOJAN KOKOS 0_5 L B/ZWR,1,3.02
14518,GROATS_RICE_PASTA,MAKARON ABAK BABUNI 250G 2 JAJ,6,1.49
6077,COFFEE TEA,LIPTON EXP.25 TOREBEK,3,2.93
19605,SWEETS,SPRAY GAZ,1,2.1
11095,POULTRY,FILETY Z MAKRELI W OLEJU 170 G FALA,2,4.5
23115,ALCOHOL,WINO FRESCO ROZOWE P/SL,5,6.6739999999999995
19388,SWEETS,MILKA 100GR YOGHURT,2,2.29
7023,DAIRY_CHESSE,GOS.SMIETANKA 30% 500ML GOSTYN,7,4.41
1186,BREAD,BULKA MASLANA MALA1,228,0.53
6028,COFFEE TEA,JACOBS VELVET 75 G UZUP.,1,5.99
17022,POULTRY,SZYNKA WIELKOPOLSKA KG,3.01,16.7774086378738
1568,POULTRY,PROFI SZYNKA MIELONA 110G,8,1.74
12889,GENERAL_FOOD,CYKORIA SNIEZKA 60 G,9,1.08555555555556
21,GENERAL_ITEMS,BELLA PODPASKI NOVA MAXI 10,3,2.65
13545,GENERAL_FOOD,BOBOVITA KLEIK RYZOWY,1,3.86
11355,GENERAL,PRZYPRAWA DO DROBIU 20 G,1,2.08
19025,SWEETS,MILKA CZEK.ORZECHOWA 100G,4,2.29
11246,GENERAL,CZEK ALPEN GOLD 100G ORZECH,2,2.04
13904,GENERAL_FOOD,KNORR FIX DO POTR.CHINSKICH 36G,2,2.36
18548,SPICES,KAMIS BAZYLIA 10 G,4,1.1025
9552,DRINK_JUICE,KUBUS PLAY MAR/CZER.POMAR/LIMETKA,5,1.49
15149,ICE_CREAMS_FROZEN,LODY ROLADA MONA LISA,3,5.56
5322,CIGARETTES,PAP PAPIEROSY NA SZT,468,0.55
4011,CHEWING_GUM_LOLIPOPS,GUMA ORBIT SPIRMINT DRAZE,23,1.4034782608695702
12587,GENERAL_FOOD,DESER MONTE SMURF 125 G,3,2.3
14449,GROATS_RICE_PASTA,MAK ZLOTY LAN MUSZELKA 500 G,7,1.09
19041,SWEETS,PILKA PUCHAR Z CUKIERKAMI,4,6.36
11317,GENERAL,CZEK ALPEN GOLD 100G ORZECH,1,2.04
799,ALCOHOL,PIWO TYSKIE KLASYCZNE 0_5 BUT.ZW,10,1.68
72,GENERAL_ITEMS,BELLA HERBS 12 Z WERBENA,1,2.49
18026,SPICES,KAMIS KOWBOJSKI INDTK 20 G,2,0.87
11282,GENERAL,POWIDLA WEGIERKOWE 290 HERBOPOL,1,3.34
15702,ICE_CREAMS_FROZEN,LODY BIG MILK FRUUT,30,1.88
