Index,imdb_id,genres
168,tt2467046,"Thriller,  Action"
276,tt0448011," Mystery,  Science Fiction, Action"
330,tt1095217, Crime
336,tt0375568," Science Fiction, Animation,  Family,  Action"
386,tt1250777,Action
392,tt0963966, Comedy
687,tt0814022," Crime, Action"
727,tt1502404,"Fantasy,  Thriller"
764,tt1071875," Thriller, Action"
784,tt0479997,"Adventure,  Fantasy"
825,tt1674784," Thriller, Crime"
833,tt1214962," Drama,  Thriller, Action"
914,tt0268126,"Comedy,  Crime"
921,tt0245562, War
1033,tt1656186,"Action,  Crime,  Thriller"
1224,tt0481499," Family,  Animation, Adventure"
1280,tt2005374," Crime, Thriller"
1346,tt0399295," Thriller, Crime"
1390,tt0384680, Drama
1473,tt0429589,"Fantasy,  Adventure,  Family,  Animation"
1509,tt0469641,"Drama,  History"
1568,tt0368891," Thriller,  Mystery"
1675,tt0465234," Adventure,  Thriller,  Mystery"
1683,tt0259324,"Thriller,  Fantasy,  Action,  Horror"
1722,tt0435705," Science Fiction,  Thriller, Action"
1818,tt0187078," Crime,  Thriller, Action"
1838,tt0218967," Fantasy,  Drama"
