Index,imdb_id,genres
1838,tt0218967, Fantasy
727,tt1502404,Fantasy
1033,tt1656186,Action
687,tt0814022, Crime
1033,tt1656186, Crime
1568,tt0368891, Thriller
1509,tt0469641,Drama
168,tt2467046,Thriller
1033,tt1656186, Thriller
330,tt1095217, Crime
825,tt1674784, Thriller
1722,tt0435705, Science Fiction
833,tt1214962, Drama
276,tt0448011, Mystery
336,tt0375568, Science Fiction
1473,tt0429589,Fantasy
914,tt0268126,Comedy
276,tt0448011, Science Fiction
1722,tt0435705, Thriller
168,tt2467046, Action
1224,tt0481499, Family
825,tt1674784,Crime
833,tt1214962, Thriller
1683,tt0259324,Thriller
764,tt1071875, Thriller
1818,tt0187078, Crime
392,tt0963966, Comedy
386,tt1250777,Action
1722,tt0435705,Action
1346,tt0399295, Thriller
1224,tt0481499, Animation
1683,tt0259324, Fantasy
921,tt0245562, War
1473,tt0429589, Adventure
1683,tt0259324, Action
764,tt1071875,Action
1346,tt0399295,Crime
1838,tt0218967, Drama
1675,tt0465234, Adventure
1224,tt0481499,Adventure
727,tt1502404, Thriller
1390,tt0384680, Drama
1675,tt0465234, Thriller
1818,tt0187078, Thriller
1568,tt0368891, Mystery
336,tt0375568,Animation
784,tt0479997,Adventure
914,tt0268126, Crime
1280,tt2005374, Crime
1818,tt0187078,Action
276,tt0448011,Action
1473,tt0429589, Family
833,tt1214962,Action
336,tt0375568, Family
1280,tt2005374,Thriller
336,tt0375568, Action
784,tt0479997, Fantasy
687,tt0814022,Action
1473,tt0429589, Animation
1509,tt0469641, History
1675,tt0465234, Mystery
1683,tt0259324, Horror
