Desc,ID,Size,Price,Colors
Vof,D5368,0,89.03, Red
Det,F4478,0,86.32, Red
Fik,K4149,2,79.77,Red
Moc,D6429,3,38.34, Black
Bov,H4912,0,13.88,Red
Hag,T4758,2,33.37,Blue
Dar,P5336,2,94.3, Green
Hag,T4758,2,33.37, Green
Juc,N9050,2,82.26, Red
Fes,J2948,2,55.84,Yellow
Leg,F3006,1,10.15, Green
Huc,S3840,2,25.32, Black
Pav,H1756,2,30.42, Yellow
Nef,G4058,2,16.85, Black
Pec,B2448,1,47.69,1
Deh,F7804,2,39.13, Green
Nef,G4058,2,16.85,Green
Kid,M4124,3,35.4, Red
Keg,K1919,1,65.67,Blue
Deh,F7804,2,39.13,Black
Vof,D5368,0,89.03, Yellow
Keg,K1919,1,65.67, Black
Pav,H1756,2,30.42,Red
Luh,N5050,0,18.57, Yellow
Pav,H1756,2,30.42, Black
Goh,N6858,3,24.81, Red
Leg,F3006,1,10.15, Black
Juc,N9050,2,82.26,Blue
Hic,S4162,0,32.66, Blue
Nef,G4058,2,16.85, Blue
Bov,H4912,0,13.88, Green
Leg,F3006,1,10.15, Blue
Dut,F2709,1,53.46,Yellow
Rif,P8966,2,29.97,0
Leg,F3006,1,10.15,Red
Moc,D6429,3,38.34,Green
Det,F4478,0,86.32, Black
Sav,J7355,0,98.53,0
Hic,S4162,0,32.66, Green
Goh,N6858,3,24.81,Blue
Hic,S4162,0,32.66,Yellow
Nef,G4058,2,16.85, Yellow
Fik,K4149,2,79.77, Black
Wum,N9551,1,56.75,0
Nif,M2228,2,22.27,Yellow
Huc,S3840,2,25.32, Green
Huc,S3840,2,25.32,Yellow
Kid,M4124,3,35.4,Blue
Dut,F2709,1,53.46, Black
Juc,N9050,2,82.26, Black
Luh,N5050,0,18.57,Blue
Luh,N5050,0,18.57, Red
Fes,J2948,2,55.84, Blue
Len,N3316,1,84.06,2
Keg,K1919,1,65.67, Red
Nup,D3028,2,13.62,1
Teb,D6219,0,92.6, Blue
Dar,P5336,2,94.3, Red
Sep,H5408,0,46.42,2
Fes,J2948,2,55.84, Red
Deh,F7804,2,39.13, Yellow
Viv,N5044,2,32.05,Black
Kid,M4124,3,35.4, Green
Dar,P5336,2,94.3,Black
Nif,M2228,2,22.27, Blue
Teb,D6219,0,92.6,Black
Det,F4478,0,86.32,Green
Keg,K1919,1,65.67, Green
Dar,P5336,2,94.3, Yellow
