Desc,ID,Size,Price,Colors
Bov,H4912,0,13.88,"Red,  Green"
Dar,P5336,2,94.3," Green,  Red, Black,  Yellow"
Deh,F7804,2,39.13," Green, Black,  Yellow"
Det,F4478,0,86.32," Red,  Black, Green"
Dut,F2709,1,53.46,"Yellow,  Black"
Fes,J2948,2,55.84,"Yellow,  Blue,  Red"
Fik,K4149,2,79.77,"Red,  Black"
Goh,N6858,3,24.81," Red, Blue"
Hag,T4758,2,33.37,"Blue,  Green"
Hic,S4162,0,32.66," Blue,  Green, Yellow"
Huc,S3840,2,25.32," Black,  Green, Yellow"
Juc,N9050,2,82.26," Red, Blue,  Black"
Keg,K1919,1,65.67,"Blue,  Black,  Red,  Green"
Kid,M4124,3,35.4," Red, Blue,  Green"
Leg,F3006,1,10.15," Green,  Black,  Blue, Red"
Len,N3316,1,84.06,2
Luh,N5050,0,18.57," Yellow, Blue,  Red"
Moc,D6429,3,38.34," Black, Green"
Nef,G4058,2,16.85," Black, Green,  Blue,  Yellow"
Nif,M2228,2,22.27,"Yellow,  Blue"
Nup,D3028,2,13.62,1
Pav,H1756,2,30.42," Yellow, Red,  Black"
Pec,B2448,1,47.69,1
Rif,P8966,2,29.97,0
Sav,J7355,0,98.53,0
Sep,H5408,0,46.42,2
Teb,D6219,0,92.6," Blue, Black"
Viv,N5044,2,32.05,Black
Vof,D5368,0,89.03," Red,  Yellow"
Wum,N9551,1,56.75,0
