Collection Type,SEASON
Color,BLACK
Color Code,B672
Department,MEN
M.S.R.P. (EUR),1290
Season,23R
Style Number,12353
Wholesale (EUR),487
Collection Type,SEASON
Color,WHITE
Color Code,B673
Department,MEN
M.S.R.P. (EUR),1300
Season,24R
Style Number,12354
Wholesale (EUR),500
Collection Type,SEASON
Color,BLACK
Color Code,B674
Department,MEN
M.S.R.P. (EUR),2000
Season,25R
Style Number,12354
Wholesale (EUR),600
Collection Type,SEASON
Color,YELLOW
Color Code,B675
Department,MEN
M.S.R.P. (EUR),2200
Season,26R
Style Number,23456
Wholesale (EUR),700
Collection Type,SEASON
Color,WHITE
Color Code,B679
Department,MEN
M.S.R.P. (EUR),3000
Season,27R
Style Number,67890
Wholesale (EUR),1000
