M.S.R.P. (EUR),1300
Collection Type,SEASON
Department,MEN
Wholesale (EUR),500
Color Code,B673
Color,WHITE
Season,24R
M.S.R.P. (EUR),3000
Collection Type,SEASON
Department,MEN
Wholesale (EUR),1000
Color Code,B679
Color,WHITE
Season,27R
M.S.R.P. (EUR),1290
Collection Type,SEASON
Department,MEN
Wholesale (EUR),487
Color Code,B672
Color,BLACK
Season,23R
M.S.R.P. (EUR),2000
Collection Type,SEASON
Department,MEN
Wholesale (EUR),600
Color Code,B674
Color,BLACK
Season,25R
M.S.R.P. (EUR),2200
Collection Type,SEASON
Department,MEN
Wholesale (EUR),700
Color Code,B675
Color,YELLOW
Season,26R
