Index,revenue,cast
970,1519557910," Chris Evans,  Chris Hemsworth, Robert Downey Jr."
971,132400000," Stephen Rea, Kate Beckinsale,  Theo James,  Michael Ealy"
972,1081041287," Gary Oldman,  Anne Hathaway, Christian Bale,  Michael Caine,  Tom Hardy"
973,425368238,"Jamie Foxx,  Christoph Waltz,  Leonardo DiCaprio,  Kerry Washington,  Samuel L. Jackson"
974,1108561013," Ralph Fiennes, Daniel Craig,  Naomie Harris,  Judi Dench"
975,276572938,"Jeremy Renner,  Stacy Keach,  Edward Norton,  Scott Glenn,  Rachel Weisz"
976,1017003568,"Ian McKellen,  Martin Freeman,  Cate Blanchett"
977,403170142," Michael Fassbender,  Idris Elba,  Guy Pearce,  Charlize Theron, Noomi Rapace"
978,205738714," Chris Tucker,  Robert De Niro,  Jacki Weaver, Bradley Cooper,  Jennifer Lawrence"
979,752215857," Martin Sheen,  Emma Stone,  Denis Leary, Andrew Garfield,  Rhys Ifans"
980,538983207," Julie Walters,  Kevin McKidd, Kelly Macdonald,  Billy Connolly"
981,396600000," Charlize Theron, Kristen Stewart,  Sam Claflin,  Chris Hemsworth,  Ian McShane"
982,201585328," Brie Larson, Channing Tatum,  Dave Franco,  Jonah Hill,  Ellie Kemper"
983,609016565," Adil Hussain, Suraj Sharma,  Gautam Belur,  Irrfan Khan,  Ayush Tandon"
984,877244782,"John Leguizamo,  Chris Wedge,  Ray Romano,  Seann William Scott"
985,549368315," Mila Kunis,  Joel McHale,  Giovanni Ribisi,  Seth MacFarlane"
986,218340595," Richard Jenkins,  Rosamund Pike,  David Oyelowo, Tom Cruise"
987,180274123," Samuel Joslin,  Tom Holland, Naomi Watts,  Ewan McGregor,  Oaklee Pendergast"
988,471222889," Jamie Elman,  Sarah Silverman, John C. Reilly,  Jane Lynch,  Jack McBrayer"
989,115350426,"Anna Kendrick,  Skylar Astin"
990,624026776," Michael Stuhlbarg,  Emma Thompson,  Tommy Lee Jones, Will Smith,  Josh Brolin"
991,691210692,"Jennifer Lawrence,  Liam Hemsworth,  Elizabeth Banks"
992,198802074,"Colin Farrell,  Jessica Biel,  Kate Beckinsale,  Bill Nighy,  Bryan Cranston"
993,130482868," Hugo Weaving,  Jim Sturgess,  Halle Berry, Tom Hanks"
994,312573423," Dolph Lundgren,  Arnold Schwarzenegger,  Bruce Willis, Sylvester Stallone,  Jason Statham"
995,376141306," Famke Janssen, Liam Neeson,  Luke Grimes,  Maggie Grace,  Rade Serbedzija"
996,245527149," Helena Bonham Carter,  Michelle Pfeiffer,  Jackie Earle Haley, Johnny Depp,  Jonny Lee Miller"
997,33400000,"Logan Lerman,  Emma Watson,  Ezra Miller,  Paul Rudd,  Nina Dobrev"
998,232324128," Victor Garber, Ben Affleck,  Bryan Cranston,  Alan Arkin,  John Goodman"
999,234989584,"Jason Biggs,  Alyson Hannigan,  Thomas Ian Nicholas,  Chris Klein,  Seann William Scott"
1000,167221571,"Channing Tatum,  Cody Horn,  Matthew McConaughey,  Olivia Munn"
1001,66486080,"Kristen Connolly,  Jesse Williams,  Anna Hutchison,  Fran Kranz,  Chris Hemsworth"
1002,306941670," Jude Law, Chris Pine,  Hugh Jackman"
1003,196114570," Channing Tatum, Rachel McAdams,  Jessica Lange,  Scott Speedman"
1004,355692760," Luis GuzmÃ¡n,  Josh Hutcherson,  Kristin Davis,  Vanessa Hudgens"
1005,40346186," Robert John Burke, Jason Statham,  Catherine Chan,  James Hong"
1006,112265139," Anthony Mackie, Benjamin Walker,  Rufus Sewell,  Dominic Cooper,  Mary Elizabeth Winstead"
1007,8106475," James Kidnie,  Timothy Spall,  Jim Sturgess"
1008,348840316,"Zac Efron,  Ed Helms,  Danny DeVito,  Taylor Swift,  Rob Riggle"
1009,68263166," Kara Hayward, Bruce Willis,  Jared Gilman,  Bill Murray,  Edward Norton"
1010,41037742," Wood Harris,  Olivia Thirlby, Karl Urban,  Jason Cope,  Lena Headey"
1011,303025485," Alexander SkarsgÃ¥rd,  Rihanna,  Brooklyn Decker,  Tadanobu Asano, Taylor Kitsch"
1012,441809770," Anne Hathaway,  Sacha Baron Cohen,  Russell Crowe,  Amanda Seyfried, Hugh Jackman"
1013,183018522," Lily Collins, Julia Roberts,  Nathan Lane,  Martin Klebba"
1014,284139100," CiarÃ¡n Hinds,  Lynn Collins, Taylor Kitsch,  Mark Strong,  Willem Dafoe"
1015,47042000," Bruce Willis,  Paul Dano,  Emily Blunt, Joseph Gordon-Levitt,  Noah Segan"
1016,829000000," Taylor Lautner, Kristen Stewart,  Elizabeth Reaser,  Peter Facinelli,  Robert Pattinson"
1017,132820716,"Jessica Chastain,  Joel Edgerton,  Jason Clarke"
1018,33372606," Ewan McGregor,  Michael Fassbender,  Bill Paxton, Gina Carano,  Channing Tatum"
1019,301000000,"Sam Worthington,  Rosamund Pike,  Edgar RamÃ­rez,  Liam Neeson,  Ralph Fiennes"
1020,140470746,"Kathryn McCormick,  Megan Boone,  Stephen Boss"
1021,145000000," Anna Wood,  Alex Russell, Dane DeHaan,  Michael B. Jordan"
1022,81272766," Emilio Rivera,  Nestor Serrano,  Alexander Asefa,  Gonzalo Menendez"
1023,358375603," Steve Buscemi, Adam Sandler,  David Spade,  Selena Gomez,  Kevin James"
1024,48126384," Natalie Martinez,  Anna Kendrick, Jake Gyllenhaal,  Michael PeÃ±a,  David Harbour"
1025,79700000," Brooklyn Decker, Cameron Diaz,  Anna Kendrick,  Elizabeth Banks"
1026,179379533," Aasif Mandvi, Sacha Baron Cohen,  Megan Fox,  Anna Faris,  Sayed Badreya"
1027,100000000," Kirby Bliss Blanton, Oliver Cooper,  Thomas Mann,  Jonathan Daniel Brown,  Dax Flame"
1028,63100000," Ben Foster,  Kate Beckinsale, Mark Wahlberg,  Giovanni Ribisi"
1029,746921274," David Schwimmer, Ben Stiller,  Chris Rock,  Frances McDormand,  Sacha Baron Cohen"
1030,53676580," Jessica Chastain,  Tom Hardy,  Guy Pearce,  Mia Wasikowska"
1031,29657751," Luke Evans,  Brendan Gleeson, John Cusack,  Alice Eve"
1032,59418613," Diego Boneta, Tom Cruise,  Julianne Hough,  Bryan Cranston,  Alec Baldwin"
1033,2106557," Danny Huston, Nicolas Cage,  Malin Ã…kerman,  Sami Gayle"
1034,118338361," Brendan Gleeson,  Jeremy Piven,  Brian Blessed"
1035,28258060,"Joaquin Phoenix,  Amy Adams,  Philip Seymour Hoffman,  Jesse Plemons,  Laura Dern"
1036,53909751,"Emily Blunt,  Chris Pratt,  Jason Segel,  Rhys Ifans,  Alison Brie"
1037,88058786," Maude Apatow,  Megan Fox,  Jason Segel, Paul Rudd,  Leslie Mann"
1038,32204030," Lennie James,  Maggie Grace,  Peter Stormare, Guy Pearce,  Joseph Gilgun"
1039,24159934," Malin Ã…kerman,  Justin Theroux"
1040,127730736," Alisa Khazanova,  Mary Stockley, Daniel Radcliffe,  Sidney Johnston,  CiarÃ¡n Hinds"
1041,81491068," Martin Short,  Winona Ryder,  Martin Landau, Charlie Tahan,  Catherine O'Hara"
1042,58058367," Andy Samberg,  Leighton Meester,  Eva Amurri Martino,  Susan Sarandon, Adam Sandler"
1043,208076205," Vera Farmiga,  Ryan Reynolds,  Joel Kinnaman, Denzel Washington,  Brendan Gleeson"
1044,47000000," Benicio del Toro,  Aaron Taylor-Johnson, Blake Lively"
1045,46221189," Elizabeth Banks,  Ed Harris,  Jamie Bell,  Edward Burns"
1046,19422261," Christopher Walken,  Woody Harrelson,  Abbie Cornish,  Sam Rockwell, Colin Farrell"
1047,24719215," Kristen Bell,  Dermot Mulroney,  John Krasinski, Drew Barrymore"
1048,3428048," Frank Grillo, Jason Bateman,  Paula Patton,  Hope Davis,  Michael Nyqvist"
1049,12434778," Mark Duplass, Chris Pine,  Michelle Pfeiffer,  Elizabeth Banks,  Olivia Wilde"
1050,8493728," Matt Bush,  Jean-Luc Bilodeau,  Katrina Bowden, Danielle Panabaker,  David Koechner"
1051,85446075," Rob LaBelle,  Natasha Calis,  Kyra Sedgwick,  Madison Davenport, Jeffrey Dean Morgan"
1052,52302796," Radha Mitchell,  Carrie-Anne Moss, Adelaide Clemens,  Sean Bean"
1053,37930465," Ben Mendelsohn, Brad Pitt,  James Gandolfini"
1054,16863583," Caroline Goodall,  Sigourney Weaver, Henry Cavill,  VerÃ³nica Echegui"
1055,35485056," Brit Marling,  Monica Raymund,  Susan Sarandon,  Tim Roth, Richard Gere"
1056,44806783," Jeffrey Dean Morgan,  Josh Hutcherson,  Isabel Lucas, Chris Hemsworth,  Adrianne Palicki"
1057,54819301," Chris Diamantopoulos, Sean Hayes,  Jane Lynch,  SofÃ­a Vergara"
1058,114281051," Marin Ireland,  Tommy Lee Jones,  Jean Smart,  Steve Carell"
1059,22044277," Cliff Curtis,  Clark Duke, Eddie Murphy,  Kerry Washington"
1060,30353232," Matthew Fox, Tyler Perry,  Giancarlo Esposito,  Jean Reno"
1061,36893721," Patrick Fischler, Katherine Heigl,  Sherri Shepherd,  Debbie Reynolds"
1062,59520298," Billy Connolly,  Pauline Collins,  Michael Gambon, Maggie Smith,  Tom Courtenay"
1063,107139399,"Kodi Smit-McPhee,  Casey Affleck,  Jodelle Ferland,  Anna Kendrick"
1064,8138788," John Krasinski,  Lucas Black,  Frances McDormand, Matt Damon,  Rosemarie DeWitt"
1065,77112176," Zachary Gordon,  Steve Zahn,  Peyton List, Devon Bostick,  Rachael Harris"
1066,9622846," RubÃ©n Blades,  Peter O'Toole,  Andy GarcÃ­a,  Oscar Isaac"
1067,50365377, David Oyelowo
1068,11417362," Jane Levy,  Chelsea Handler, Victoria Justice,  Jackson Nicoll"
1069,31083599," Michael Shannon,  Jamie Chung,  Dania Ramirez, Joseph Gordon-Levitt,  WolÃ© Parks"
1070,13231461," Zoe Saldana,  Olivia Wilde, Bradley Cooper,  Dennis Quaid"
1071,142817992," Matt Shively,  Brady Allen,  Sprague Grayden, Katie Featherston,  Kathryn Newton"
1072,8784318," Kirsten Dunst,  Tom Sturridge,  Garrett Hedlund, Kristen Stewart,  Sam Riley"
1073,119772232," Marisa Tomei,  Bette Midler, Billy Crystal,  Tom Everett Scott"
1074,96070507,"Michael Ealy,  Jerry Ferrara,  Kevin Hart,  Regina Hall,  Meagan Good"
1075,4636169," 50 Cent,  Josh Duhamel, Bruce Willis,  Vincent D'Onofrio"
1076,9627492," Julianna Guill, Ashley Greene,  Tom Felton,  Luke Pasqualino,  Sebastian Stan"
1077,6063556," Juliette Binoche, Robert Pattinson,  Paul Giamatti,  Samantha Morton"
1078,240159255," Li Bingbing,  Michelle Rodriguez,  Sienna Guillory, Milla Jovovich,  Aryana Engineer"
1079,24637469," Carmen Ejogo, Whitney Houston,  Cee Lo Green,  Mike Epps,  Derek Luke"
1080,32726956," Rachael Markarian,  Mia Moretti, Katy Perry,  Russell Brand"
