Subtitle,Lamp Type,ENERGY,CLER,PLC,TFI
LED-P,LED46,3.0621988578067763,16.195191723067385,57.95305080085343,75.04940495420573
LED-V,LED90,3.0621988578067763,18.139542354897888,59.78440676942319,93.55663870273607
LED-P,LED17_R,3.0621988578067763,16.195191723067385,57.95305080085343,77.37908377448487
LED-P,LED43,3.0621988578067763,16.195191723067385,57.95305080085343,75.04940495420573
LED-V,LED105,3.0621988578067763,21.466698309726976,62.91820723549561,119.35117600779392
LED-P,LED26,3.0621988578067763,16.195191723067385,57.95305080085343,75.04940495420573
LED-V,LED200,3.0621988578067763,18.139542354897888,59.78440676942319,93.55663870273607
LED-V,LED178,3.0621988578067763,18.139542354897888,59.78440676942319,93.55663870273607
LED-V,LED158,3.0621988578067763,19.54340562697768,61.106685447090854,104.4404097175284
LED-P,LED34,3.0621988578067763,16.195191723067385,57.95305080085343,75.04940495420573
LED-P,,,,,
LED-P,LED39,3.0621988578067763,16.195191723067385,57.95305080085343,75.04940495420573
LED-P,PT LED17,3.0621988578067763,21.31929266615861,62.779367974340495,114.77516915819777
LED-P,LED22,3.0621988578067763,16.68654386829531,58.41584833803712,78.85872480938305
LED-V,LED155,3.0621988578067763,21.26313813527541,62.72647682723378,117.77302921064907
LED-V,LED175,3.0621988578067763,18.490508172917835,60.1149764388401,96.27758145643415
LED-V,LED298,3.0621988578067763,21.466698309726976,62.91820723549561,119.35117600779392
LED-V,LED80_R,3.0621988578067763,18.51858543835944,60.14142201239346,98.82493569700917
LED-V,LED101,3.0621988578067763,21.26313813527541,62.72647682723378,117.77302921064907
LED-P,LED28,3.0621988578067763,19.54340562697768,61.106685447090854,101.00719882448546
LED-P,LED20,3.0621988578067763,19.54340562697768,61.106685447090854,101.00719882448546
LED-P,LED18,3.0621988578067763,16.195191723067385,57.95305080085343,75.04940495420573
LED-P,LED29,3.0621988578067763,16.30048146847337,58.0522217016785,75.86568778031516
LED-P,PT LED34,3.0621988578067763,21.31929266615861,62.779367974340495,114.77516915819777
LED-P,LED17,3.0621988578067763,16.167114457625786,57.92660522730008,74.83172953390991
LED-V,LED79,3.0621988578067763,19.54340562697768,61.106685447090854,104.4404097175284
LED-V,LED150_R,3.0621988578067763,17.500784566101586,59.18276997108438,90.93420171128471
LED-V,LED198,3.0621988578067763,21.466698309726976,62.91820723549561,119.35117600779392
