Subtitle,Item #,Description,On Hand,Special,Disc. %
Centrefire Rifles,35336209,BROWNING X-BLT SS 22-250 REM,1.0,1126.25,15.00000095
Rimfire Rifles,SAV13805,SAVAGE RASCAL YELLOW 22 LR,2.0,220.0,12.0
Centrefire Rifles,NOS32948,NOSLER 48 LIBERTY 26 NOSLER,1.0,1900.0,17.20999908
Rimfire Rifles,SAV13795,SAVAGE RASCAL RED 22 LR,2.0,220.0,12.0
Centrefire Rifles,JRS1Q20,SAKO 85 FINNLIGHT 30-06,1.0,1950.0,15.22000027
Centrefire Rifles,SAVAXIS06,SAVAGE AXIS SS 30-06,2.0,375.0,25.0
Centrefire Rifles,EDGE300,FIERCE EDGE 300 WIN MAG,1.0,2500.0,25.37000084
Rimfire Rifles,SAV47001,SAVAGE A17 SEMI 17 HMR,2.0,508.0,20.0
Centrefire Rifles,K3000814,KIMBER MONTANA 280 ACK. IMP.,1.0,1700.0,19.01000023
Centrefire Rifles,35202216,BROWNING X-BLT SS 7mm-08 REM,1.0,1126.25,15.00000095
Centrefire Rifles,34018116,BROWNING BLR SS 7MM-08 REM,1.0,1041.25,15.00000095
Shotguns,A0389400,"BENELLI SUPER NOVA TAC 3.5"" 12GA 14""",2.0,800.0,20.0
Centrefire Rifles,JRTV120,TIKKA T3 CAMO STAINLESS 30-06 SPRG,1.0,845.0,21.76000023
Centrefire Rifles,NOS39248,NOSLER 48 LIBERTY 30 NOSLER,2.0,1900.0,17.20999908
Shotguns,FR40841,"FRANCHI AFFINITY CMPT 12 GA 26""",1.0,1147.5,15.00000095
Centrefire Rifles,SAV22224,SAVAGE AXIS-II XP 7MM-08 REM,1.0,500.0,16.67000008
Restricted Firearms,51507490,"BROWNING BM CNTR SS 5.5"" URX 22LR",1.0,520.0,25.18000031
Shotguns,512298395,"WINCHESTER SXP ULT DEF 12-3,18 INV+1",2.0,468.0,20.0
Centrefire Rifles,TH31041SS,TIKKA T3 HUNTER SS 300 WIN,2.0,845.0,28.69000053
Centrefire Rifles,35202246,BROWNING X-BLT SS 300 WSM,2.0,1168.75,15.00000095
Restricted Firearms,51802490,BROWNING 1911-22 A1 22LR,1.0,525.0,27.59000015
Centrefire Rifles,35202229,BROWNING X-BLT SS 300 WIN MAG,1.0,1168.75,15.00000095
Rimfire Rifles,RUG1121,RUGER 10/22-T 22LR,1.0,600.0,22.57999992
Centrefire Rifles,35202248,BROWNING X-BLT SS 270 WSM,1.0,1168.75,15.00000095
Centrefire Rifles,K3000764,KIMBER MTN ASCENT 280 ACKLEY,1.0,2400.0,19.32999992
Restricted Firearms,RUG5027,RUGER RDHWK 45 COLT SS,2.0,1075.0,28.09000015
Restricted Firearms,G17GEN4FS,GLOCK 17 GEN 4 FIXED SIGHTS,1.0,875.0,15.46000004
Rimfire Rifles,SAV40203,SAVAGE 64F 22 LR,,168.0,20.0
Restricted Firearms,1911-22-C1,SIG SAUER 1911 22 C1 CAMO,1.0,399.0,42.91999817
Centrefire Rifles,JRS1B34,SAKO 85 SS/SYN 338 WIN MAG,1.0,1950.0,15.22000027
Restricted Firearms,G21GEN4FS,GLOCK 21 GEN 4 FIXED SIGHTS,1.0,950.0,19.14999962
Rimfire Rifles,SAV96709,SAVAGE 93R17-F 17HMR,3.0,288.0,20.0
Centrefire Rifles,35330226,BROWNING X-BLT MED MAPLE 30-06 SPRG,1.0,1075.25,15.00000095
Centrefire Rifles,R27107,REM 700 CDL LH 30-06,1.0,695.0,39.56999969
