mission_title,Target
1,"205, 136, 212, 332, 98, 204, 214"
10,"375, 259, 183, 314"
11,"204, 404, 212, 268"
12,"391, 277, 305, 208"
13,"289, 333, 232, 396, 363"
14,"110, 409, 299, 337, 454"
15,"455, 426, 460, 241, 210"
16,"412, 376, 311, 312, 474, 422, 311"
17,"204, 482, 475, 320, 476"
18,"435, 405, 122, 343, 328, 424, 99"
19,"493, 329, 208, 384"
2,"203, 85, 209, 308, 123, 262, 100, 208, 288"
20,"498, 427, 332, 353, 277, 502, 505, 333"
21,"396, 268, 345, 506"
22,"455, 354, 215, 171, 511, 438, 317"
23,"299, 514, 356, 513, 461, 320, 271"
24,"426, 306, 363, 118, 208, 375, 349, 466, 518"
25,"393, 329, 519, 312, 268"
26,"520, 277, 385, 384, 467, 336"
27,"522, 480, 300, 521, 388, 241"
28,"395, 475, 444, 523, 268"
29,"525, 524, 398"
3,"409, 210, 236, 211, 206, 91, 328, 118"
30,"436, 476, 429"
31,"526, 384, 491"
32,"454, 311, 481"
33,"530, 503, 529"
34,"340, 501, 498"
35,"363, 500, 531"
36,"426, 479, 532"
37,"535, 536, 455"
38,"397, 409, 343"
39,"537, 513, 458"
4,"345, 212, 302, 183, 303"
40,"539, 506, 538"
41,"508, 521, 540"
42,"524, 512, 541"
43,"514, 393, 384"
44,"543, 542, 476"
45,475
46,"502, 311, 546"
47,"396, 547, 519"
48,"548, 549, 525"
49,"489, 551, 522"
5,"422, 204, 354, 110, 423"
50,"422, 552, 529"
51,"426, 553"
52,"467, 535, 509"
53,"531, 491, 554"
54,"524, 556, 555"
55,"497, 492, 537"
56,"557, 539, 558"
57,"561, 476, 560, 559, 547"
59,"547, 562, 559"
6,"429, 274, 208, 329, 229"
60,"563, 564, 513"
61,519
7,"311, 99, 232, 362"
8,"206, 268, 241, 271"
9,"435, 212, 251, 384"
ASTP,"77, 76, 23"
Antares,278
Apollo 10,"23, 26, 17"
Apollo 11,"24, 27, 29"
Apollo 12,"28, 20, 44"
Apollo 13,"45, 46, 22"
Apollo 14,"50, 48, 49"
Apollo 15,"25, 54, 55"
Apollo 16,"56, 17, 57"
Apollo 17,"58, 26, 59"
Apollo 7,"30, 7, 31"
Apollo 8,"33, 22, 21"
Apollo 9,"18, 25"
Astro-1,239
Astro-2,239
Atlas-1,130
EP-19,565
Euromir 94,131
Gemini 10,"17, 27"
Gemini 11,"28, 20"
Gemini 12,"22, 29"
Gemini 3,"17, 16"
Gemini 4,"18, 19"
Gemini 5,"8, 20"
Gemini 6A,7
Gemini 7,"22, 21"
