mission_title,Target
STS-61A,188
STS-106,397
STS-39,246
STS-38,236
STS-61A,170
Soyuz 8,36
Soyuz 37/36,43
STS-64,317
Soyuz 21,35
STS-90,377
Apollo 14,50
Soyuz TMA-7,440
27,522
STS-5,114
STS-130,472
Astro-2,239
Soyuz T­2,79
Salyut 6,84
STS-59,245
STS-57,296
STS­88,212
Salyut 6,88
STS-87,368
STS-31,156
Salyut 6,91
42,524
STS-74,192
STS-41-C,140
33,530
Apollo 13,45
15,455
61,519
Voskhod 2,14
15,426
24,426
Voskhod 1,13
Soyuz 14,6
STS-51-L,139
STS-92,343
STS-51 J,134
STS-102,226
STS-61C,142
STS-41-G,102
STS-51-B,127
55,497
17,204
STS-71,247
STS-126,489
STS-50,219
STS-67,326
42,512
STS-98,310
STS-3,62
23,299
STS-76,309
STS-53,262
STS-41D,148
STS-37,243
STS-55,192
STS-102,402
STS-69,154
STS-135,447
STS-45,151
30,436
STS-45,271
STS-47,282
STS-48,238
48,548
Gemini 5,8
STS-33,165
16,412
STS-41-B,76
Soyuz TMA-14,456
STS-118,461
Soyuz TM-11/10,242
STS-84,362
STS-41,219
STS-68,319
STS-61-B,194
STS-54,230
STS-32,227
4,345
STS-151-C,56
45,475
Mir EO-15,308
Soyuz TMA-3/2,385
20,498
STS-127,500
STS-81,227
5,422
STS-55,295
11,204
5,204
STS-121,445
STS-42,267
2,203
4,212
STS-57,298
STS-29,215
Spacelab 1,130
STS-72,314
STS-51-J,115
STS-34,222
STS-85,282
STS-38,237
STS-113,337
14,110
STS-132,490
Soyuz 23,80
6,429
17,482
STS-88,301
23,514
STS-124,444
STS-75,197
Gemini 7,22
60,563
STS-108,411
STS-86,327
ASTP,77
Soyuz 19,40
STS-45,270
STS-30,154
STS-115,321
STS-41,234
STS-31,196
Soyuz TM-14/13,269
STS-50,275
STS-118,393
STS-51,266
STS-86,367
STS-95,323
STS-1,102
STS-127,499
Salyut 7,88
STS-125,326
Soyuz 10,36
STS-51I,141
Gemini 4,18
STS-61-B,195
STS-84,361
51,426
STS-75,348
STS-116,453
STS-127,501
Shenzhou 10,533
STS-74,313
Soyuz TMA-9,449
52,467
STS-107,433
STS-51-F,106
STS-120,323
20,427
STS-81,326
STS-92,270
Soyuz 24,43
Apollo 14,48
24,306
47,396
STS-50,274
STS-95,316
STS-109,350
15,460
STS-59,287
27,480
STS-39,248
STS-61,274
20,332
STS-51-I,179
13,289
spacelab-3,168
Spacelab-2,177
49,489
Soyuz 36/35,40
3,409
STS-112,425
Astro-1,239
Soyuz TM-33/32,355
41,508
51,553
50,422
STS-110,415
STS-125,414
2,85
STS-41-G,152
STS-94,315
STS-59,253
25,393
STS-121,446
STS-111,420
STS-68,318
STS-44,263
53,531
Vostok 3,5
Soyuz TM-12/11,252
Soyuz T­8,99
STS-92,297
STS-105,346
STS-50,187
STS-2,105
3,210
ASTP,76
20,353
STS-64,288
STS-59,244
Salyut 7,182
Soyuz TM-24/23,355
STS-61B,148
STS-96,291
STS-82,274
25,329
33,503
Soyuz 5/4,36
8,206
STS-61,117
STS-117,387
46,502
21,396
Apollo 17,58
STS-116,364
3,236
25,519
STS-110,291
Shenzhou 9,485
STS-43,228
Salyut 7,99
STS-8,127
Soyuz 22,79
STS-107,389
STS-95,368
21,268
STS-51-L,147
STS-81,257
34,340
STS-51L,200
STS-84,292
15,241
STS-79,266
STS-42,122
STS-78,330
STS-83,313
STS-132,488
Soyuz 11,42
STS-54,247
STS-30,122
STS-128,387
Apollo 15,25
STS-47,132
STS-132,478
STS-41,233
STS-75,279
Apollo 9,18
STS-133,462
13,333
6,274
STS-66,322
STS-61-C,196
STS-61-C,197
Apollo 8,33
STS-102,349
STS-90,350
Soyuz 7,43
3,211
Soyuz T­3,65
STS-69,290
STS-59,310
STS-121,444
Salyut 6,75
STS-55,170
STS-32,226
STS-82,346
STS-51-A,155
STS-51-A,154
Salyut 7,111
56,557
Apollo 10,23
29,525
STS-55,293
Salyut 6,98
STS-51D,148
STS-132,474
STS-134,435
38,397
STS-133,368
Apollo 16,56
2,209
STS-76,244
Soyuz 15,72
STS-41 B,134
STS-112,392
STS-29,144
STS-98,290
55,492
23,356
STS-38,179
STS-62,279
STS-61-A,187
STS-58,304
Soyuz 33,92
STS-131,460
STS-76,304
STS-72,343
STS-39,247
STS-51,301
Soyuz 9,5
STS-75,163
STS-6,115
STS-63,298
STS-67,265
STS-55,261
54,524
STS-61B Atlantis,191
Salyut 7,95
STS-75,280
Gemini 8,24
STS-121,425
STS-7,121
STS-46,197
STS-114,402
STS-71,132
Salyut 7,98
STS-60,197
STS-87,369
STS-31,135
32,454
STS-33,225
48,549
Saluyt 6,69
Salyut 6,100
STS87,371
STS-78,350
STS-90,304
13,232
Salyut 7,95
STS-121,368
STS-106,318
3,206
STS-40,161
Vostok 2,2
Salyut 6,83
STS-96,344
21,345
STS-41-D,146
STS-64,237
STS-132,425
STS-77,302
STS-64,246
STS-51-D,160
STS-7,119
11,404
1,205
Soyuz 18,47
STS-109,377
STS-122,469
STS-32,187
STS-42,184
6,208
16,376
19,493
STS-4,109
STS-49,273
STS-9,17
55,537
Apollo 8,22
STS-9,128
43,514
STS-135,499
STS-34,197
STS-83,298
STS-36,185
5,354
STS-97,341
STS-77,153
57,561
STS-43,220
STS-118,462
STS-117,459
56,539
STS-44,264
STS-108,244
STS-63,271
52,535
Soyuz TMA-12 / Soyuz TMA-11,477
STS-114,324
26,520
STS-51-F,178
STS-86,108
STS-91,382
STS-48,221
STS-65,313
Soyuz TMA­5,437
STS-107,374
STS-41-G,150
STS-6,60
STS-77,230
22,455
STS-58,161
Salyut 6,93
46,311
59,547
STS-51B,122
MA-6,3
37,535
STS-61-C,146
STS-123,382
STS-41-G,151
STS-61C,199
Soyuz 3,32
STS-126,487
STS-91,197
Salyut 4,74
STS-67,325
STS-114,439
28,395
Mercury-Atlas 7,4
STS-43,171
STS-40,255
STS-89,372
STS-61-A,280
Soyuz TM­32/31,312
STS-28,219
STS-46,227
STS-88,387
STS-65,233
Mercury-Atlas 9,8
STS-54,288
STS-48,158
STS-92,314
STS-49,124
40,539
STS-100,392
26,277
STS-51-J,186
Soyuz 16,51
57,476
54,556
Salyut 7,93
7,311
STS-47,283
Soyuz 27/26,86
3,91
STS-127,401
STS-51-C,156
STS-36,145
STS-79,318
STS-131,446
STS­100,405
STS-97,153
STS-81,297
Soyuz 11,52
STS-120,400
Vostok 5,9
STS-41-D,144
35,363
STS-78,352
Mir EO-21,308
Gemini 4,19
ЭП-1,406
Vostok 6,10
EP-19,565
STS-124,478
60,564
STS-41-B,135
STS-69,301
STS-54,248
STS-99,382
STS-88,296
STS-133,488
STS-51,236
STS-41-G,121
STS-70,296
8,268
STS-5,112
STS-49,225
STS-57,228
Salyut 6,83
STS-91,292
STS-51-J,185
13,396
STS-65,314
STS-103,393
STS-83,359
Soyuz TM-34 / Soyuz TM-33,419
Soyuz 5,35
STS-51-D,163
STS-85,364
STS-51L,201
17,475
STS-73,225
STS-129,473
STS-56,271
