Institution,Specific Graduate Program,Minimum Score Requirement,Restrictions,City,State
"University of Phoenix, Central Valley Campus, Fresno",,,,,
"Purdue University, Calumet",,,,,
Capital University,,,,,
Northeastern University,,,,,
New York University,,,,,
"Arizona State University, Phoenix",,,,,
Pepperdine University,,,,,
Regent University,,,,,
"University of Phoenix, Elk Grove Learning Center, Elk Grove",,,,,
American University,,,,,
"University of Phoenix, El Centro Learning Center II, Imperial",,,,,
University of Virginia,,,,,
"Anderson University, Indiana",,,,,
"Devry University, Oakland Center",,,,,
San Diego State University,,,,,
"University of Phoenix, New Mexico Campus, Albuquerque",,,,,
University of Delaware,,,,,
Ohio State University,,,,,
"City University of Seattle, Victoria",,,,,
University of Denver,,,,,
Northeastern University,,,,,
"University of Phoenix, Shreveport-Bossier Campus, Bossier City",,,,,
Bryn Mawr College,,,,,
Boston University,,,,,
"Devry University, Houston Galleria",,,,,
"City University of Seattle, Vancouver, Canada",,,,,
University of Delaware,,,,,
New York Medical College,,,,,
Vanderbilt University,,,,,
Regent University,,,,,
Doane College,,,,,
"University of Phoenix, Houston Campus, Houston",,,,,
New York University,,,,,
"University of Maryland, Baltimore County",,,,,
"University of Phoenix, Oakland Learning Center, Oakland",,,,,
"City University of Seattle, Calgary",,,,,
"University of Colorado, Boulder",,,,,
University of Denver,,,,,
"University of Phoenix, Cascades Learning Center, Portland",,,,,
"University of Phoenix, Southglen Learning Center, Centennial",,,,,
"Mercer University, Main Campus",,,,,
"University of Phoenix, Stonecrest Learning Center, San Diego",,,,,
Dartmouth College,,,,,
University of Central Oklahoma,,,,,
Boston University,,,,,
Azusa Pacific University,,,,,
"Indiana University-Purdue University, Fort Wayne",,,,,
Mississippi State University,,,,,
Brandeis University,,,,,
"University of Texas, Austin",,,,,
"Devry University, Federal Way Campus",,,,,
Georgia State University,,,,,
York College of Pennsylvania,,,,,
"Baruch College, City University of New York (CUNY)",,,,,
"University of Phoenix, Henderson Learning Center, Henderson",,,,,
Doane College,,,,,
"University of Phoenix, Macon Learning Center, Macon",,,,,
Widener University,,,,,
"Devry University, Gurnee Center",,,,,
"Northwood University, Texas",,,,,
"Devry University, Sacramento (Elk Grove) Campus",,,,,
New York University,,,,,
"California Baptist University, Chino",,,,,
Northeastern University,,,,,
Texas Christian University,,,,,
"Devry University, Duluth (Gwinnett) Center",,,,,
Georgetown University,,,,,
Alverno College,,,,,
University of San Francisco,,,,,
Boston College,,,,,
Andrews University,,,,,
Marywood University,,,,,
"University of Phoenix, Jersey City Campus, Jersey City",,,,,
"Devry University, Greenwood Village (Denver South) Center",,,,,
Georgetown University,,,,,
"Auburn University, Auburn",,,,,
,0,4.0,,Montgomery,8
Massachusetts Institute of Technology,,,,,
Harvard Business School,,,,,
Hofstra University,,,,,
"University of Phoenix, Kansas City Campus, Kansas City",,,,,
"University of Phoenix, Colorado Springs Downtown, Colorado Springs",,,,,
"University of Colorado, Boulder",,,,,
"University of Arkansas, Fayetteville",,,,,
University of Rochester,,,,,
Washington University in St. Louis,,,,,
"University of Phoenix, Portage Learning Center, Portage",,,,,
"University of Colorado, Boulder",,,,,
"University of Phoenix, Downtown Chicago Learning Center, Chicago",,,,,
University of Oregon,,,,,
Fuller Theological Seminary,,,,,
Georgia State University,,,,,
Northeastern University,,,,,
Kent State University,,,,,
"City University of Seattle, CU-TEI Piraeus Program",,,,,
"University of Phoenix, Little Rock Campus, Little Rock",,,,,
"California State University, Fullerton",,,,,
Maryland Institute College of Art,,,,,
New York Medical College,,,,,
Mississippi State University,,,,,
Johns Hopkins University,,,,,
Temple University,,,,,
"University of Phoenix, San Bernadino Learning Center, San Bernadino",,,,,
University of Scranton,,,,,
"University of California, Davis",,,,,
