imdb_id,genres
tt0187078,"Action,  Crime,  Thriller"
tt0218967,"Comedy,  Drama,  Romance,  Fantasy"
tt0245562,"Drama,  Action,  History,  War"
tt0259324,"Thriller,  Action,  Fantasy,  Horror"
tt0268126,"Comedy,  Crime,  Drama"
tt0368891,"Adventure,  Action,  Thriller,  Mystery"
tt0375568,"Animation,  Action,  Family,  Science Fiction"
tt0384680,"Comedy,  Drama"
tt0399295,"Crime,  Drama,  Thriller"
tt0429589,"Fantasy,  Adventure,  Animation,  Comedy,  Family"
tt0435705,"Action,  Science Fiction,  Thriller"
tt0448011,"Action,  Adventure,  Drama,  Mystery,  Science Fiction"
tt0465234,"Action,  Adventure,  Mystery,  Thriller"
tt0469641,"Drama,  History,  Thriller"
tt0479997,"Adventure,  Fantasy,  Action"
tt0481499,"Adventure,  Animation,  Comedy,  Family,  Fantasy"
tt0814022,"Action,  Crime,  Thriller"
tt0963966,"Fantasy,  Adventure,  Action,  Comedy,  Drama"
tt1071875,"Action,  Fantasy,  Thriller"
tt1095217,"Drama,  Crime"
tt1214962,"Action,  Drama,  Thriller"
tt1250777,"Action,  Crime"
tt1502404,"Fantasy,  Thriller,  Action,  Crime"
tt1656186,"Action,  Crime,  Drama,  Thriller"
tt1674784,"Crime,  Drama,  Thriller"
tt2005374,"Thriller,  Crime"
tt2467046,"Thriller,  Action,  Science Fiction"
