imdb_id,genres
tt2467046,Thriller
tt2467046, Action
tt2467046, Science Fiction
tt0448011,Action
tt0448011, Adventure
tt0448011, Drama
tt0448011, Mystery
tt0448011, Science Fiction
tt1095217,Drama
tt1095217, Crime
tt0375568,Animation
tt0375568, Action
tt0375568, Family
tt0375568, Science Fiction
tt1250777,Action
tt1250777, Crime
tt0963966,Fantasy
tt0963966, Adventure
tt0963966, Action
tt0963966, Comedy
tt0963966, Drama
tt0814022,Action
tt0814022, Crime
tt0814022, Thriller
tt1502404,Fantasy
tt1502404, Thriller
tt1502404, Action
tt1502404, Crime
tt1071875,Action
tt1071875, Fantasy
tt1071875, Thriller
tt0479997,Adventure
tt0479997, Fantasy
tt0479997, Action
tt1674784,Crime
tt1674784, Drama
tt1674784, Thriller
tt1214962,Action
tt1214962, Drama
tt1214962, Thriller
tt0268126,Comedy
tt0268126, Crime
tt0268126, Drama
tt0245562,Drama
tt0245562, Action
tt0245562, History
tt0245562, War
tt1656186,Action
tt1656186, Crime
tt1656186, Drama
tt1656186, Thriller
tt0481499,Adventure
tt0481499, Animation
tt0481499, Comedy
tt0481499, Family
tt0481499, Fantasy
tt2005374,Thriller
tt2005374, Crime
tt0399295,Crime
tt0399295, Drama
tt0399295, Thriller
tt0384680,Comedy
tt0384680, Drama
tt0429589,Fantasy
tt0429589, Adventure
tt0429589, Animation
tt0429589, Comedy
tt0429589, Family
tt0469641,Drama
tt0469641, History
tt0469641, Thriller
tt0368891,Adventure
tt0368891, Action
tt0368891, Thriller
tt0368891, Mystery
tt0465234,Action
tt0465234, Adventure
tt0465234, Mystery
tt0465234, Thriller
tt0259324,Thriller
tt0259324, Action
tt0259324, Fantasy
tt0259324, Horror
tt0435705,Action
tt0435705, Science Fiction
tt0435705, Thriller
tt0187078,Action
tt0187078, Crime
tt0187078, Thriller
tt0218967,Comedy
tt0218967, Drama
tt0218967, Romance
tt0218967, Fantasy
