Subtitle,Per Year,Per Month ,Bi-Weekly,Per Week
Taxes:,11876.97,989.7475,494.87375,228.40326919999998
Expenses:,10800.0,900.0,450.0,207.6923077
Income:,46990.0,3915.833333,1807.307692,903.6538462000001
Expenses:,1700.0,141.66666669999998,70.83333333,32.69230769
Taxes:,4647.51,387.2925,193.64625,89.37519231
Expenses:,2200.0,183.33333330000002,91.66666667,42.30769231
Expenses:,500.0,41.66666667,20.83333333,9.615384615
Expenses:,4000.0,333.3333333,166.66666669999998,76.92307692
Expenses:,2000.0,166.66666669999998,83.33333333,38.46153846
Expenses:,2000.0,166.66666669999998,83.33333333,38.46153846
