Index,City,Latitude,Longitude
84,madison,34.73,-86.57
181,walvis bay,-22.96,14.51
74,carnarvon,-24.87,113.63
541,anadyr,64.75,177.48
421,high level,58.52,-117.14
306,newport,51.59,-3.0
379,swan river,52.11,-101.27
145,capelinha,-17.69,-42.52
85,nome,64.5,-165.41
416,boa vista,2.82,-60.67
196,saskylakh,71.92,114.08
364,itoman,26.12,127.67
408,bandarbeyla,9.49,50.81
256,lavrentiya,65.58,-171.0
447,londa,15.47,74.52
191,nicoya,10.15,-85.45
505,la pena,43.28,5.52
92,mamallapuram,12.63,80.17
95,lagoa,39.05,-27.98
124,sao joao da barra,-21.64,-41.05
144,takoradi,4.88,-1.76
197,balgazyn,51.0,95.2
162,henties bay,-22.12,14.28
544,indapur,18.3,73.25
537,novozavidovskiy,56.55,36.43
1,georgetown,5.41,100.34
157,mount isa,-20.73,139.5
89,mangai,-4.05,19.53
442,znamenskoye,57.13,73.83
247,liepaja,56.54,21.04
479,ortega,3.94,-75.22
473,olinda,-8.01,-34.86
129,fonte boa,-2.5,-66.27
217,vardo,70.37,31.11
11,rikitea,-23.12,-134.97
399,todos santos,23.45,-110.22
67,butaritari,3.07,172.79
107,neryungri,56.67,124.65
530,kieta,-6.22,155.63
73,mantua,45.17,10.78
566,chongwe,-15.33,28.68
501,sainte-thecle,46.82,-72.5
568,salalah,17.02,54.09
121,tual,-5.67,132.75
570,antofagasta,-23.65,-70.4
113,magalia,39.81,-121.58
535,gwadar,25.12,62.33
521,kiama,-34.68,150.87
135,teya,60.38,92.63
381,hlotse,-28.87,28.05
368,marawi,8.0,124.29
68,son la,21.32,103.9
173,nizwa,22.93,57.53
332,pafos,34.77,32.42
339,chilakalurupet,16.08,80.17
250,saint george,37.1,-113.58
500,san cristobal,7.77,-72.22
422,sibut,5.72,19.07
441,sao filipe,14.9,-24.5
480,birin,26.89,88.07
507,ontario,34.06,-117.65
415,waipawa,-41.41,175.52
317,jacareacanga,-6.22,-57.75
551,gamba,-2.65,10.0
190,birnin kebbi,12.45,4.2
543,grakhovo,56.05,51.97
37,ushuaia,-54.8,-68.3
131,changping,40.22,116.22
148,shache,38.42,77.24
331,mecca,21.43,39.83
235,mackay,-21.15,149.2
164,tura,25.52,90.22
29,cape town,-33.93,18.42
134,niimi,34.98,133.47
333,port lincoln,-34.73,135.87
580,yarmouth,41.71,-70.23
160,lunenburg,44.38,-64.32
34,port alfred,-33.59,26.89
417,opuwo,-18.06,13.84
297,benghazi,32.12,20.07
353,savannah bight,16.45,-85.85
425,maniitsoq,65.42,-52.9
585,benjamin aceval,-24.97,-57.57
420,saint anthony,45.02,-93.22
392,bekwai,6.45,-1.58
584,black forest,39.01,-104.7
38,tanout,14.97,8.89
61,dikson,73.51,80.55
578,hofn,64.25,-15.21
363,davila,18.47,120.58
390,gornopravdinsk,60.05,69.9
509,redding,40.59,-122.39
52,kholtoson,50.3,103.31
318,port hardy,50.7,-127.42
154,chokurdakh,70.63,147.92
291,kahului,20.89,-156.47
377,ashland,40.82,-82.27
231,meulaboh,4.14,96.13
404,villepinte,48.96,2.53
536,biak,-0.91,122.88
380,benemerito de las americas,16.52,-90.64
524,saint-leu,-21.15,55.28
547,viedma,-40.81,-63.0
321,kasrawad,22.13,75.6
76,sambava,-14.27,50.17
258,kyabe,9.45,18.94
327,svetlaya,46.54,138.33
350,kirovo-chepetsk,58.55,50.04
172,atasu,48.68,71.64
39,krasnoarmeysk,51.02,45.7
86,hobart,-42.88,147.33
203,whakatane,-37.96,176.99
465,kanniyakumari,8.08,77.57
328,caravelas,-17.71,-39.25
285,cayenne,4.93,-52.33
334,ahipara,-35.17,173.17
185,luderitz,-26.65,15.16
9,hilo,19.73,-155.09
471,bubaque,11.28,-15.83
554,eureka,40.8,-124.16
504,cadillac,44.25,-85.4
201,ciudad bolivar,8.12,-63.55
49,shubarshi,48.59,57.19
567,chernyshevsk,52.52,117.02
122,roald,62.58,6.13
19,warmbad,-28.45,18.73
540,najran,17.49,44.13
573,redmond,47.67,-122.12
407,wadi musa,30.32,35.48
